OBJECTID_1,OBJECTID,DWR_,SUBBSN_,BAS_SBBSN,GWBASIN,SUBNAME,ACRES,BUDGET_TYP,Regional_O,Shape_Leng,Shape_Le_1,Shape_Area
1,1,9-19,,9-19,TIA JUANA,,   7448.09100000000,A,4,  30362.24447650000,      0.30571005104,      0.00287445514
2,2,9-18,,9-18,OTAY VALLEY,,   6869.39400000000,C,4,  50158.86163150000,      0.51521114096,      0.00265196813
3,3,9-29,,9-29,POTRERO VALLEY,,   2035.31800000000,C,4,  21649.39845090000,      0.21655050823,      0.00078501783
4,4,7-47,,7-47,JACUMBA VALLEY,,   2471.53600000000,A,4,  27114.80390900000,      0.26682883167,      0.00095216451
5,5,9-28,,9-28,CAMPO VALLEY,,   3568.72200000000,C,4,  41940.84125240000,      0.39895550813,      0.00137598665
6,6,9-17,,9-17,SWEETWATER VALLEY,,   5948.95900000000,C,4,  85559.37458540000,      0.84919277022,      0.00229867315
7,7,7-61,,7-61,DAVIES VALLEY,,   3599.93300000000,C,4,  26911.44180280000,      0.26071237180,      0.00138669469
8,8,9-27,,9-27,COTTONWOOD VALLEY,,   3871.11000000000,C,4,  42277.04165300000,      0.40667395930,      0.00149423234
9,9,9-14,,9-14,MISSION VALLEY,,   7386.88300000000,C,4,  72192.12660980001,      0.73275112850,      0.00285785687
10,10,9-16,,9-16,EL CAJON VALLEY,,   7203.05500000000,C,4,  24574.09702590000,      0.24352784303,      0.00278644386
11,11,9-15,,9-15,SAN DIEGO RIVER VALLEY,,   9943.91000000000,C,4,  79016.15673250001,      0.78773782193,      0.00384922781
12,12,7-46,,7-46,CANEBRAKE VALLEY,,   5459.60600000000,C,4,  44918.41734100000,      0.44944089950,      0.00211044294
13,13,7-29,,7-29,COYOTE WELLS VALLEY,, 147087.94500000001,A,4, 210991.73491699999,      2.08552093891,      0.05672790870
14,14,9-13,,9-13,POWAY VALLEY,,   2484.87200000000,C,4,  25707.39950460000,      0.26286169366,      0.00096316939
15,15,9-12,,9-12,SAN DIEGUITO CREEK,,   3577.60300000000,A,4,  31103.62775830000,      0.31269675716,      0.00138777502
16,16,7-59,,7-59,MASON VALLEY,,   5567.18600000000,C,4,  40132.73126180000,      0.40005106899,      0.00215519410
17,17,9-23,,9-23,SAN ELIJO VALLEY,,    887.89900000000,C,4,  14959.52996390000,      0.14393028068,      0.00034460177
