CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,10/5/2000,00:00,,,4.400,0.000,4.400,73.030,72.330,68.630,3.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,3/21/2001,00:00,,,3.800,0.000,3.800,73.030,72.330,69.230,3.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,7/19/2001,00:00,,,9.300,0.000,9.300,73.030,72.330,63.730,8.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,SOUNDER,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,8/16/2001,00:00,,,6.000,0.000,6.000,73.030,72.330,67.030,5.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,10/12/2001,00:00,,,3.700,0.000,3.700,73.030,72.330,69.330,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,7/25/2002,00:00,,,10.600,0.000,10.600,73.030,72.330,62.430,9.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,8/21/2002,00:00,,,6.000,0.000,6.000,73.030,72.330,67.030,5.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,10/16/2002,00:00,,,3.100,0.000,3.100,73.030,72.330,69.930,2.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,3/12/2003,00:00,,,4.300,0.000,4.300,73.030,72.330,68.730,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
393108N1217811W001,BMO 17N02E19J001M,7/29/2003,00:00,6 - Well has been destroyed,,,,,73.030,72.330,,,,,Department of Water Resources,Voluntary,,Butte_01.01.1993-12.31.2004
