CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,10/11/2011,00:00,,,5.800,0.000,5.800,70.700,70.000,64.900,5.100,ST - Steel tape measurement,0.1 Ft,Butte County Department of Water & Resource Conservation,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,7/30/2012,00:00,,,25.000,13.200,11.800,73.030,72.330,61.230,11.100,ST - Steel tape measurement,0.1 Ft,Butte County Department of Water & Resource Conservation,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,3/26/2012,00:00,,,8.000,1.700,6.300,73.030,72.330,66.730,5.600,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,7/10/2012,00:00,,,17.000,5.600,11.400,73.030,72.330,61.630,10.700,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,10/16/2012,00:00,9 - Temporarily inaccessible,,,,,73.030,72.330,,,,,Department of Water Resources,Voluntary,gate locked,Butte_01.01.2005-06.21.2013
393108N1217811W001,BMO 17N02E19J001M,4/1/2005,00:00,,,7.000,0.000,7.000,73.030,72.330,66.030,6.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Butte_01.01.2005-06.21.2013
