CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
389261N1219321W001,,10/14/1983,00:00,,,36.600,0.000,36.600,50.950,50.450,14.350,36.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/15/1984,00:00,,,19.300,0.000,19.300,50.950,50.450,31.650,18.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/9/1984,00:00,,,33.200,0.000,33.200,50.950,50.450,17.750,32.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/11/1985,00:00,,,25.000,0.000,25.000,50.950,50.450,25.950,24.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/9/1985,00:00,,,36.700,0.000,36.700,50.950,50.450,14.250,36.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/19/1986,00:00,,,21.100,0.000,21.100,50.950,50.450,29.850,20.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/9/1986,00:00,,,34.300,0.000,34.300,50.950,50.450,16.650,33.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,2/26/1987,00:00,,,19.800,0.000,19.800,50.950,50.450,31.150,19.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,9/28/1987,00:00,,8 - Oil or foreign substance in casing,40.600,0.000,40.600,50.950,50.450,10.350,40.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/8/1988,00:00,,8 - Oil or foreign substance in casing,20.400,0.000,20.400,50.950,50.450,30.550,19.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/7/1988,00:00,,8 - Oil or foreign substance in casing,41.800,0.000,41.800,50.950,50.450,9.150,41.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/30/1989,00:00,,8 - Oil or foreign substance in casing,35.900,0.000,35.900,50.950,50.450,15.050,35.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/25/1989,00:00,,,28.500,0.000,28.500,50.950,50.450,22.450,28.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/6/1990,00:00,,8 - Oil or foreign substance in casing,20.300,0.000,20.300,50.950,50.450,30.650,19.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/17/1990,00:00,,,38.400,0.000,38.400,50.950,50.450,12.550,37.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/22/1991,00:00,,8 - Oil or foreign substance in casing,31.200,0.000,31.200,50.950,50.450,19.750,30.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/23/1991,00:00,,8 - Oil or foreign substance in casing,39.300,0.000,39.300,50.950,50.450,11.650,38.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/20/1992,00:00,,8 - Oil or foreign substance in casing,21.500,0.000,21.500,50.950,50.450,29.450,21.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,10/7/1992,00:00,,,41.100,0.000,41.100,50.950,50.450,9.850,40.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389317N1219463W001,13N01W35L002M,10/6/1983,00:00,,,47.300,0.000,47.300,67.960,67.460,20.660,46.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
389317N1219463W001,13N01W35L002M,3/8/1984,00:00,,,39.100,0.000,39.100,67.960,67.460,28.860,38.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
