CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Fresno_06.21.1983-12.31.1987
360328N1199977W001,,12/14/1984,00:00,4 - Can't get tape in casing,,,,,348.110,347.110,,,,,Westlands Water District,Voluntary,,Fresno_06.21.1983-12.31.1987
360622N1202027W001,,12/28/1984,00:00,,9 - Acoustical sounder,329.000,0.000,329.000,708.060,706.060,379.060,327.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360622N1202027W001,,12/19/1985,00:00,,9 - Acoustical sounder,350.000,0.000,350.000,708.060,706.060,358.060,348.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360622N1202027W001,,12/3/1986,00:00,,9 - Acoustical sounder,349.000,0.000,349.000,708.060,706.060,359.060,347.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360622N1202027W001,,10/27/1987,00:00,,9 - Acoustical sounder,352.000,0.000,352.000,708.060,706.060,356.060,350.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360622N1202027W001,,12/8/1987,00:00,,9 - Acoustical sounder,347.000,0.000,347.000,708.060,706.060,361.060,345.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360675N1202177W001,,12/28/1984,00:00,,,373.000,0.000,373.000,679.070,678.070,306.070,372.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360675N1202177W001,,12/19/1985,00:00,,9 - Acoustical sounder,345.000,0.000,345.000,679.070,678.070,334.070,344.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360675N1202177W001,,12/3/1986,00:00,1 - Pumping,,,,,679.070,678.070,,,,,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360675N1202177W001,,10/27/1987,00:00,,9 - Acoustical sounder,350.000,0.000,350.000,679.070,678.070,329.070,349.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360675N1202177W001,,12/8/1987,00:00,,9 - Acoustical sounder,332.000,0.000,332.000,679.070,678.070,347.070,331.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360694N1202227W001,,12/28/1984,00:00,,9 - Acoustical sounder,340.000,0.000,340.000,669.070,668.070,329.070,339.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360694N1202227W001,,12/19/1985,00:00,,9 - Acoustical sounder,357.000,0.000,357.000,669.070,668.070,312.070,356.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360694N1202227W001,,12/3/1986,00:00,,9 - Acoustical sounder,341.000,0.000,341.000,669.070,668.070,328.070,340.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360694N1202227W001,,10/27/1987,00:00,,9 - Acoustical sounder,356.000,0.000,356.000,669.070,668.070,313.070,355.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360694N1202227W001,,12/8/1987,00:00,,9 - Acoustical sounder,341.000,0.000,341.000,669.070,668.070,328.070,340.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360700N1202221W001,,12/28/1984,00:00,,9 - Acoustical sounder,338.000,0.000,338.000,671.070,668.070,333.070,335.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360700N1202221W001,,12/19/1985,00:00,,9 - Acoustical sounder,347.000,0.000,347.000,671.070,668.070,324.070,344.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
360700N1202221W001,,12/3/1986,00:00,,9 - Acoustical sounder,345.000,0.000,345.000,671.070,668.070,326.070,342.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Fresno_06.21.1983-12.31.1987
