CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
394130N1219913W001,18N01W17G001M,3/4/1992,00:00,,,17.400,0.000,17.400,81.390,81.390,63.990,17.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,9/14/1992,00:00,,,24.300,0.000,24.300,81.390,81.390,57.090,24.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,10/6/1992,00:00,,,20.200,0.000,20.200,81.390,81.390,61.190,20.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,11/16/1992,00:00,,,19.300,0.000,19.300,81.390,81.390,62.090,19.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,12/14/1992,00:00,,,19.000,0.000,19.000,81.390,81.390,62.390,19.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,1/11/1993,00:00,,,17.800,0.000,17.800,81.390,81.390,63.590,17.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,2/16/1993,00:00,,,14.200,0.000,14.200,81.390,81.390,67.190,14.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,3/16/1993,00:00,,,13.300,0.000,13.300,81.390,81.390,68.090,13.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,4/15/1993,00:00,,,9.600,0.000,9.600,81.390,81.390,71.790,9.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,5/14/1993,00:00,,1 - Pumping,29.800,0.000,29.800,81.390,81.390,51.590,29.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,6/15/1993,00:00,,8 - Oil or foreign substance in casing,13.800,0.000,13.800,81.390,81.390,67.590,13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,7/15/1993,00:00,,8 - Oil or foreign substance in casing,16.100,0.000,16.100,81.390,81.390,65.290,16.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,8/16/1993,00:00,,1 - Pumping,29.800,0.000,29.800,81.390,81.390,51.590,29.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,9/15/1993,00:00,,8 - Oil or foreign substance in casing,16.900,0.000,16.900,81.390,81.390,64.490,16.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
