CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/18/1986,00:00,,,25.800,0.000,25.800,55.220,53.220,29.420,23.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/22/1986,00:00,,,38.400,0.000,38.400,55.220,53.220,16.820,36.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,4/1/1987,00:00,,1 - Pumping,28.800,0.000,28.800,55.220,53.220,26.420,26.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/28/1987,00:00,,4 - Pumped recently,35.800,0.000,35.800,55.220,53.220,19.420,33.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/16/1988,00:00,,4 - Pumped recently,32.300,0.000,32.300,55.220,53.220,22.920,30.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,11/2/1988,00:00,,4 - Pumped recently,36.200,0.000,36.200,55.220,53.220,19.020,34.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/15/1989,00:00,,,26.800,0.000,26.800,55.220,53.220,28.420,24.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/25/1989,00:00,,,35.000,0.000,35.000,55.220,53.220,20.220,33.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/14/1990,00:00,,,30.700,0.000,30.700,55.220,53.220,24.520,28.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/25/1990,00:00,,1 - Pumping,39.400,0.000,39.400,55.220,53.220,15.820,37.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/28/1991,00:00,,,30.700,0.000,30.700,55.220,53.220,24.520,28.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/28/1991,00:00,,4 - Pumped recently,39.000,0.000,39.000,55.220,53.220,16.220,37.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/25/1992,00:00,,1 - Pumping,32.300,0.000,32.300,55.220,53.220,22.920,30.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/25/1992,00:00,,4 - Pumped recently,31.600,0.000,31.600,55.220,53.220,23.620,29.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/21/1992,00:00,,,39.600,0.000,39.600,55.220,53.220,15.620,37.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/31/1993,00:00,,4 - Pumped recently,29.000,0.000,29.000,55.220,53.220,26.220,27.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/26/1993,00:00,,1 - Pumping,39.300,0.000,39.300,55.220,53.220,15.920,37.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/31/1994,00:00,,1 - Pumping,32.800,0.000,32.800,55.220,53.220,22.420,30.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,4/5/1995,00:00,9 - Temporarily inaccessible,,,,,55.220,53.220,,,,,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,10/25/1995,00:00,0 - Measurement Discontinued,,,,,55.220,53.220,,,,,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,3/21/1996,00:00,0 - Measurement Discontinued,,,,,55.220,53.220,,,,,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405582N1241656W001,,11/6/1996,00:00,0 - Measurement Discontinued,,,,,55.220,53.220,,,,,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,10/20/2011,00:00,,,26.350,0.000,26.350,44.730,44.230,18.380,25.850,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,4/20/2012,00:00,,,17.360,0.000,17.360,44.730,44.230,27.370,16.860,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,10/31/2012,00:00,,,28.000,-0.700,28.700,44.730,44.230,16.030,28.200,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,3/18/1986,00:00,,,13.000,0.000,13.000,44.730,44.230,31.730,12.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,10/22/1986,00:00,,,25.100,0.000,25.100,44.730,44.230,19.630,24.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,4/1/1987,00:00,,,17.700,0.000,17.700,44.730,44.230,27.030,17.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,10/28/1987,00:00,,,28.300,0.000,28.300,44.730,44.230,16.430,27.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
405702N1241874W001,02N01W09G001H,3/16/1988,00:00,,,21.700,0.000,21.700,44.730,44.230,23.030,21.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Humboldt_06.21.1983-06.21.2013
