CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Inyo_06.21.2003-06.21.2013
357325N1177203W001,TTBKMW14,12/1/2011,00:00,,,16.000,0.000,16.000,"2,194.250","2,191.040","2,178.250",12.790,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
357325N1177203W001,TTBKMW14,10/8/2012,00:00,9 - Temporarily inaccessible,,,,,"2,194.250","2,191.040",,,,,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
357325N1177203W001,TTBKMW14,4/24/2013,00:00,,,16.720,0.000,16.720,"2,194.250","2,191.040","2,177.530",13.510,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W001,USBR-10-S,10/3/2011,08:00,,,319.200,0.000,319.200,"2,564.310","2,559.391","2,245.110",314.281,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W001,USBR-10-S,2/27/2012,08:00,,,318.900,0.000,318.900,"2,564.310","2,559.391","2,245.410",313.981,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W001,USBR-10-S,10/8/2012,08:00,,,320.000,0.000,320.000,"2,564.310","2,559.391","2,244.310",315.081,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W001,USBR-10-S,3/4/2013,00:00,,,319.500,0.000,319.500,"2,564.310","2,559.391","2,244.810",314.581,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W002,USBR-10-SM,10/3/2011,08:00,,,325.100,0.000,325.100,"2,564.200","2,559.391","2,239.100",320.291,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W002,USBR-10-SM,2/27/2012,08:00,,,324.800,0.000,324.800,"2,564.200","2,559.391","2,239.400",319.991,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W002,USBR-10-SM,10/8/2012,08:00,,,325.200,0.000,325.200,"2,564.200","2,559.391","2,239.000",320.391,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
