CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
357889N1200310W001,,4/25/2012,12:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/17/2009,00:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/10/2013,00:00,,5 - Air or pressure gauge measurement,0.000,0.000,0.000,618.050,618.050,618.050,0.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357889N1200338W001,,4/25/2012,12:00,,9 - Acoustical sounder,104.000,0.000,104.000,624.050,623.050,520.050,103.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357889N1200338W001,,4/17/2009,00:00,,,103.900,0.000,103.900,624.050,623.050,520.150,102.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/10/2013,00:00,,,107.800,0.000,107.800,624.050,623.050,516.250,106.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200282W001,,4/25/2012,12:00,,,103.900,0.000,103.900,618.550,618.050,514.650,103.400,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200282W001,,4/17/2009,00:00,,,101.900,0.000,101.900,618.550,618.050,516.650,101.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200282W001,,4/10/2013,00:00,,,103.800,0.000,103.800,618.550,618.050,514.750,103.300,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200307W001,,4/25/2012,12:00,,9 - Acoustical sounder,104.000,0.000,104.000,619.050,618.050,515.050,103.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200307W001,,4/17/2009,00:00,,9 - Acoustical sounder,102.000,0.000,102.000,619.050,618.050,517.050,101.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/10/2013,00:00,,,107.100,0.000,107.100,619.050,618.050,511.950,106.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357903N1199793W001,,4/16/2009,00:00,4 - Can't get tape in casing,,,,,512.040,511.040,,,,,Department of Water Resources,Voluntary,
357903N1199793W001,,4/24/2012,00:00,,,86.100,0.000,86.100,512.038,511.038,425.938,85.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357903N1199793W001,,4/11/2013,12:00,,,77.200,0.000,77.200,512.038,511.038,434.838,76.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357939N1200404W001,,4/25/2012,12:00,,,120.400,0.000,120.400,635.560,635.060,515.160,119.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
