casgem_id,lat,long,local_well_number,date,military_time_pst,no_measurement,questionable_measurement,reading_rp,reading_ws,rp_to_ws,rp_elevation,gs_elevation,wse,gs_to_ws,measurement_method,measurement_accuracy,collecting_coop_agency,voluntary_or_casgem_measurement,comments,extra_casgem_id,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,11/8/2001,00:00,,,6.200,0.000,6.200,"4,053.330","4,051.850","4,047.130",4.720,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,11/20/2001,00:00,,,6.100,0.000,6.100,"4,053.330","4,051.850","4,047.230",4.620,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,12/6/2001,00:00,,,5.800,0.000,5.800,"4,053.330","4,051.850","4,047.530",4.320,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,12/19/2001,00:00,,,5.500,0.000,5.500,"4,053.330","4,051.850","4,047.830",4.020,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,1/3/2002,00:00,,,5.100,0.000,5.100,"4,053.330","4,051.850","4,048.230",3.620,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,1/31/2002,00:00,,,4.800,0.000,4.800,"4,053.330","4,051.850","4,048.530",3.320,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,2/13/2002,00:00,,,4.800,0.000,4.800,"4,053.330","4,051.850","4,048.530",3.320,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,2/27/2002,00:00,,,4.500,0.000,4.500,"4,053.330","4,051.850","4,048.830",3.020,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,3/13/2002,00:00,,,4.400,0.000,4.400,"4,053.330","4,051.850","4,048.930",2.920,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,3/27/2002,00:00,,,4.300,0.000,4.300,"4,053.330","4,051.850","4,049.030",2.820,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
419976N1213967W001,,7/23/2002,00:00,,,4.800,0.000,4.800,"4,053.330","4,051.850","4,048.530",3.320,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Klamath_06.21.1983-06.21.2013
