CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
387085N1226084W001,10N-07W-14P2,9/30/2003,00:00,,,9.300,0.000,9.300,"1,239.120","1,237.120","1,229.820",7.300,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/31/2004,00:00,,,10.200,0.000,10.200,"1,239.120","1,237.120","1,228.920",8.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/7/2004,00:00,,,13.100,0.000,13.100,"1,239.120","1,237.120","1,226.020",11.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/31/2005,00:00,,,7.200,0.000,7.200,"1,239.120","1,237.120","1,231.920",5.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/6/2005,00:00,,,11.200,0.000,11.200,"1,239.120","1,237.120","1,227.920",9.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/27/2006,00:00,,,8.900,0.000,8.900,"1,239.120","1,237.120","1,230.220",6.900,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/11/2006,00:00,,,10.900,0.000,10.900,"1,239.120","1,237.120","1,228.220",8.900,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/5/2007,00:00,,,11.200,0.000,11.200,"1,239.120","1,237.120","1,227.920",9.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/23/2007,00:00,,,10.500,0.000,10.500,"1,239.120","1,237.120","1,228.620",8.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/3/2008,00:00,,,10.600,0.000,10.600,"1,239.120","1,237.120","1,228.520",8.600,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/8/2008,00:00,,,11.200,0.000,11.200,"1,239.120","1,237.120","1,227.920",9.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/2/2009,00:00,,,10.300,0.000,10.300,"1,239.120","1,237.120","1,228.820",8.300,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/1/2009,00:00,,,10.200,0.000,10.200,"1,239.120","1,237.120","1,228.920",8.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/3/2012,00:00,,,15.000,8.000,7.000,"1,239.100","1,237.100","1,232.100",5.000,ST - Steel tape measurement,0.1 Ft,Lake County Watershed Protection District,CASGEM,
387085N1226084W001,10N-07W-14P2,10/2/2012,00:00,,,23.000,11.500,11.500,"1,239.100","1,237.100","1,227.600",9.500,ST - Steel tape measurement,0.1 Ft,Lake County Watershed Protection District,CASGEM,
387085N1226084W001,10N-07W-14P2,4/3/2013,00:00,,,56.000,45.200,10.800,"1,239.100","1,237.100","1,228.300",8.800,ST - Steel tape measurement,0.1 Ft,Lake County Watershed Protection District,CASGEM,
387249N1225442W001,10N-06W-08K1,9/30/2003,00:00,,,25.700,0.000,25.700,"1,156.440","1,155.440","1,130.740",24.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,3/31/2004,00:00,,,13.700,0.000,13.700,"1,156.440","1,155.440","1,142.740",12.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/7/2004,00:00,,,29.200,0.000,29.200,"1,156.440","1,155.440","1,127.240",28.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,3/31/2005,00:00,,,10.500,0.000,10.500,"1,156.440","1,155.440","1,145.940",9.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/6/2005,00:00,,,25.500,0.000,25.500,"1,156.440","1,155.440","1,130.940",24.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,4/27/2006,00:00,,,11.700,0.000,11.700,"1,156.440","1,155.440","1,144.740",10.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/11/2006,00:00,,,26.500,0.000,26.500,"1,156.440","1,155.440","1,129.940",25.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,4/5/2007,00:00,,,17.100,0.000,17.100,"1,156.440","1,155.440","1,139.340",16.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/23/2007,00:00,,,30.600,0.000,30.600,"1,156.440","1,155.440","1,125.840",29.600,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,4/3/2008,00:00,,,16.400,0.000,16.400,"1,156.440","1,155.440","1,140.040",15.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/8/2008,00:00,,,33.700,0.000,33.700,"1,156.440","1,155.440","1,122.740",32.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,4/2/2009,00:00,,,16.400,0.000,16.400,"1,156.440","1,155.440","1,140.040",15.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387249N1225442W001,10N-06W-08K1,10/1/2009,00:00,,,33.500,0.000,33.500,"1,156.440","1,155.440","1,122.940",32.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387369N1225629W001,10N-06W-06R1,9/30/2003,00:00,,,7.400,0.000,7.400,"1,113.940","1,113.040","1,106.540",6.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387369N1225629W001,10N-06W-06R1,3/31/2004,00:00,,,2.300,0.000,2.300,"1,113.940","1,113.040","1,111.640",1.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387369N1225629W001,10N-06W-06R1,10/7/2004,00:00,,,9.300,0.000,9.300,"1,113.940","1,113.040","1,104.640",8.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387369N1225629W001,10N-06W-06R1,3/31/2005,00:00,,,2.600,0.000,2.600,"1,113.940","1,113.040","1,111.340",1.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387369N1225629W001,10N-06W-06R1,10/6/2005,00:00,,,10.100,0.000,10.100,"1,113.940","1,113.040","1,103.840",9.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
