CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,LosAngeles_01.01.1990-12.31.1996
337686N1180957W001,,8/30/1995,00:00,,,42.680,0.000,42.680,12.620,12.620,-30.060,42.680,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
337686N1180960W001,,8/30/1995,00:00,,,11.420,0.000,11.420,12.520,12.520,1.100,11.420,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
337967N1182404W001,,8/31/1995,00:00,,,61.290,0.000,61.290,37.600,37.600,-23.690,61.290,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338074N1182723W001,,10/12/1995,00:00,,,69.280,0.000,69.280,40.550,40.550,-28.730,69.280,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338178N1183418W001,,12/1/1995,00:00,,,89.400,0.000,89.400,80.630,80.630,-8.770,89.400,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338234N1180665W001,,8/30/1995,00:00,,,68.360,0.000,68.360,30.480,30.480,-37.880,68.360,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W001,,8/28/1995,00:00,,,94.910,0.000,94.910,67.420,67.420,-27.490,94.910,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W001,,8/2/1996,00:00,,,91.570,0.000,91.570,67.420,67.420,-24.150,91.570,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W002,,8/28/1995,00:00,,,90.650,0.000,90.650,67.420,67.420,-23.230,90.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W002,,8/2/1996,00:00,,,87.440,0.000,87.440,67.420,67.420,-20.020,87.440,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W003,,8/28/1995,00:00,,,90.480,0.000,90.480,67.420,67.420,-23.060,90.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W003,,8/2/1996,00:00,,,87.110,0.000,87.110,67.420,67.420,-19.690,87.110,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W004,,8/28/1995,00:00,,,90.420,0.000,90.420,67.420,67.420,-23.000,90.420,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
338425N1183271W004,,8/2/1996,00:00,,,87.100,0.000,87.100,67.420,67.420,-19.680,87.100,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
