CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
340097N1179480W001,MW6-71,1/8/2013,00:00,7 - Special/Other,,,,,343.450,344.000,,,,,Main San Gabriel Basin Watermaster,CASGEM,NOT AVAILABLE
340187N1180478W001,04,1/11/2013,00:00,,,33.630,0.000,33.630,221.290,220.000,187.660,32.340,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340241N1180565W001,2947F,1/4/2013,00:00,,,24.820,0.000,24.820,215.360,216.000,190.540,25.460,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340276N1180657W001,PZ-004,1/4/2013,00:00,,,25.440,0.000,25.440,209.950,210.000,184.510,25.490,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340278N1179647W001,MW6-51,1/8/2013,00:00,,,73.930,0.000,73.930,306.960,308.000,233.030,74.970,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340293N1180725W001,TEMP 1,1/18/2013,00:00,,,19.490,0.000,19.490,207.850,207.000,188.360,18.640,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340302N1180682W001,PZ-003,1/4/2013,00:00,,,25.150,0.000,25.150,207.040,208.000,181.890,26.110,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340322N1179643W001,MW6-13i,1/8/2013,00:00,,,103.060,0.000,103.060,309.950,311.000,206.890,104.110,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340329N1180454W001,BIG RED,1/4/2013,00:00,,,24.530,0.000,24.530,223.020,222.000,198.490,23.510,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340334N1179796W001,MW6-31,1/4/2013,00:00,,,88.430,0.000,88.430,294.350,295.000,205.920,89.080,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340355N1179827W001,MW6-16i,1/4/2013,00:00,,,81.640,0.000,81.640,292.920,294.000,211.280,82.720,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340376N1180712W001,MW4-72,1/4/2013,00:00,,,22.440,0.000,22.440,211.420,212.000,188.980,23.020,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340387N1180160W001,CLUB,1/11/2013,00:00,,,68.200,0.000,68.200,266.640,266.000,198.440,67.560,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340454N1179830W001,MW-15,1/3/2013,00:00,,,77.210,0.000,77.210,299.500,300.000,222.290,77.710,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340469N1179761W001,MW6-9i,1/8/2013,00:00,,,94.190,0.000,94.190,306.800,307.000,212.610,94.390,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
340496N1179693W001,MW6-10i,1/8/2013,00:00,,,101.150,0.000,101.150,316.350,317.000,215.200,101.800,ES - Electric sounder measurement,0.01 Ft,Main San Gabriel Basin Watermaster,CASGEM,
