CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Madera_01.01.1987-12.31.1990
367702N1202910W001,,1/26/1987,00:00,9 - Temporarily inaccessible,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,10/19/1987,00:00,,,45.700,0.000,45.700,173.420,172.420,127.720,44.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,2/8/1988,00:00,,,51.700,0.000,51.700,173.420,172.420,121.720,50.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,10/7/1988,00:00,,,80.100,0.000,80.100,173.420,172.420,93.320,79.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,1/25/1989,00:00,,,59.100,0.000,59.100,173.420,172.420,114.320,58.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,10/5/1989,00:00,,,92.000,0.000,92.000,173.420,172.420,81.420,91.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,1/25/1990,00:00,,,54.200,0.000,54.200,173.420,172.420,119.220,53.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367702N1202910W001,,10/1/1990,00:00,,,97.300,0.000,97.300,173.420,172.420,76.120,96.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,1/26/1987,00:00,,,28.200,0.000,28.200,174.410,172.410,146.210,26.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,10/19/1987,00:00,,,42.200,0.000,42.200,174.410,172.410,132.210,40.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,2/8/1988,00:00,,,47.900,0.000,47.900,174.410,172.410,126.510,45.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,10/13/1988,00:00,,,57.900,0.000,57.900,174.410,172.410,116.510,55.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,1/25/1989,00:00,,,42.600,0.000,42.600,174.410,172.410,131.810,40.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,10/5/1989,00:00,,,62.300,0.000,62.300,174.410,172.410,112.110,60.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,1/25/1990,00:00,,,37.100,0.000,37.100,174.410,172.410,137.310,35.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367705N1203029W001,,10/1/1990,00:00,,,65.300,0.000,65.300,174.410,172.410,109.110,63.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,1/26/1987,00:00,,,33.200,0.000,33.200,175.410,172.410,142.210,30.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,10/19/1987,00:00,,,42.500,0.000,42.500,175.410,172.410,132.910,39.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,2/8/1988,00:00,,,41.900,0.000,41.900,175.410,172.410,133.510,38.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,10/13/1988,00:00,,,69.300,0.000,69.300,175.410,172.410,106.110,66.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,1/25/1989,00:00,,,42.200,0.000,42.200,175.410,172.410,133.210,39.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,10/5/1989,00:00,,,60.300,0.000,60.300,175.410,172.410,115.110,57.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,1/25/1990,00:00,,,46.600,0.000,46.600,175.410,172.410,128.810,43.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367730N1203049W001,,10/1/1990,00:00,,,67.900,0.000,67.900,175.410,172.410,107.510,64.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367738N1202877W001,,1/26/1987,00:00,,,28.900,0.000,28.900,172.410,172.410,143.510,28.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367738N1202877W001,,10/19/1987,00:00,,,45.800,0.000,45.800,172.410,172.410,126.610,45.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367738N1202877W001,,2/8/1988,00:00,,,60.500,0.000,60.500,172.410,172.410,111.910,60.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367738N1202877W001,,10/7/1988,00:00,,,80.300,0.000,80.300,172.410,172.410,92.110,80.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
367738N1202877W001,,1/25/1989,00:00,,,44.600,0.000,44.600,172.410,172.410,127.810,44.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Madera_01.01.1987-12.31.1990
