CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
367702N1202910W001,,3/3/1997,00:00,,,39.800,0.000,39.800,173.420,172.420,133.620,38.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,10/21/1997,00:00,,,61.000,0.000,61.000,173.420,172.420,112.420,60.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,1/30/1998,00:00,,,39.100,0.000,39.100,173.420,172.420,134.320,38.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,10/8/1998,00:00,,,49.500,0.000,49.500,173.420,172.420,123.920,48.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,1/29/1999,00:00,,,35.100,0.000,35.100,173.420,172.420,138.320,34.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,10/14/1999,00:00,,,89.600,0.000,89.600,173.420,172.420,83.820,88.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,2/11/2000,00:00,,8 - Oil or foreign substance in casing,70.700,0.000,70.700,173.420,172.420,102.720,69.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,1/29/2001,00:00,,,8.500,0.000,8.500,173.420,172.420,164.920,7.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367702N1202910W001,,1/27/2003,00:00,9 - Temporarily inaccessible,,,,,173.420,172.420,,,,,Bureau of Reclamation,Voluntary,
367705N1203029W001,,3/3/1997,00:00,,,38.000,0.000,38.000,174.410,172.410,136.410,36.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
367705N1203029W001,,10/21/1997,00:00,,,64.500,0.000,64.500,174.410,172.410,109.910,62.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
