CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/3/2012,00:00,,,18.500,0.000,18.500,457.850,452.850,439.350,13.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/12/1990,00:00,,1 - Pumping,21.000,0.000,21.000,457.850,452.850,436.850,16.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/19/1990,00:00,1 - Pumping,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/25/1991,00:00,,,17.200,0.000,17.200,457.850,452.850,440.650,12.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,9/25/1991,00:00,,4 - Pumped recently,26.700,0.000,26.700,457.850,452.850,431.150,21.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/25/1989,00:00,,,16.600,0.000,16.600,457.850,452.850,441.250,11.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/1/1988,00:00,,,23.100,0.000,23.100,457.850,452.850,434.750,18.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/14/1988,00:00,,,17.100,0.000,17.100,457.850,452.850,440.750,12.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/20/1987,00:00,,,20.700,0.000,20.700,457.850,452.850,437.150,15.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/22/1987,00:00,,,15.700,0.000,15.700,457.850,452.850,442.150,10.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/15/1986,00:00,,4 - Pumped recently,18.300,0.000,18.300,457.850,452.850,439.550,13.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/2/1986,00:00,,,14.600,0.000,14.600,457.850,452.850,443.250,9.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/30/1992,00:00,,4 - Pumped recently,22.700,0.000,22.700,457.850,452.850,435.150,17.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/30/1992,00:00,,1 - Pumping,13.800,0.000,13.800,457.850,452.850,444.050,8.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,6/23/1993,00:00,,,15.000,0.000,15.000,457.850,452.850,442.850,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/7/1993,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,GATE LOCKED,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/27/1994,00:00,,4 - Pumped recently,23.200,0.000,23.200,457.850,452.850,434.650,18.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/26/1994,00:00,,,19.900,0.000,19.900,457.850,452.850,437.950,14.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/31/1995,00:00,,,17.300,0.000,17.300,457.850,452.850,440.550,12.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/13/1995,00:00,,4 - Pumped recently,24.400,0.000,24.400,457.850,452.850,433.450,19.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/30/1996,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/28/1999,00:00,,,16.000,0.000,16.000,457.850,452.850,441.850,11.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/14/1999,00:00,,,17.200,0.000,17.200,457.850,452.850,440.650,12.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/26/2000,00:00,,4 - Pumped recently,16.900,0.000,16.900,457.850,452.850,440.950,11.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/15/2000,00:00,,,17.700,0.000,17.700,457.850,452.850,440.150,12.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/20/1996,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/24/1997,00:00,,,15.000,0.000,15.000,457.850,452.850,442.850,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/20/1997,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/27/1998,00:00,,4 - Pumped recently,16.000,0.000,16.000,457.850,452.850,441.850,11.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/23/1998,00:00,,,19.600,0.000,19.600,457.850,452.850,438.250,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/17/2001,00:00,1 - Pumping,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/8/2002,00:00,,,15.000,0.000,15.000,457.850,452.850,442.850,10.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/16/2001,00:00,,4 - Pumped recently,17.800,0.000,17.800,457.850,452.850,440.050,12.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/8/2002,00:00,,,27.200,0.000,27.200,457.850,452.850,430.650,22.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/9/2003,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/8/2003,00:00,,,17.800,0.000,17.800,457.850,452.850,440.050,12.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,3/22/2004,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/26/2004,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/12/2005,00:00,,,14.300,0.000,14.300,457.850,452.850,443.550,9.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,9/26/2005,00:00,,,14.300,0.000,14.300,457.850,452.850,443.550,9.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,3/22/2006,00:00,9 - Temporarily inaccessible,,,,,457.850,452.850,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/4/2007,00:00,,,18.000,0.000,18.000,457.850,452.850,439.850,13.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,10/24/2007,00:00,,,18.500,0.000,18.500,457.850,452.850,439.350,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/15/2008,00:00,,1 - Pumping,16.500,0.000,16.500,457.850,452.850,441.350,11.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/20/2008,00:00,,,18.700,0.000,18.700,457.850,452.850,439.150,13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/27/2009,00:00,,,18.600,0.000,18.600,457.850,452.850,439.250,13.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/16/2009,00:00,,,17.700,0.000,17.700,457.850,452.850,440.150,12.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/29/2010,00:00,,,15.700,0.000,15.700,457.850,452.850,442.150,10.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/16/2010,00:00,,,17.800,0.000,17.800,457.850,452.850,440.050,12.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,5/25/2011,00:00,,,20.100,0.000,20.100,457.850,452.850,437.750,15.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,12/15/2011,00:00,,,20.700,0.000,20.700,457.850,452.850,437.150,15.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,PRESSURE TANK LEAKING,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,11/27/2012,00:00,,,18.300,0.000,18.300,457.850,452.850,439.550,13.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389252N1230569W001,,4/24/2013,00:00,,,17.900,0.000,17.900,457.850,452.850,439.950,12.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,1/30/2012,15:35,,,10.650,0.000,10.650,493.550,490.850,482.900,7.950,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,3/28/2012,11:25,,,7.360,0.000,7.360,493.550,490.850,486.190,4.660,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,4/24/2012,10:35,,,7.950,0.000,7.950,493.550,490.850,485.600,5.250,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,5/30/2012,00:00,9 - Temporarily inaccessible,,,,,493.550,490.850,,,,,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,7/3/2012,12:20,,,12.670,0.000,12.670,493.550,490.850,480.880,9.970,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,8/23/2012,12:35,,,17.500,0.000,17.500,493.550,490.850,476.050,14.800,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,5/3/2012,00:00,,,8.900,0.000,8.900,493.850,490.850,484.950,5.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,9/25/2012,12:00,,,18.460,0.000,18.460,493.550,490.850,475.090,15.760,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,10/15/2012,12:12,,,18.690,0.000,18.690,493.550,490.850,474.860,15.990,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,12/10/2012,16:35,,,7.600,0.000,7.600,493.550,490.850,485.950,4.900,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,1/29/2013,12:55,,,8.950,0.000,8.950,493.550,490.850,484.600,6.250,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,2/27/2013,11:20,,,9.780,0.000,9.780,493.550,490.850,483.770,7.080,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,11/27/2012,00:00,,,15.600,0.000,15.600,493.850,490.850,478.250,12.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389661N1231206W001,SV-3,4/24/2013,00:00,,,10.500,0.000,10.500,493.850,490.850,483.350,7.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,1/30/2012,14:40,,,13.530,0.000,13.530,500.760,497.830,487.230,10.600,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Shallow zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,3/28/2012,11:10,,,9.780,0.000,9.780,500.760,497.830,490.980,6.850,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,4/24/2012,10:18,,,11.320,0.000,11.320,500.760,497.830,489.440,8.390,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,5/30/2012,11:00,,,15.450,0.000,15.450,500.760,497.830,485.310,12.520,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,7/3/2012,12:10,,,19.580,0.000,19.580,500.760,497.830,481.180,16.650,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,8/23/2012,12:20,,,22.850,0.000,22.850,500.760,497.830,477.910,19.920,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Shallow zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,5/3/2012,00:00,,,12.200,0.000,12.200,496.320,493.330,484.120,9.210,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,9/25/2012,11:45,,,23.230,0.000,23.230,500.760,497.830,477.530,20.300,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,10/15/2012,12:00,,,23.310,0.000,23.310,500.760,497.830,477.450,20.380,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,12/10/2012,14:15,,,10.290,0.000,10.290,500.760,497.830,490.470,7.360,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Shallow zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,1/29/2013,12:40,,,12.160,0.000,12.160,500.760,497.830,488.600,9.230,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Shallow zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,2/27/2013,11:00,,,13.470,0.000,13.470,500.760,497.830,487.290,10.540,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Shallow zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,11/27/2012,00:00,,,22.800,0.000,22.800,496.320,493.330,473.520,19.810,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W001,SV-2A,4/24/2013,00:00,,,16.000,0.000,16.000,496.320,493.330,480.320,13.010,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,1/30/2012,14:50,,,19.370,0.000,19.370,500.580,497.830,481.210,16.620,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Deep zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,3/28/2012,11:15,,,17.360,0.000,17.360,500.580,497.830,483.220,14.610,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,4/24/2012,10:22,,,15.720,0.000,15.720,500.580,497.830,484.860,12.970,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,5/30/2012,11:02,,,18.330,0.000,18.330,500.580,497.830,482.250,15.580,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,7/3/2012,12:05,,,20.960,0.000,20.960,500.580,497.830,479.620,18.210,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,8/23/2012,12:25,,,23.110,0.000,23.110,500.580,497.830,477.470,20.360,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Deep zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,5/3/2012,00:00,,,16.400,0.000,16.400,496.320,493.330,479.920,13.410,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,9/25/2012,11:46,,,23.530,0.000,23.530,500.580,497.830,477.050,20.780,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,10/15/2012,12:02,,,23.660,0.000,23.660,500.580,497.830,476.920,20.910,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,12/10/2012,14:20,,,17.680,0.000,17.680,500.580,497.830,482.900,14.930,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Deep zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,1/29/2013,12:45,,,15.710,0.000,15.710,500.580,497.830,484.870,12.960,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Deep zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,2/27/2013,11:05,,,17.280,0.000,17.280,500.580,497.830,483.300,14.530,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,Deep zone,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,11/27/2012,00:00,,,23.200,0.000,23.200,496.320,493.330,473.120,20.210,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389722N1231033W002,SV-2B,4/24/2013,00:00,,,18.800,0.000,18.800,496.320,493.330,477.520,15.810,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,1/30/2012,14:26,,,10.100,0.000,10.100,525.480,522.830,515.380,7.450,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,3/28/2012,11:00,,,8.810,0.000,8.810,525.480,522.830,516.670,6.160,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,4/24/2012,09:55,,,8.550,0.000,8.550,525.480,522.830,516.930,5.900,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,5/30/2012,10:20,,,8.700,0.000,8.700,525.480,522.830,516.780,6.050,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,7/3/2012,11:40,,,9.070,0.000,9.070,525.480,522.830,516.410,6.420,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,8/23/2012,12:15,,,9.750,0.000,9.750,525.480,522.830,515.730,7.100,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,5/3/2012,00:00,,,8.800,0.000,8.800,525.830,522.830,517.030,5.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,9/25/2012,12:15,,,10.320,0.000,10.320,525.480,522.830,515.160,7.670,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,10/15/2012,11:35,,,10.230,0.000,10.230,525.480,522.830,515.250,7.580,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,12/10/2012,14:05,,,10.110,0.000,10.110,525.480,522.830,515.370,7.460,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,1/29/2013,12:15,,,8.990,0.000,8.990,525.480,522.830,516.490,6.340,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,2/27/2013,10:45,,,8.910,0.000,8.910,525.480,522.830,516.570,6.260,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
