CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Merced_01.01.1989-12.31.1990
362686N1209946W001,,3/22/1989,00:00,,,13.100,0.000,13.100,94.210,93.210,81.110,12.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
362686N1209946W001,,10/20/1989,00:00,,,9.100,0.000,9.100,94.210,93.210,85.110,8.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
362686N1209946W001,,2/15/1990,00:00,,,9.800,0.000,9.800,94.210,93.210,84.410,8.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
362686N1209946W001,,10/24/1990,00:00,,,13.400,0.000,13.400,94.210,93.210,80.810,12.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,1/24/1989,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,4/18/1989,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,7/18/1989,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,10/19/1989,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,1/25/1990,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,4/24/1990,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,7/24/1990,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368682N1207821W001,,10/25/1990,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,1/24/1989,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,4/18/1989,00:00,,,34.740,0.000,34.740,339.580,338.740,304.840,33.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,7/18/1989,00:00,,,33.140,0.000,33.140,339.580,338.740,306.440,32.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,10/19/1989,00:00,,,28.640,0.000,28.640,339.580,338.740,310.940,27.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,1/25/1990,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,4/24/1990,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,7/24/1990,00:00,,,36.240,0.000,36.240,339.580,338.740,303.340,35.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368918N1207943W001,,10/25/1990,00:00,,,36.940,0.000,36.940,339.580,338.740,302.640,36.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,1/24/1989,00:00,,,31.470,0.000,31.470,332.650,330.980,301.180,29.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,4/18/1989,00:00,,,30.370,0.000,30.370,332.650,330.980,302.280,28.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,7/18/1989,00:00,,,28.370,0.000,28.370,332.650,330.980,304.280,26.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,10/19/1989,00:00,,,27.170,0.000,27.170,332.650,330.980,305.480,25.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,1/25/1990,00:00,,,29.470,0.000,29.470,332.650,330.980,303.180,27.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,4/24/1990,00:00,,,28.670,0.000,28.670,332.650,330.980,303.980,27.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,7/24/1990,00:00,,,27.770,0.000,27.770,332.650,330.980,304.880,26.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
368927N1207927W001,,10/25/1990,00:00,,,28.270,0.000,28.270,332.650,330.980,304.380,26.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,1/24/1989,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,4/18/1989,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,7/18/1989,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,10/19/1989,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,1/25/1990,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,4/24/1990,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,7/24/1990,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369032N1208068W001,,10/25/1990,00:00,D - Dry well,,,,,339.420,338.800,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,1/24/1989,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,4/18/1989,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,7/18/1989,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,10/19/1989,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,1/25/1990,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,4/24/1990,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,7/24/1990,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
369038N1208068W001,,10/25/1990,00:00,D - Dry well,,,,,338.840,337.340,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1989-12.31.1990
