CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Merced_01.01.1991-12.31.1992
362686N1209946W001,,1/16/1991,00:00,,,9.100,0.000,9.100,94.210,93.210,85.110,8.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
362686N1209946W001,,10/23/1991,00:00,,,14.200,0.000,14.200,94.210,93.210,80.010,13.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
362686N1209946W001,,2/5/1992,00:00,,,9.300,0.000,9.300,94.210,93.210,84.910,8.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
362686N1209946W001,,10/21/1992,00:00,,,14.300,0.000,14.300,94.210,93.210,79.910,13.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,1/22/1991,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,4/9/1991,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,7/23/1991,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,10/22/1991,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,1/14/1992,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,4/15/1992,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,7/27/1992,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368682N1207821W001,,10/19/1992,00:00,D - Dry well,,,,,334.640,333.510,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,1/22/1991,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,4/9/1991,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,7/23/1991,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,10/22/1991,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,1/14/1992,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,4/15/1992,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,7/27/1992,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368918N1207943W001,,10/19/1992,00:00,D - Dry well,,,,,339.580,338.740,,,,,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368927N1207927W001,,1/22/1991,00:00,,,30.770,0.000,30.770,332.650,330.980,301.880,29.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368927N1207927W001,,4/9/1991,00:00,,,32.470,0.000,32.470,332.650,330.980,300.180,30.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
368927N1207927W001,,7/23/1991,00:00,,,31.570,0.000,31.570,332.650,330.980,301.080,29.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Merced_01.01.1991-12.31.1992
