CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
369257N1207454W001,,3/14/2000,00:00,,9 - Acoustical sounder,94.000,0.000,94.000,147.130,145.530,53.130,92.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,12/5/2001,00:00,,8 - Oil or foreign substance in casing,100.100,0.000,100.100,147.130,145.530,47.030,98.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,3/21/2002,00:00,,,103.600,0.000,103.600,147.130,145.530,43.530,102.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,3/26/2001,00:00,,,91.800,0.000,91.800,147.130,145.530,55.330,90.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,3/25/2003,00:00,,,97.700,0.000,97.700,147.130,145.530,49.430,96.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,4/1/2004,00:00,,,105.000,0.000,105.000,147.130,145.530,42.130,103.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/15/2000,00:00,,,14.100,0.000,14.100,139.900,138.400,125.800,12.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,11/27/2001,00:00,,,13.900,0.000,13.900,139.900,138.400,126.000,12.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/19/2002,00:00,,,15.300,0.000,15.300,139.900,138.400,124.600,13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/19/2001,00:00,,,12.800,0.000,12.800,139.900,138.400,127.100,11.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/19/2003,00:00,,,12.100,0.000,12.100,139.900,138.400,127.800,10.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/15/2004,00:00,,,11.600,0.000,11.600,139.900,138.400,128.300,10.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/15/2000,00:00,,,4.000,0.000,4.000,123.580,120.380,119.580,0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,11/27/2001,00:00,,,4.400,0.000,4.400,123.580,120.380,119.180,1.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/19/2002,00:00,,,4.100,0.000,4.100,123.580,120.380,119.480,0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/19/2001,00:00,,,4.000,0.000,4.000,123.580,120.380,119.580,0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/19/2003,00:00,,,4.300,0.000,4.300,123.580,120.380,119.280,1.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/15/2004,00:00,,,4.000,0.000,4.000,123.580,120.380,119.580,0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/15/2000,00:00,,,4.500,0.000,4.500,121.780,120.380,117.280,3.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,11/27/2001,00:00,,,0.500,0.000,0.500,121.780,120.380,121.280,-0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/19/2002,00:00,,,4.400,0.000,4.400,121.780,120.380,117.380,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/19/2001,00:00,,,4.400,0.000,4.400,121.780,120.380,117.380,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/19/2003,00:00,,,4.800,0.000,4.800,121.780,120.380,116.980,3.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/15/2004,00:00,,,4.200,0.000,4.200,121.780,120.380,117.580,2.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/15/2000,00:00,,,9.400,0.000,9.400,121.080,120.380,111.680,8.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,11/27/2001,00:00,,,9.500,0.000,9.500,121.080,120.380,111.580,8.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/19/2002,00:00,,,8.200,0.000,8.200,121.080,120.380,112.880,7.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/19/2001,00:00,,,8.300,0.000,8.300,121.080,120.380,112.780,7.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/19/2003,00:00,,,8.200,0.000,8.200,121.080,120.380,112.880,7.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/15/2004,00:00,,,7.600,0.000,7.600,121.080,120.380,113.480,6.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369549N1208371W001,,3/15/2000,00:00,,,38.200,0.000,38.200,193.760,193.160,155.560,37.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369549N1208371W001,,11/27/2001,00:00,,,37.200,0.000,37.200,193.760,193.160,156.560,36.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
