CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
369257N1207454W001,,4/21/2008,00:00,1 - Pumping,,,,,147.130,145.530,,,,,Department of Water Resources,Voluntary,
369257N1207454W001,,3/16/2009,00:00,1 - Pumping,,,,,147.130,145.530,,,,,Department of Water Resources,Voluntary,
369257N1207454W001,,11/12/2008,00:00,,9 - Acoustical sounder,145.000,0.000,145.000,147.130,145.530,2.130,143.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369257N1207454W001,,3/16/2010,00:00,,,147.800,0.000,147.800,147.130,145.530,-0.670,146.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/25/2008,00:00,,,17.500,0.000,17.500,139.900,138.400,122.400,16.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/16/2009,00:00,,,19.700,0.000,19.700,139.900,138.400,120.200,18.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,11/12/2008,00:00,,,20.300,0.000,20.300,139.900,138.400,119.600,18.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,11/24/2009,00:00,,,33.700,0.000,33.700,139.900,138.400,106.200,32.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369299N1206860W001,,3/24/2010,00:00,,,24.700,0.000,24.700,139.900,138.400,115.200,23.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/25/2008,00:00,,,4.700,0.000,4.700,123.580,120.380,118.880,1.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/16/2009,00:00,,,4.800,0.000,4.800,123.580,120.380,118.780,1.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,11/12/2008,00:00,,,5.000,0.000,5.000,123.580,120.380,118.580,1.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,11/24/2009,00:00,,,5.100,0.000,5.100,123.580,120.380,118.480,1.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369477N1206907W001,,3/24/2010,00:00,,,4.700,0.000,4.700,123.580,120.380,118.880,1.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/25/2008,00:00,,,4.400,0.000,4.400,121.780,120.380,117.380,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/16/2009,00:00,,,5.100,0.000,5.100,121.780,120.380,116.680,3.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,11/12/2008,00:00,,,5.100,0.000,5.100,121.780,120.380,116.680,3.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,11/24/2009,00:00,,,5.500,0.000,5.500,121.780,120.380,116.280,4.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369482N1206907W001,,3/24/2010,00:00,,,5.000,0.000,5.000,121.780,120.380,116.780,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/25/2008,00:00,,,9.300,0.000,9.300,121.080,120.380,111.780,8.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/16/2009,00:00,,,11.100,0.000,11.100,121.080,120.380,109.980,10.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,11/12/2008,00:00,,,14.700,0.000,14.700,121.080,120.380,106.380,14.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,11/24/2009,00:00,,,17.500,0.000,17.500,121.080,120.380,103.580,16.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369485N1206907W001,,3/24/2010,00:00,,,14.100,0.000,14.100,121.080,120.380,106.980,13.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369549N1208371W001,,3/25/2008,00:00,,,44.100,0.000,44.100,193.760,193.160,149.660,43.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369549N1208371W001,,3/19/2009,00:00,,,47.000,0.000,47.000,193.760,193.160,146.760,46.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369549N1208371W001,,11/14/2008,00:00,9 - Temporarily inaccessible,,,,,193.760,193.160,,,,,Department of Water Resources,Voluntary,
369549N1208371W001,,3/24/2010,00:00,,,50.100,0.000,50.100,193.760,193.160,143.660,49.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369574N1208393W001,,4/21/2008,00:00,,,48.200,0.000,48.200,195.770,194.770,147.570,47.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369574N1208393W001,,3/16/2009,00:00,,,53.100,0.000,53.100,195.770,194.770,142.670,52.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369574N1208393W001,,11/12/2008,00:00,,,53.400,0.000,53.400,195.770,194.770,142.370,52.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369574N1208393W001,,3/16/2010,00:00,,,53.900,0.000,53.900,195.770,194.770,141.870,52.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208460W001,,4/21/2008,00:00,,,63.300,0.000,63.300,202.800,202.800,139.500,63.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208460W001,,3/16/2009,00:00,,,64.100,0.000,64.100,202.800,202.800,138.700,64.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208460W001,,11/12/2008,00:00,,,68.500,0.000,68.500,202.800,202.800,134.300,68.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208460W001,,3/16/2010,00:00,,,67.100,0.000,67.100,202.800,202.800,135.700,67.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208588W001,,3/25/2008,00:00,1 - Pumping,,,,,232.840,231.840,,,,,Department of Water Resources,Voluntary,
369618N1208588W001,,3/19/2009,00:00,,,95.700,0.000,95.700,232.840,231.840,137.140,94.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208588W001,,11/14/2008,00:00,,,91.300,0.000,91.300,232.840,231.840,141.540,90.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369618N1208588W001,,3/24/2010,00:00,,,98.400,0.000,98.400,232.840,231.840,134.440,97.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369677N1207282W001,,3/25/2008,00:00,2 - Pump house locked,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W001,,3/16/2009,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W001,,11/12/2008,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W001,,3/24/2010,00:00,9 - Temporarily inaccessible,,,,,113.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W002,,3/25/2008,00:00,2 - Pump house locked,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W002,,3/16/2009,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W002,,11/12/2008,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,
369677N1207282W002,,3/24/2010,00:00,9 - Temporarily inaccessible,,,,,112.400,112.400,,,,,Department of Water Resources,Voluntary,
369680N1208463W001,,4/21/2008,00:00,,,59.200,0.000,59.200,200.790,199.790,141.590,58.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369680N1208463W001,,3/16/2009,00:00,,,64.000,0.000,64.000,200.790,199.790,136.790,63.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369680N1208463W001,,11/12/2008,00:00,,,65.300,0.000,65.300,200.790,199.790,135.490,64.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369680N1208463W001,,3/16/2010,00:00,,,65.000,0.000,65.000,200.790,199.790,135.790,64.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369691N1208427W001,,4/21/2008,00:00,,,48.000,0.000,48.000,193.270,192.770,145.270,47.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369691N1208427W001,,3/16/2009,00:00,,,51.300,0.000,51.300,193.270,192.770,141.970,50.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369691N1208427W001,,11/12/2008,00:00,,,48.600,0.000,48.600,193.270,192.770,144.670,48.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369691N1208427W001,,3/16/2010,00:00,,,53.600,0.000,53.600,193.270,192.770,139.670,53.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369696N1208527W001,,3/25/2008,00:00,,9 - Acoustical sounder,72.000,0.000,72.000,215.610,215.610,143.610,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369696N1208527W001,,3/19/2009,00:00,,,76.100,0.000,76.100,215.610,215.610,139.510,76.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369696N1208527W001,,11/14/2008,00:00,,,72.200,0.000,72.200,215.610,215.610,143.410,72.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369696N1208527W001,,3/24/2010,00:00,,,78.500,0.000,78.500,215.610,215.610,137.110,78.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
369757N1206685W001,,3/25/2008,00:00,5 - Unable to locate well,,,,,114.330,113.330,,,,,Department of Water Resources,Voluntary,
369757N1206685W001,,3/16/2009,00:00,0 - Measurement Discontinued,,,,,114.330,113.330,,,,,Department of Water Resources,Voluntary,
