CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/21/2011,00:00,,,10.000,0.000,10.000,"4,207.090","4,206.590","4,197.090",9.500,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/18/2012,00:00,,,10.000,1.600,8.400,"4,207.090","4,206.590","4,198.690",7.900,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/18/2012,00:00,,,10.000,1.600,8.400,"4,207.090","4,206.590","4,198.690",7.900,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/31/2012,00:00,,,12.000,1.200,10.800,"4,207.090","4,206.590","4,196.290",10.300,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/13/1983,00:00,,,7.500,0.000,7.500,"4,207.100","4,206.600","4,199.600",7.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/12/1984,00:00,,,10.000,0.000,10.000,"4,207.100","4,206.600","4,197.100",9.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,11/1/1984,00:00,,,7.800,0.000,7.800,"4,207.100","4,206.600","4,199.300",7.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/18/1985,00:00,,,6.300,0.000,6.300,"4,207.100","4,206.600","4,200.800",5.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/17/1985,00:00,,,10.800,0.000,10.800,"4,207.100","4,206.600","4,196.300",10.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/23/1986,00:00,,,6.600,0.000,6.600,"4,207.100","4,206.600","4,200.500",6.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,9/7/1986,00:00,,,9.200,0.000,9.200,"4,207.100","4,206.600","4,197.900",8.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,4/8/1987,00:00,,,6.900,0.000,6.900,"4,207.100","4,206.600","4,200.200",6.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/15/1987,00:00,,,9.200,0.000,9.200,"4,207.100","4,206.600","4,197.900",8.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,3/30/1988,00:00,,,7.100,0.000,7.100,"4,207.100","4,206.600","4,200.000",6.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/19/1988,00:00,,,9.600,0.000,9.600,"4,207.100","4,206.600","4,197.500",9.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,3/29/1989,00:00,,,6.800,0.000,6.800,"4,207.100","4,206.600","4,200.300",6.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/11/1989,00:00,,,9.800,0.000,9.800,"4,207.100","4,206.600","4,197.300",9.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,3/28/1990,00:00,,,6.800,0.000,6.800,"4,207.100","4,206.600","4,200.300",6.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/11/1990,00:00,,,9.400,0.000,9.400,"4,207.100","4,206.600","4,197.700",8.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,3/19/1991,00:00,,,7.800,0.000,7.800,"4,207.100","4,206.600","4,199.300",7.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,10/22/1991,00:00,,,9.500,0.000,9.500,"4,207.100","4,206.600","4,197.600",9.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
411907N1209447W001,39N09E28F001M,3/17/1992,00:00,,,7.400,0.000,7.400,"4,207.100","4,206.600","4,199.700",6.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Modoc_06.21.1983-06.21.2013
