CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,3/9/2011,00:00,D - Dry well,,,,,"7,130.000","7,130.000",,,,,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,12/2/2010,00:00,D - Dry well,,,,,"7,130.000","7,130.000",,,,,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,9/2/2010,00:00,D - Dry well,,,,,"7,130.000","7,130.000",,,,,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,6/1/2010,00:00,,,22.100,0.000,22.100,"7,130.000","7,130.000","7,107.900",22.100,ES - Electric sounder measurement,,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,3/4/2010,00:00,D - Dry well,,,,,"7,130.000","7,130.000",,,,,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
373714N1185236W001,LV6,12/2/2009,00:00,,,22.500,0.000,22.500,"7,130.000","7,130.000","7,107.500",22.500,ES - Electric sounder measurement,Unknown,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
374417N1185312W001,LV5,10/25/2011,00:00,,,82.490,0.000,82.490,"7,139.000","7,139.000","7,056.510",82.490,ES - Electric sounder measurement,Unknown,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
374417N1185312W001,LV5,5/12/2011,00:00,,,82.510,0.000,82.510,"7,139.000","7,139.000","7,056.490",82.510,ES - Electric sounder measurement,Unknown,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
374443N1185349W001,LV4,10/25/2011,00:00,,,51.430,0.000,51.430,"7,105.000","7,105.000","7,053.570",51.430,ES - Electric sounder measurement,Unknown,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
374443N1185349W001,LV4,5/12/2011,00:00,,,51.300,0.000,51.300,"7,105.000","7,105.000","7,053.700",51.300,ES - Electric sounder measurement,Unknown,Mono County,CASGEM,submitted by MCWD,Mono_06.21.1983-06.21.2013
375070N1186380W001,OV2,12/1/2010,14:05,,,38.100,0.000,38.100,"6,427.000","6,426.000","6,388.900",37.100,UNK - Unknown,Unknown,Mono County,CASGEM,,Mono_06.21.1983-06.21.2013
375070N1186380W001,OV2,6/10/2011,12:40,,,32.800,0.000,32.800,"6,427.000","6,426.000","6,394.200",31.800,UNK - Unknown,Unknown,Mono County,CASGEM,,Mono_06.21.1983-06.21.2013
375070N1186380W001,OV2,12/1/2011,15:20,,,36.300,0.000,36.300,"6,427.000","6,426.000","6,390.700",35.300,UNK - Unknown,Unknown,Mono County,CASGEM,,Mono_06.21.1983-06.21.2013
375070N1186380W001,OV2,6/5/2012,12:05,,,34.300,0.000,34.300,"6,427.000","6,426.000","6,392.700",33.300,UNK - Unknown,Unknown,Mono County,Voluntary,,Mono_06.21.1983-06.21.2013
375070N1186380W001,OV2,12/18/2012,12:20,,,37.400,0.000,37.400,"6,427.000","6,426.000","6,389.600",36.400,UNK - Unknown,Unknown,Mono County,Voluntary,,Mono_06.21.1983-06.21.2013
375080N1186380W001,OV1,12/1/2010,14:10,,,17.000,0.000,17.000,"6,427.000","6,426.000","6,410.000",16.000,UNK - Unknown,Unknown,Mono County,CASGEM,,Mono_06.21.1983-06.21.2013
375080N1186380W001,OV1,6/10/2011,12:35,,,4.900,0.000,4.900,"6,427.000","6,426.000","6,422.100",3.900,UNK - Unknown,Unknown,Mono County,CASGEM,,Mono_06.21.1983-06.21.2013
