CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Monterey_06.21.1983-06.21.2013
364735N1217328W001,De Los Helechos,10/3/2011,00:00,,,10.460,0.000,10.460,272.620,273.000,262.160,10.840,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364735N1217328W001,De Los Helechos,4/2/2012,16:15,,,8.890,0.000,8.890,272.620,273.000,263.730,9.270,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364735N1217328W001,De Los Helechos,9/27/2012,15:00,,,10.950,0.000,10.950,272.620,273.000,261.670,11.330,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364735N1217328W001,De Los Helechos,3/20/2013,12:01,,,9.800,0.000,9.800,272.620,273.000,262.820,10.180,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364792N1217397W001,Little League #1,10/3/2011,00:00,,,6.750,0.000,6.750,251.000,251.600,244.250,7.350,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364792N1217397W001,Little League #1,4/2/2012,16:05,,,4.990,0.000,4.990,251.000,251.600,246.010,5.590,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364792N1217397W001,Little League #1,9/27/2012,14:45,,,7.290,0.000,7.290,251.000,251.600,243.710,7.890,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364792N1217397W001,Little League #1,3/20/2013,11:30,,,6.120,0.000,6.120,251.000,251.600,244.880,6.720,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364921N1217493W001,Boronda,10/3/2011,00:00,,,15.050,0.000,15.050,220.420,218.070,205.370,12.700,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
364921N1217493W001,Boronda,4/2/2012,15:55,,,13.850,0.000,13.850,220.420,218.070,206.570,11.500,ES - Electric sounder measurement,0.01 Ft,Monterey Peninsula Water Management District,CASGEM,,Monterey_06.21.1983-06.21.2013
