casgem_id,lat,long,local_well_number,date,military_time_pst,no_measurement,questionable_measurement,reading_rp,reading_ws,rp_to_ws,rp_elevation,gs_elevation,wse,gs_to_ws,measurement_method,measurement_accuracy,collecting_coop_agency,voluntary_or_casgem_measurement,comments,extra_casgem_id,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/21/2012,00:00,,,137.000,0.000,137.000,"5,886.300","5,884.000","5,749.300",134.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/13/1995,00:00,,,190.200,0.000,190.200,"5,886.300","5,884.000","5,696.100",187.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,5/6/1991,00:00,,,200.400,0.000,200.400,"5,886.300","5,884.000","5,685.900",198.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/23/1991,00:00,,,200.700,0.000,200.700,"5,886.300","5,884.000","5,685.600",198.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,11/5/1992,00:00,,,202.000,0.000,202.000,"5,886.300","5,884.000","5,684.300",199.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,5/28/1993,00:00,,,196.900,0.000,196.900,"5,886.300","5,884.000","5,689.400",194.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/24/1993,00:00,,,196.800,0.000,196.800,"5,886.300","5,884.000","5,689.500",194.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/8/1994,00:00,,,196.700,0.000,196.700,"5,886.300","5,884.000","5,689.600",194.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/20/1994,00:00,,,197.100,0.000,197.100,"5,886.300","5,884.000","5,689.200",194.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/27/1995,00:00,,,195.500,0.000,195.500,"5,886.300","5,884.000","5,690.800",193.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/18/1990,00:00,,6 - Other,147.000,0.000,147.000,"5,886.300","5,884.000","5,739.300",144.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/11/1996,00:00,,,193.600,0.000,193.600,"5,886.300","5,884.000","5,692.700",191.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/4/1999,00:00,,,188.200,0.000,188.200,"5,886.300","5,884.000","5,698.100",185.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/14/1999,00:00,,,192.900,0.000,192.900,"5,886.300","5,884.000","5,693.400",190.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/7/2000,00:00,,,192.500,0.000,192.500,"5,886.300","5,884.000","5,693.800",190.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/4/2000,00:00,,,192.800,0.000,192.800,"5,886.300","5,884.000","5,693.500",190.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/22/1996,00:00,,,195.200,0.000,195.200,"5,886.300","5,884.000","5,691.100",192.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,5/6/1997,00:00,,,191.000,0.000,191.000,"5,886.300","5,884.000","5,695.300",188.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/21/1997,00:00,,,195.600,0.000,195.600,"5,886.300","5,884.000","5,690.700",193.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/18/1998,00:00,,,189.400,0.000,189.400,"5,886.300","5,884.000","5,696.900",187.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/13/1998,00:00,,,193.600,0.000,193.600,"5,886.300","5,884.000","5,692.700",191.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/12/2001,00:00,,,193.200,0.000,193.200,"5,886.300","5,884.000","5,693.100",190.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/3/2001,00:00,,,193.400,0.000,193.400,"5,886.300","5,884.000","5,692.900",191.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/17/2002,00:00,,,194.600,0.000,194.600,"5,886.300","5,884.000","5,691.700",192.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/8/2002,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/11/2003,00:00,,,192.200,0.000,192.200,"5,886.300","5,884.000","5,694.100",189.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/23/2003,00:00,,,196.600,0.000,196.600,"5,886.300","5,884.000","5,689.700",194.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/15/2004,00:00,,,191.400,0.000,191.400,"5,886.300","5,884.000","5,694.900",189.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/13/2004,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,CONSTRUCTION,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/14/2005,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/18/2005,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/13/2006,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/27/2006,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/12/2007,00:00,9 - Temporarily inaccessible,,,,,"5,886.300","5,884.000",,,,,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/2/2007,00:00,,,166.200,0.000,166.200,"5,886.300","5,884.000","5,720.100",163.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,7/15/2008,00:00,,,167.100,0.000,167.100,"5,886.300","5,884.000","5,719.200",164.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/29/2008,00:00,,,168.200,0.000,168.200,"5,886.300","5,884.000","5,718.100",165.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/16/2009,00:00,,,169.000,0.000,169.000,"5,886.300","5,884.000","5,717.300",166.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/6/2009,00:00,,,169.700,0.000,169.700,"5,886.300","5,884.000","5,716.600",167.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/15/2010,00:00,,,170.600,0.000,170.600,"5,886.300","5,884.000","5,715.700",168.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,10/6/2010,00:00,,,168.500,0.000,168.500,"5,886.300","5,884.000","5,717.800",166.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,6/21/2011,00:00,,,171.500,0.000,171.500,"5,886.300","5,884.000","5,714.800",169.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W001,17N16E13K001M,9/30/2011,00:00,,,165.000,0.000,165.000,"5,886.300","5,884.000","5,721.300",162.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,6/21/2012,00:00,,,212.000,0.000,212.000,"5,886.500","5,884.000","5,674.500",209.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,6/13/1995,00:00,,,190.300,0.000,190.300,"5,886.500","5,884.000","5,696.200",187.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,5/6/1991,00:00,,,200.800,0.000,200.800,"5,886.500","5,884.000","5,685.700",198.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,9/23/1991,00:00,,,205.600,0.000,205.600,"5,886.500","5,884.000","5,680.900",203.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,11/5/1992,00:00,,,196.900,0.000,196.900,"5,886.500","5,884.000","5,689.600",194.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,5/28/1993,00:00,,,185.000,0.000,185.000,"5,886.500","5,884.000","5,701.500",182.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,9/24/1993,00:00,,,202.100,0.000,202.100,"5,886.500","5,884.000","5,684.400",199.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,6/8/1994,00:00,,,200.900,0.000,200.900,"5,886.500","5,884.000","5,685.600",198.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,10/20/1994,00:00,,,205.200,0.000,205.200,"5,886.500","5,884.000","5,681.300",202.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,10/27/1995,00:00,,,199.100,0.000,199.100,"5,886.500","5,884.000","5,687.400",196.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,10/18/1990,00:00,,6 - Other,142.000,0.000,142.000,"5,886.500","5,884.000","5,744.500",139.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
393212N1201502W002,17N16E13K003M,6/11/1996,00:00,,,194.200,0.000,194.200,"5,886.500","5,884.000","5,692.300",191.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Nevada_06.21.1983-06.21.2013
