CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Riverside_06.21.1983-06.21.2013
334262N1160792W001,08S09E31R001S,12/12/2011,00:00,,,295.000,63.000,232.000,-17.800,-17.800,-249.800,232.000,ES - Electric sounder measurement,0.1 Ft,Coachella Valley Water District,CASGEM,,Riverside_06.21.1983-06.21.2013
334262N1160792W001,08S09E31R001S,4/3/2012,00:00,,,296.100,63.000,233.100,-17.800,-17.800,-250.900,233.100,ES - Electric sounder measurement,0.1 Ft,Coachella Valley Water District,CASGEM,,Riverside_06.21.1983-06.21.2013
334262N1160792W001,08S09E31R001S,7/3/2012,00:00,,,297.400,66.000,231.400,-17.800,-17.800,-249.200,231.400,ES - Electric sounder measurement,0.1 Ft,Coachella Valley Water District,CASGEM,,Riverside_06.21.1983-06.21.2013
334262N1160792W001,08S09E31R001S,11/15/2012,00:00,,,228.200,0.000,228.200,-17.800,-17.800,-246.000,228.200,ES - Electric sounder measurement,0.1 Ft,Coachella Valley Water District,CASGEM,,Riverside_06.21.1983-06.21.2013
334262N1160792W001,08S09E31R001S,4/10/2013,00:00,,,229.100,0.000,229.100,-17.800,-17.800,-246.900,229.100,ES - Electric sounder measurement,0.1 Ft,Coachella Valley Water District,CASGEM,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,2/8/1989,00:00,,,29.050,0.000,29.050,"1,222.300","1,222.300","1,193.250",29.050,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,5/3/1990,00:00,,,31.150,0.000,31.150,"1,222.300","1,222.300","1,191.150",31.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,12/14/1990,00:00,,,32.380,0.000,32.380,"1,222.300","1,222.300","1,189.920",32.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,6/13/1991,00:00,,,29.440,0.000,29.440,"1,222.300","1,222.300","1,192.860",29.440,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,5/4/1992,00:00,,,26.380,0.000,26.380,"1,222.300","1,222.300","1,195.920",26.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334345N1170879W001,,5/19/1993,00:00,,,21.250,0.000,21.250,"1,222.300","1,222.300","1,201.050",21.250,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
