CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
382377N1213206W001,,3/15/1990,00:00,,,66.900,0.000,66.900,43.260,43.260,-23.640,66.900,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,10/15/1990,00:00,,,89.000,0.000,89.000,43.260,43.260,-45.740,89.000,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,3/15/1991,00:00,,,73.000,0.000,73.000,43.260,43.260,-29.740,73.000,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,10/15/1991,00:00,,,82.200,0.000,82.200,43.260,43.260,-38.940,82.200,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,3/15/1992,00:00,,,66.600,0.000,66.600,43.260,43.260,-23.340,66.600,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,10/15/1992,00:00,,,89.700,0.000,89.700,43.260,43.260,-46.440,89.700,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,3/15/1993,00:00,,,66.100,0.000,66.100,43.260,43.260,-22.840,66.100,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,10/15/1993,00:00,,,68.200,0.000,68.200,43.260,43.260,-24.940,68.200,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,3/15/1994,00:00,,,65.400,0.000,65.400,43.260,43.260,-22.140,65.400,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
382377N1213206W001,,10/15/1994,00:00,,,74.200,0.000,74.200,43.260,43.260,-30.940,74.200,UNK - Unknown,Unknown,SACRAMENTO MUNICIPAL UTILITY DISTRICT,Voluntary,
