CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,3/27/2012,00:00,,,49.400,0.000,49.400,"1,114.090","1,114.090","1,064.690",49.400,ST - Steel tape measurement,0.01 Ft,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,2/26/1997,00:00,,,64.000,0.000,64.000,"1,114.090","1,114.090","1,050.090",64.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/10/2000,00:00,,,55.800,0.000,55.800,"1,114.090","1,114.090","1,058.290",55.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/23/2003,00:00,,,54.600,0.000,54.600,"1,114.090","1,114.090","1,059.490",54.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/8/2004,00:00,,,55.100,0.000,55.100,"1,114.090","1,114.090","1,058.990",55.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/27/2005,00:00,,,74.000,0.000,74.000,"1,114.090","1,114.090","1,040.090",74.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/27/2006,00:00,,,65.600,0.000,65.600,"1,114.090","1,114.090","1,048.490",65.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/27/2007,00:00,,,76.800,0.000,76.800,"1,114.090","1,114.090","1,037.290",76.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/21/2009,00:00,,,51.800,0.000,51.800,"1,114.090","1,114.090","1,062.290",51.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365878N1207829W001,15S11E32A001M,4/23/2013,00:00,,,54.100,0.000,54.100,"1,114.090","1,114.090","1,059.990",54.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,3/27/2012,00:00,,,31.200,0.000,31.200,"1,043.070","1,043.070","1,011.870",31.200,ST - Steel tape measurement,0.01 Ft,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,2/26/1997,00:00,,,36.200,0.000,36.200,"1,043.070","1,043.070","1,006.870",36.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/10/2000,00:00,,,34.800,0.000,34.800,"1,043.070","1,043.070","1,008.270",34.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/24/2003,00:00,,,34.000,0.000,34.000,"1,043.070","1,043.070","1,009.070",34.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/8/2004,00:00,,,28.900,0.000,28.900,"1,043.070","1,043.070","1,014.170",28.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/27/2005,00:00,,,35.500,0.000,35.500,"1,043.070","1,043.070","1,007.570",35.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/27/2006,00:00,,,33.000,0.000,33.000,"1,043.070","1,043.070","1,010.070",33.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/27/2007,00:00,,,33.100,0.000,33.100,"1,043.070","1,043.070","1,009.970",33.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/21/2009,00:00,,,32.500,0.000,32.500,"1,043.070","1,043.070","1,010.570",32.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365881N1207668W001,15S11E28R001M,4/23/2013,00:00,,,30.900,0.000,30.900,"1,043.070","1,043.070","1,012.170",30.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,3/27/2012,00:00,,,35.700,0.000,35.700,"1,163.100","1,163.100","1,127.400",35.700,ST - Steel tape measurement,0.01 Ft,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,2/26/1997,00:00,,,45.800,0.000,45.800,"1,163.100","1,163.100","1,117.300",45.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,4/10/2000,00:00,,,35.600,0.000,35.600,"1,163.100","1,163.100","1,127.500",35.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,4/23/2003,00:00,,,36.200,0.000,36.200,"1,163.100","1,163.100","1,126.900",36.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,4/8/2004,00:00,,,38.500,0.000,38.500,"1,163.100","1,163.100","1,124.600",38.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,4/27/2005,00:00,,,37.600,0.000,37.600,"1,163.100","1,163.100","1,125.500",37.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
365906N1207988W001,15S11E30R001M,4/27/2006,00:00,9 - Temporarily inaccessible,,,,,"1,163.100","1,163.100",,,,,Department of Water Resources,Voluntary,,SanBenito_06.21.1983-06.21.2013
