CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,8/13/1992,00:00,,,314.270,0.000,314.270,"2,602.800","2,602.800","2,288.530",314.270,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,10/30/1992,00:00,,2 - Nearby pump operating,314.570,0.000,314.570,"2,602.800","2,602.800","2,288.230",314.570,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,4/15/1993,00:00,,,315.890,0.000,315.890,"2,602.800","2,602.800","2,286.910",315.890,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,10/19/1993,00:00,,2 - Nearby pump operating,316.680,0.000,316.680,"2,602.800","2,602.800","2,286.120",316.680,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,4/20/1994,00:00,,2 - Nearby pump operating,316.720,0.000,316.720,"2,602.800","2,602.800","2,286.080",316.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340233N1170378W001,,10/26/1994,00:00,,2 - Nearby pump operating,316.310,0.000,316.310,"2,602.800","2,602.800","2,286.490",316.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,6/25/1990,00:00,,,245.070,0.000,245.070,"1,860.140","1,860.140","1,615.070",245.070,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,12/4/1990,00:00,,,246.600,0.000,246.600,"1,860.140","1,860.140","1,613.540",246.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,6/19/1991,00:00,,,246.420,0.000,246.420,"1,860.140","1,860.140","1,613.720",246.420,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,11/26/1991,00:00,,,246.830,0.000,246.830,"1,860.140","1,860.140","1,613.310",246.830,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,6/12/1992,00:00,,,243.620,0.000,243.620,"1,860.140","1,860.140","1,616.520",243.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,10/29/1992,00:00,,,242.330,0.000,242.330,"1,860.140","1,860.140","1,617.810",242.330,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340259N1171668W001,,4/13/1993,00:00,,,240.300,0.000,240.300,"1,860.140","1,860.140","1,619.840",240.300,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,3/25/1993,00:00,,,261.000,0.000,261.000,856.000,856.000,595.000,261.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,4/21/1993,00:00,,,265.000,0.000,265.000,856.000,856.000,591.000,265.000,UNK - Unknown,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,5/25/1993,00:00,,,267.000,0.000,267.000,856.000,856.000,589.000,267.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,6/30/1993,00:00,,,268.000,0.000,268.000,856.000,856.000,588.000,268.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,7/27/1993,00:00,,,265.000,0.000,265.000,856.000,856.000,591.000,265.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,8/30/1993,00:00,,,268.000,0.000,268.000,856.000,856.000,588.000,268.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,9/30/1993,00:00,,,266.000,0.000,266.000,856.000,856.000,590.000,266.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,10/26/1993,00:00,,,261.000,0.000,261.000,856.000,856.000,595.000,261.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,11/22/1993,00:00,,,259.000,0.000,259.000,856.000,856.000,597.000,259.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,12/27/1993,00:00,,,258.000,0.000,258.000,856.000,856.000,598.000,258.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,1/26/1994,00:00,,,258.000,0.000,258.000,856.000,856.000,598.000,258.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
340389N1176821W001,WEI1002741,2/28/1994,00:00,,,258.000,0.000,258.000,856.000,856.000,598.000,258.000,ES - Electric sounder measurement,0.01 Ft,Chino Basin Watermaster,CASGEM,,SanBernadino_01.01.1990-12.31.1994
