CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
376096N1212753W001,,3/14/1989,00:00,,,31.900,0.000,31.900,108.430,107.930,76.530,31.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,10/10/1989,00:00,,,31.300,0.000,31.300,108.430,107.930,77.130,30.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,4/10/1990,00:00,,,37.300,0.000,37.300,108.430,107.930,71.130,36.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,10/10/1990,00:00,,,32.100,0.000,32.100,108.430,107.930,76.330,31.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,2/22/1991,00:00,,,37.900,0.000,37.900,108.430,107.930,70.530,37.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,9/23/1991,00:00,,,33.100,0.000,33.100,108.430,107.930,75.330,32.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,3/19/1992,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,
376096N1212753W001,,10/8/1992,00:00,,,32.400,0.000,32.400,108.430,107.930,76.030,31.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,3/29/1993,00:00,,,39.300,0.000,39.300,108.430,107.930,69.130,38.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,9/30/1993,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,
376096N1212753W001,,3/10/1994,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,
376096N1212753W001,,10/12/1994,00:00,,,41.200,0.000,41.200,108.430,107.930,67.230,40.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,3/29/1995,00:00,,,39.300,0.000,39.300,108.430,107.930,69.130,38.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,10/5/1995,00:00,,,38.700,0.000,38.700,108.430,107.930,69.730,38.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376096N1212753W001,,3/22/1996,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/10/1989,00:00,,,128.100,0.000,128.100,196.470,195.470,68.370,127.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,10/11/1989,00:00,,,137.300,0.000,137.300,196.470,195.470,59.170,136.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,4/4/1990,00:00,,,155.700,0.000,155.700,196.470,195.470,40.770,154.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,10/11/1990,00:00,,,175.500,0.000,175.500,196.470,195.470,20.970,174.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,2/19/1991,00:00,,,167.700,0.000,167.700,196.470,195.470,28.770,166.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,9/25/1991,00:00,,,180.400,0.000,180.400,196.470,195.470,16.070,179.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/24/1992,00:00,,8 - Oil or foreign substance in casing,153.800,0.000,153.800,196.470,195.470,42.670,152.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,10/8/1992,00:00,,,182.400,0.000,182.400,196.470,195.470,14.070,181.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/31/1993,00:00,,,169.200,0.000,169.200,196.470,195.470,27.270,168.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,9/30/1993,00:00,,,179.800,0.000,179.800,196.470,195.470,16.670,178.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/10/1994,00:00,,0 - Caved or deepened,142.400,0.000,142.400,196.470,195.470,54.070,141.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,10/12/1994,00:00,,,176.300,0.000,176.300,196.470,195.470,20.170,175.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/29/1995,00:00,,,177.300,0.000,177.300,196.470,195.470,19.170,176.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376127N1213219W001,,10/5/1995,00:00,7 - Special/Other,,,,,196.470,195.470,,,,,Bureau of Reclamation,Voluntary,
376127N1213219W001,,3/22/1996,00:00,,,152.100,0.000,152.100,196.470,195.470,44.370,151.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376166N1213330W001,,3/14/1989,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,10/10/1989,00:00,4 - Can't get tape in casing,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,4/4/1990,00:00,4 - Can't get tape in casing,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,10/10/1990,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,2/19/1991,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,9/26/1991,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,3/24/1992,00:00,7 - Special/Other,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376166N1213330W001,,10/8/1992,00:00,0 - Measurement Discontinued,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/14/1989,00:00,4 - Can't get tape in casing,,,,,236.680,235.280,,,,,Bureau of Reclamation,Voluntary,
376230N1213433W001,,10/10/1989,00:00,4 - Can't get tape in casing,,,,,236.680,235.280,,,,,Bureau of Reclamation,Voluntary,
376230N1213433W001,,4/4/1990,00:00,,,147.400,0.000,147.400,236.680,235.280,89.280,146.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,10/11/1990,00:00,,,147.700,0.000,147.700,236.680,235.280,88.980,146.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,2/25/1991,00:00,4 - Can't get tape in casing,,,,,236.680,235.280,,,,,Bureau of Reclamation,Voluntary,
376230N1213433W001,,9/26/1991,00:00,4 - Can't get tape in casing,,,,,236.680,235.280,,,,,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/24/1992,00:00,,,154.800,0.000,154.800,236.680,235.280,81.880,153.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,10/8/1992,00:00,,,154.900,0.000,154.900,236.680,235.280,81.780,153.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/31/1993,00:00,,,157.300,0.000,157.300,236.680,235.280,79.380,155.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,9/30/1993,00:00,,,151.900,0.000,151.900,236.680,235.280,84.780,150.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/10/1994,00:00,,,143.800,0.000,143.800,236.680,235.280,92.880,142.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,10/12/1994,00:00,,,154.600,0.000,154.600,236.680,235.280,82.080,153.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/29/1995,00:00,,,155.500,0.000,155.500,236.680,235.280,81.180,154.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,10/5/1995,00:00,,,153.900,0.000,153.900,236.680,235.280,82.780,152.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376230N1213433W001,,3/22/1996,00:00,,,151.900,0.000,151.900,236.680,235.280,84.780,150.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/10/1989,00:00,,,100.300,0.000,100.300,183.060,181.260,82.760,98.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,10/10/1989,00:00,,,92.300,0.000,92.300,183.060,181.260,90.760,90.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,4/4/1990,00:00,,,95.800,0.000,95.800,183.060,181.260,87.260,94.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,10/11/1990,00:00,9 - Temporarily inaccessible,,,,,183.060,181.260,,,,,Bureau of Reclamation,Voluntary,
376233N1213247W001,,2/19/1991,00:00,,,98.200,0.000,98.200,183.060,181.260,84.860,96.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,9/26/1991,00:00,,,105.700,0.000,105.700,183.060,181.260,77.360,103.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/24/1992,00:00,,,102.500,0.000,102.500,183.060,181.260,80.560,100.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,10/8/1992,00:00,,,103.000,0.000,103.000,183.060,181.260,80.060,101.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/31/1993,00:00,,,110.700,0.000,110.700,183.060,181.260,72.360,108.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,9/30/1993,00:00,,,99.400,0.000,99.400,183.060,181.260,83.660,97.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/10/1994,00:00,,,101.300,0.000,101.300,183.060,181.260,81.760,99.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,10/12/1994,00:00,9 - Temporarily inaccessible,,,,,183.060,181.260,,,,,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/29/1995,00:00,,,106.700,0.000,106.700,183.060,181.260,76.360,104.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,10/5/1995,00:00,,,102.600,0.000,102.600,183.060,181.260,80.460,100.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376233N1213247W001,,3/22/1996,00:00,,,102.800,0.000,102.800,183.060,181.260,80.260,101.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/14/1989,00:00,,,133.600,0.000,133.600,203.460,202.460,69.860,132.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/11/1989,00:00,,,139.800,0.000,139.800,203.460,202.460,63.660,138.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,4/4/1990,00:00,,,133.400,0.000,133.400,203.460,202.460,70.060,132.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/10/1990,00:00,,,132.800,0.000,132.800,203.460,202.460,70.660,131.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,2/19/1991,00:00,,,122.100,0.000,122.100,203.460,202.460,81.360,121.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,9/23/1991,00:00,,8 - Oil or foreign substance in casing,138.700,0.000,138.700,203.460,202.460,64.760,137.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/18/1992,00:00,,,135.200,0.000,135.200,203.460,202.460,68.260,134.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/8/1992,00:00,,8 - Oil or foreign substance in casing,148.900,0.000,148.900,203.460,202.460,54.560,147.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/31/1993,00:00,,,137.400,0.000,137.400,203.460,202.460,66.060,136.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/1/1993,00:00,,,138.800,0.000,138.800,203.460,202.460,64.660,137.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/10/1994,00:00,,,123.400,0.000,123.400,203.460,202.460,80.060,122.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/11/1994,00:00,,,144.900,0.000,144.900,203.460,202.460,58.560,143.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/28/1995,00:00,,,125.700,0.000,125.700,203.460,202.460,77.760,124.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,10/5/1995,00:00,,,143.200,0.000,143.200,203.460,202.460,60.260,142.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
376322N1213413W001,,3/22/1996,00:00,,,149.100,0.000,149.100,203.460,202.460,54.360,148.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
