CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,SanJoaquin_06.21.1983-12.31.1988
376002N1213333W002,,10/27/1983,00:00,0 - Measurement Discontinued,,,,,248.410,247.410,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,10/24/1983,00:00,,,27.900,0.000,27.900,108.430,107.930,80.530,27.400,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,3/28/1984,00:00,,,30.100,0.000,30.100,108.430,107.930,78.330,29.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,10/10/1984,00:00,,,31.700,0.000,31.700,108.430,107.930,76.730,31.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,5/1/1985,00:00,2 - Pump house locked,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,12/10/1985,00:00,2 - Pump house locked,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,4/23/1986,00:00,2 - Pump house locked,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,10/29/1986,00:00,2 - Pump house locked,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,3/27/1987,00:00,,,31.700,0.000,31.700,108.430,107.930,76.730,31.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,10/21/1987,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,3/23/1988,00:00,9 - Temporarily inaccessible,,,,,108.430,107.930,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376096N1212753W001,,9/29/1988,00:00,,,31.100,0.000,31.100,108.430,107.930,77.330,30.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,10/27/1983,00:00,,,144.200,0.000,144.200,196.470,195.470,52.270,143.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,4/4/1984,00:00,,,138.900,0.000,138.900,196.470,195.470,57.570,137.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,10/10/1984,00:00,,,136.900,0.000,136.900,196.470,195.470,59.570,135.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,4/30/1985,00:00,,,146.700,0.000,146.700,196.470,195.470,49.770,145.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,11/11/1985,00:00,,,136.500,0.000,136.500,196.470,195.470,59.970,135.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,4/23/1986,00:00,,,136.700,0.000,136.700,196.470,195.470,59.770,135.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,10/30/1986,00:00,,,148.500,0.000,148.500,196.470,195.470,47.970,147.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,3/25/1987,00:00,,,138.300,0.000,138.300,196.470,195.470,58.170,137.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,10/27/1987,00:00,,,147.900,0.000,147.900,196.470,195.470,48.570,146.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,3/22/1988,00:00,,,151.100,0.000,151.100,196.470,195.470,45.370,150.100,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376127N1213219W001,,9/30/1988,00:00,,,153.500,0.000,153.500,196.470,195.470,42.970,152.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,10/27/1983,00:00,,,157.700,0.000,157.700,216.980,216.480,59.280,157.200,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,4/4/1984,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,10/5/1984,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,4/30/1985,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,11/1/1985,00:00,,8 - Oil or foreign substance in casing,171.500,0.000,171.500,216.980,216.480,45.480,171.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,4/23/1986,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,10/30/1986,00:00,1 - Pumping,,,,,216.980,216.480,,,,,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
376166N1213330W001,,3/25/1987,00:00,,,154.300,0.000,154.300,216.980,216.480,62.680,153.800,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,SanJoaquin_06.21.1983-12.31.1988
