CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/19/1990,00:00,,,15.300,0.000,15.300,48.200,47.700,32.900,14.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/19/1990,00:00,,,15.900,0.000,15.900,48.200,47.700,32.300,15.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/24/1991,00:00,,,14.400,0.000,14.400,48.200,47.700,33.800,13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/12/1991,00:00,,,16.000,0.000,16.000,48.200,47.700,32.200,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/28/1992,00:00,,,14.600,0.000,14.600,48.200,47.700,33.600,14.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/2/1992,00:00,,,16.000,0.000,16.000,48.200,47.700,32.200,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,5/4/1993,00:00,,,14.900,0.000,14.900,48.200,47.700,33.300,14.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/17/1993,00:00,,,16.500,0.000,16.500,48.200,47.700,31.700,16.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/21/1994,00:00,,,15.100,0.000,15.100,48.200,47.700,33.100,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/13/1989,00:00,,,16.000,0.000,16.000,48.200,47.700,32.200,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/13/1994,00:00,,,14.200,0.000,14.200,48.200,47.700,34.000,13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,5/3/1995,00:00,,,14.400,0.000,14.400,48.200,47.700,33.800,13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,12/19/1995,00:00,,,14.200,0.000,14.200,48.200,47.700,34.000,13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,5/2/1996,00:00,,,14.800,0.000,14.800,48.200,47.700,33.400,14.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,3/10/1999,00:00,,,13.100,0.000,13.100,48.200,47.700,35.100,12.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/3/1999,00:00,,,15.300,0.000,15.300,48.200,47.700,32.900,14.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/26/2000,00:00,,,14.000,0.000,14.000,48.200,47.700,34.200,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/1/2000,00:00,,,15.000,0.000,15.000,48.200,47.700,33.200,14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/13/1996,00:00,,,15.600,0.000,15.600,48.200,47.700,32.600,15.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/9/1997,00:00,,,15.200,0.000,15.200,48.200,47.700,33.000,14.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,10/22/1997,00:00,,,16.300,0.000,16.300,48.200,47.700,31.900,15.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/15/1998,00:00,,,13.600,0.000,13.600,48.200,47.700,34.600,13.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/19/1998,00:00,,,15.500,0.000,15.500,48.200,47.700,32.700,15.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/9/2002,00:00,,,15.200,0.000,15.200,48.200,47.700,33.000,14.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/20/2002,00:00,,,15.700,0.000,15.700,48.200,47.700,32.500,15.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/15/2003,00:00,,,14.600,0.000,14.600,48.200,47.700,33.600,14.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,4/25/2001,00:00,,,14.600,0.000,14.600,48.200,47.700,33.600,14.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,10/30/2001,00:00,,,15.500,0.000,15.500,48.200,47.700,32.700,15.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372511N1223703W001,,11/4/2003,00:00,7 - Special/Other,,,,,48.200,47.700,,,,,Department of Water Resources,Voluntary,OWNER REFUSED PERMISSION,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/19/1990,00:00,,,18.700,0.000,18.700,40.290,39.690,21.590,18.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/19/1990,00:00,,,18.600,0.000,18.600,40.290,39.690,21.690,18.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/24/1991,00:00,,,15.000,0.000,15.000,40.290,39.690,25.290,14.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/12/1991,00:00,,,19.200,0.000,19.200,40.290,39.690,21.090,18.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/28/1992,00:00,,,14.600,0.000,14.600,40.290,39.690,25.690,14.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/2/1992,00:00,,,19.100,0.000,19.100,40.290,39.690,21.190,18.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,5/4/1993,00:00,,,14.800,0.000,14.800,40.290,39.690,25.490,14.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/17/1993,00:00,,,18.900,0.000,18.900,40.290,39.690,21.390,18.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/21/1994,00:00,,,17.800,0.000,17.800,40.290,39.690,22.490,17.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/13/1989,00:00,,,18.300,0.000,18.300,40.290,39.690,21.990,17.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/13/1994,00:00,,,17.700,0.000,17.700,40.290,39.690,22.590,17.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,5/3/1995,00:00,,,12.600,0.000,12.600,40.290,39.690,27.690,12.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,12/19/1995,00:00,,,15.100,0.000,15.100,40.290,39.690,25.190,14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,5/2/1996,00:00,,,14.200,0.000,14.200,40.290,39.690,26.090,13.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,3/10/1999,00:00,,,9.000,0.000,9.000,40.290,39.690,31.290,8.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/3/1999,00:00,,,18.800,0.000,18.800,40.290,39.690,21.490,18.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/26/2000,00:00,,,11.200,0.000,11.200,40.290,39.690,29.090,10.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/1/2000,00:00,,,18.100,0.000,18.100,40.290,39.690,22.190,17.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/13/1996,00:00,,,19.000,0.000,19.000,40.290,39.690,21.290,18.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/9/1997,00:00,,,16.100,0.000,16.100,40.290,39.690,24.190,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,10/22/1997,00:00,,,19.200,0.000,19.200,40.290,39.690,21.090,18.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/15/1998,00:00,,,9.700,0.000,9.700,40.290,39.690,30.590,9.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/18/1998,00:00,,,18.700,0.000,18.700,40.290,39.690,21.590,18.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/9/2002,00:00,,,15.900,0.000,15.900,40.290,39.690,24.390,15.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/20/2002,00:00,,,18.900,0.000,18.900,40.290,39.690,21.390,18.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/15/2003,00:00,,,14.400,0.000,14.400,40.290,39.690,25.890,13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/25/2001,00:00,,,15.200,0.000,15.200,40.290,39.690,25.090,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,10/30/2001,00:00,,,18.900,0.000,18.900,40.290,39.690,21.390,18.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/5/2003,00:00,,,15.800,0.000,15.800,40.290,39.690,24.490,15.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/6/2004,00:00,,,14.100,0.000,14.100,40.290,39.690,26.190,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/17/2004,00:00,,,15.300,0.000,15.300,40.290,39.690,24.990,14.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/12/2005,00:00,,,8.200,0.000,8.200,40.290,39.690,32.090,7.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/15/2005,00:00,,,15.200,0.000,15.200,40.290,39.690,25.090,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,5/3/2006,00:00,,,8.700,0.000,8.700,40.290,39.690,31.590,8.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/14/2006,00:00,,,15.200,0.000,15.200,40.290,39.690,25.090,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/24/2007,00:00,,,14.300,0.000,14.300,40.290,39.690,25.990,13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,11/14/2007,00:00,,,15.100,0.000,15.100,40.290,39.690,25.190,14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372520N1223784W001,,4/29/2008,00:00,6 - Well has been destroyed,,,,,40.290,39.690,,,,,Department of Water Resources,Voluntary,WELL DESTROYED,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,4/19/1990,00:00,,,4.400,0.000,4.400,22.680,22.680,18.280,4.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/19/1990,00:00,,,4.600,0.000,4.600,22.680,22.680,18.080,4.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,4/24/1991,00:00,,,3.600,0.000,3.600,22.680,22.680,19.080,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/12/1991,00:00,,,5.000,0.000,5.000,22.680,22.680,17.680,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,4/28/1992,00:00,,2 - Nearby pump operating,3.800,0.000,3.800,22.680,22.680,18.880,3.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/2/1992,00:00,,,4.400,0.000,4.400,22.680,22.680,18.280,4.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,5/4/1993,00:00,,,4.200,0.000,4.200,22.680,22.680,18.480,4.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,11/17/1993,00:00,,,5.000,0.000,5.000,22.680,22.680,17.680,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,4/21/1994,00:00,,,4.000,0.000,4.000,22.680,22.680,18.680,4.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/13/1989,00:00,,,4.600,0.000,4.600,22.680,22.680,18.080,4.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/13/1994,00:00,,,2.700,0.000,2.700,22.680,22.680,19.980,2.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,5/3/1995,00:00,,,2.900,0.000,2.900,22.680,22.680,19.780,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,12/19/1995,00:00,,,2.900,0.000,2.900,22.680,22.680,19.780,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,5/2/1996,00:00,,,4.200,0.000,4.200,22.680,22.680,18.480,4.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,3/10/1999,00:00,,,2.900,0.000,2.900,22.680,22.680,19.780,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
372540N1223950W001,,11/3/1999,00:00,,,4.300,0.000,4.300,22.680,22.680,18.380,4.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,SanMateo_06.21.1983-06.21.2013
