CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
395622N1200469W001,,6/22/2012,00:00,,,3.900,0.000,3.900,"5,870.910","5,868.910","5,867.010",1.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,
395622N1200469W001,,6/13/1995,00:00,,,2.700,0.000,2.700,"5,870.910","5,868.910","5,868.210",0.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,5/7/1991,00:00,,,2.900,0.000,2.900,"5,870.910","5,868.910","5,868.010",0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/24/1991,00:00,,,4.600,0.000,4.600,"5,870.910","5,868.910","5,866.310",2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/17/1992,00:00,,,4.200,0.000,4.200,"5,870.910","5,868.910","5,866.710",2.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,11/4/1992,00:00,,,4.500,0.000,4.500,"5,870.910","5,868.910","5,866.410",2.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,5/28/1993,00:00,,,3.000,0.000,3.000,"5,870.910","5,868.910","5,867.910",1.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/24/1993,00:00,,,4.700,0.000,4.700,"5,870.910","5,868.910","5,866.210",2.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/8/1994,00:00,,,4.100,0.000,4.100,"5,870.910","5,868.910","5,866.810",2.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/19/1994,00:00,,,4.800,0.000,4.800,"5,870.910","5,868.910","5,866.110",2.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/28/1995,00:00,,,4.500,0.000,4.500,"5,870.910","5,868.910","5,866.410",2.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/17/1990,00:00,,,4.000,0.000,4.000,"5,870.910","5,868.910","5,866.910",2.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/11/1996,00:00,,,2.700,0.000,2.700,"5,870.910","5,868.910","5,868.210",0.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,WATER IN CASING AT 4.4 FEET
395622N1200469W001,,6/4/1999,00:00,,,2.100,0.000,2.100,"5,870.910","5,868.910","5,868.810",0.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/14/1999,00:00,,,3.700,0.000,3.700,"5,870.910","5,868.910","5,867.210",1.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/7/2000,00:00,,,2.800,0.000,2.800,"5,870.910","5,868.910","5,868.110",0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/4/2000,00:00,,,4.000,0.000,4.000,"5,870.910","5,868.910","5,866.910",2.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/21/1996,00:00,,,4.200,0.000,4.200,"5,870.910","5,868.910","5,866.710",2.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,5/6/1997,00:00,,,2.100,0.000,2.100,"5,870.910","5,868.910","5,868.810",0.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/20/1997,00:00,,,3.900,0.000,3.900,"5,870.910","5,868.910","5,867.010",1.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/18/1998,00:00,,,2.100,0.000,2.100,"5,870.910","5,868.910","5,868.810",0.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/13/1998,00:00,,,3.400,0.000,3.400,"5,870.910","5,868.910","5,867.510",1.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/12/2001,00:00,,,3.700,0.000,3.700,"5,870.910","5,868.910","5,867.210",1.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/3/2001,00:00,,,4.600,0.000,4.600,"5,870.910","5,868.910","5,866.310",2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/17/2002,00:00,,,3.200,0.000,3.200,"5,870.910","5,868.910","5,867.710",1.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/8/2002,00:00,,,4.400,0.000,4.400,"5,870.910","5,868.910","5,866.510",2.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/11/2003,00:00,,,3.200,0.000,3.200,"5,870.910","5,868.910","5,867.710",1.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/23/2003,00:00,,,4.800,0.000,4.800,"5,870.910","5,868.910","5,866.110",2.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/15/2004,00:00,,,3.700,0.000,3.700,"5,870.910","5,868.910","5,867.210",1.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/13/2004,00:00,,,4.900,0.000,4.900,"5,870.910","5,868.910","5,866.010",2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/14/2005,00:00,,,3.000,0.000,3.000,"5,870.910","5,868.910","5,867.910",1.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/18/2005,00:00,,,5.000,0.000,5.000,"5,870.910","5,868.910","5,865.910",3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/13/2006,00:00,,,2.800,0.000,2.800,"5,870.910","5,868.910","5,868.110",0.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/27/2006,00:00,,,4.600,0.000,4.600,"5,870.910","5,868.910","5,866.310",2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/12/2007,00:00,,,3.700,0.000,3.700,"5,870.910","5,868.910","5,867.210",1.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/2/2007,00:00,,,4.900,0.000,4.900,"5,870.910","5,868.910","5,866.010",2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,7/15/2008,00:00,,,4.600,0.000,4.600,"5,870.910","5,868.910","5,866.310",2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/29/2008,00:00,,,4.900,0.000,4.900,"5,870.910","5,868.910","5,866.010",2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/17/2009,00:00,,,3.800,0.000,3.800,"5,870.910","5,868.910","5,867.110",1.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/7/2009,00:00,,,5.300,0.000,5.300,"5,870.910","5,868.910","5,865.610",3.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/17/2010,00:00,,,3.200,0.000,3.200,"5,870.910","5,868.910","5,867.710",1.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,10/6/2010,00:00,,,4.600,0.000,4.600,"5,870.910","5,868.910","5,866.310",2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,6/22/2011,00:00,,,2.700,0.000,2.700,"5,870.910","5,868.910","5,868.210",0.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395622N1200469W001,,9/29/2011,00:00,,,4.400,0.000,4.400,"5,870.910","5,868.910","5,866.510",2.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/22/2012,00:00,,,15.600,0.000,15.600,"5,725.780","5,723.880","5,710.180",13.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,
395640N1200328W001,,6/13/1995,00:00,,,15.500,0.000,15.500,"5,725.780","5,723.880","5,710.280",13.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,5/7/1991,00:00,,,15.300,0.000,15.300,"5,725.780","5,723.880","5,710.480",13.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/24/1991,00:00,,,15.700,0.000,15.700,"5,725.780","5,723.880","5,710.080",13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/17/1992,00:00,,,16.200,0.000,16.200,"5,725.780","5,723.880","5,709.580",14.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,11/4/1992,00:00,,,16.900,0.000,16.900,"5,725.780","5,723.880","5,708.880",15.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,5/28/1993,00:00,,,15.800,0.000,15.800,"5,725.780","5,723.880","5,709.980",13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/24/1993,00:00,,,16.500,0.000,16.500,"5,725.780","5,723.880","5,709.280",14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/8/1994,00:00,,,16.900,0.000,16.900,"5,725.780","5,723.880","5,708.880",15.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/19/1994,00:00,,,17.400,0.000,17.400,"5,725.780","5,723.880","5,708.380",15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/28/1995,00:00,,,15.400,0.000,15.400,"5,725.780","5,723.880","5,710.380",13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/11/1996,00:00,,,14.700,0.000,14.700,"5,725.780","5,723.880","5,711.080",12.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/4/1999,00:00,,,12.100,0.000,12.100,"5,725.780","5,723.880","5,713.680",10.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/14/1999,00:00,,,12.900,0.000,12.900,"5,725.780","5,723.880","5,712.880",11.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/7/2000,00:00,,,12.500,0.000,12.500,"5,725.780","5,723.880","5,713.280",10.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/4/2000,00:00,,,13.200,0.000,13.200,"5,725.780","5,723.880","5,712.580",11.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/21/1996,00:00,,,15.100,0.000,15.100,"5,725.780","5,723.880","5,710.680",13.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,5/6/1997,00:00,,,13.600,0.000,13.600,"5,725.780","5,723.880","5,712.180",11.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/20/1997,00:00,,,13.500,0.000,13.500,"5,725.780","5,723.880","5,712.280",11.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/18/1998,00:00,,,13.000,0.000,13.000,"5,725.780","5,723.880","5,712.780",11.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/13/1998,00:00,,,13.400,0.000,13.400,"5,725.780","5,723.880","5,712.380",11.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/12/2001,00:00,,,13.700,0.000,13.700,"5,725.780","5,723.880","5,712.080",11.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/3/2001,00:00,,,14.400,0.000,14.400,"5,725.780","5,723.880","5,711.380",12.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/17/2002,00:00,,,14.200,0.000,14.200,"5,725.780","5,723.880","5,711.580",12.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/8/2002,00:00,,,14.900,0.000,14.900,"5,725.780","5,723.880","5,710.880",13.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/11/2003,00:00,,,14.500,0.000,14.500,"5,725.780","5,723.880","5,711.280",12.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/23/2003,00:00,,,15.200,0.000,15.200,"5,725.780","5,723.880","5,710.580",13.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/15/2004,00:00,,,15.100,0.000,15.100,"5,725.780","5,723.880","5,710.680",13.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/13/2004,00:00,,,16.000,0.000,16.000,"5,725.780","5,723.880","5,709.780",14.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/14/2005,00:00,,,14.900,0.000,14.900,"5,725.780","5,723.880","5,710.880",13.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/18/2005,00:00,,,15.700,0.000,15.700,"5,725.780","5,723.880","5,710.080",13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/13/2006,00:00,,,14.100,0.000,14.100,"5,725.780","5,723.880","5,711.680",12.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/27/2006,00:00,,,14.600,0.000,14.600,"5,725.780","5,723.880","5,711.180",12.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/12/2007,00:00,,,14.700,0.000,14.700,"5,725.780","5,723.880","5,711.080",12.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/2/2007,00:00,,,15.300,0.000,15.300,"5,725.780","5,723.880","5,710.480",13.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,7/15/2008,00:00,,,15.300,0.000,15.300,"5,725.780","5,723.880","5,710.480",13.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/29/2008,00:00,,,15.800,0.000,15.800,"5,725.780","5,723.880","5,709.980",13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/17/2009,00:00,,,15.700,0.000,15.700,"5,725.780","5,723.880","5,710.080",13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/7/2009,00:00,,,16.400,0.000,16.400,"5,725.780","5,723.880","5,709.380",14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/17/2010,00:00,,,15.700,0.000,15.700,"5,725.780","5,723.880","5,710.080",13.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,10/6/2010,00:00,,,16.400,0.000,16.400,"5,725.780","5,723.880","5,709.380",14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,6/22/2011,00:00,,,15.000,0.000,15.000,"5,725.780","5,723.880","5,710.780",13.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395640N1200328W001,,9/29/2011,00:00,,,15.600,0.000,15.600,"5,725.780","5,723.880","5,710.180",13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
395799N1203700W001,20N14E13Q002M,10/18/2011,00:00,,,4.590,0.000,4.590,"4,990.250","4,989.250","4,985.660",3.590,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
395799N1203700W001,20N14E13Q002M,4/17/2012,00:00,,,2.980,0.000,2.980,"4,990.250","4,989.250","4,987.270",1.980,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
395799N1203700W001,20N14E13Q002M,10/30/2012,00:00,,,6.190,0.000,6.190,"4,990.250","4,989.250","4,984.060",5.190,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
