CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/16/1990,00:00,,,2.500,0.000,2.500,3.940,2.540,1.440,1.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/10/1990,00:00,,,2.900,0.000,2.900,3.940,2.540,1.040,1.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,2/27/1991,00:00,,,2.300,0.000,2.300,3.940,2.540,1.640,0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/18/1991,00:00,,,2.800,0.000,2.800,3.940,2.540,1.140,1.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/11/1992,00:00,,,2.000,0.000,2.000,3.940,2.540,1.940,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/8/1992,00:00,,,2.800,0.000,2.800,3.940,2.540,1.140,1.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/5/1983,00:00,,,2.000,0.000,2.000,3.940,2.540,1.940,0.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/12/1984,00:00,,,2.100,0.000,2.100,3.940,2.540,1.840,0.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/2/1984,00:00,,,6.000,0.000,6.000,3.940,2.540,-2.060,4.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/8/1985,00:00,,,2.400,0.000,2.400,3.940,2.540,1.540,1.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/8/1985,00:00,,,3.000,0.000,3.000,3.940,2.540,0.940,1.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/17/1986,00:00,,,1.800,0.000,1.800,3.940,2.540,2.140,0.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/2/1986,00:00,,,5.300,0.000,5.300,3.940,2.540,-1.360,3.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,3/4/1987,00:00,5 - Unable to locate well,,,,,3.940,2.540,,,,,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,5/9/1988,00:00,,,5.300,0.000,5.300,3.940,2.540,-1.360,3.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,10/4/1988,00:00,,,5.000,0.000,5.000,3.940,2.540,-1.060,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,2/28/1989,00:00,,,2.700,0.000,2.700,3.940,2.540,1.240,1.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381511N1219946W001,,12/5/1989,00:00,,,2.300,0.000,2.300,3.940,2.540,1.640,0.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,4/25/1990,00:00,,,41.900,0.000,41.900,72.870,72.470,30.970,41.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,10/17/1990,00:00,,,43.000,0.000,43.000,72.870,72.470,29.870,42.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,2/27/1991,00:00,,,41.000,0.000,41.000,72.870,72.470,31.870,40.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,10/18/1991,00:00,,,41.500,0.000,41.500,72.870,72.470,31.370,41.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,3/11/1992,00:00,,,41.000,0.000,41.000,72.870,72.470,31.870,40.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
381724N1217450W001,,10/5/1992,00:00,,,43.200,0.000,43.200,72.870,72.470,29.670,42.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Solano_06.21.1983-12.31.1992
