CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Tulare_01.01.2003-06.21.2013
357103N1191112W001,,2/14/2012,12:00,,9 - Acoustical sounder,525.000,0.000,525.000,610.740,609.740,85.740,524.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357103N1191112W001,,2/14/2013,00:00,1 - Pumping,,,,,610.740,609.740,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357464N1190898W001,25S27E20C001M,2/14/2012,12:00,7 - Special/Other,,,,,596.740,595.740,,,,,Department of Water Resources,CASGEM,,Tulare_01.01.2003-06.21.2013
357464N1190898W001,25S27E20C001M,2/13/2013,00:00,7 - Special/Other,,,,,596.740,595.740,,,,,Department of Water Resources,CASGEM,,Tulare_01.01.2003-06.21.2013
357464N1190898W001,25S27E20C001M,2/14/2012,00:00,7 - Special/Other,,,,,1.000,0.000,,,,,Kern-Tulare Wate District,CASGEM,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/30/2012,00:00,2 - Pump house locked,,,,,537.210,536.710,,,,,Department of Water Resources,CASGEM,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/30/2003,00:00,,9 - Acoustical sounder,417.000,0.000,417.000,537.210,536.710,120.210,416.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/30/2003,00:00,,9 - Acoustical sounder,442.000,0.000,442.000,537.210,536.710,95.210,441.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/29/2004,00:00,,9 - Acoustical sounder,415.000,0.000,415.000,537.210,536.710,122.210,414.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,11/25/2004,00:00,,,446.000,0.000,446.000,537.210,536.710,91.210,445.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/27/2005,00:00,,9 - Acoustical sounder,416.000,0.000,416.000,537.210,536.710,121.210,415.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/17/2005,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/9/2006,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/8/2007,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/15/2007,00:00,,9 - Acoustical sounder,449.000,0.000,449.000,537.210,536.710,88.210,448.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/29/2008,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/6/2008,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/15/2009,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/20/2006,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,1/11/2010,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,11/5/2009,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357911N1190987W001,24S27E31P002M,10/25/2010,00:00,7 - Special/Other,,,,,537.210,536.710,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
