casgem_id,lat,long,local_well_number,date,military_time_pst,no_measurement,questionable_measurement,reading_rp,reading_ws,rp_to_ws,rp_elevation,gs_elevation,wse,gs_to_ws,measurement_method,measurement_accuracy,collecting_coop_agency,voluntary_or_casgem_measurement,comments,extra_casgem_id
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,1/4/2011,00:00,,,35.9,0.0,35.9,37.0,37.0,1.1,35.9,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,1/25/2011,00:00,,,38.4,0.0,38.4,37.0,37.0,-1.4,38.4,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,2/23/2011,00:00,,,35.7,0.0,35.7,37.0,37.0,1.3,35.7,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,3/21/2011,00:00,,,33.3,0.0,33.3,37.0,37.0,3.7,33.3,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,4/26/2011,00:00,,,31.4,0.0,31.4,37.0,37.0,5.6,31.4,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,5/24/2011,00:00,,,32.7,0.0,32.7,37.0,37.0,4.3,32.7,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,6/28/2011,00:00,,,37.6,0.0,37.6,37.0,37.0,-0.6,37.6,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,7/26/2011,00:00,,,42.3,0.0,42.3,37.0,37.0,-5.3,42.3,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,8/29/2011,00:00,,,40.7,0.0,40.7,37.0,37.0,-3.7,40.7,ES - Electric sounder measurement,0.1 Ft,Alameda County Water District,CASGEM,,
375259N1219869W001,37.5259,-121.9869,5S/1W-05H004,10/25/2011,00:00,,,38.53,0.0,38.53,37.0,37.0,-1.53,38.53,ES - Electric sounder measurement,0.01 Ft,Alameda County Water District,CASGEM,,
