CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
359647N1200793W001,,4/26/2012,12:00,,9 - Acoustical sounder,293.000,0.000,293.000,643.100,642.100,350.100,292.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359647N1200793W001,,4/17/2009,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359647N1200793W001,,4/15/2013,12:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/26/2012,12:00,9 - Temporarily inaccessible,,,,,634.000,633.000,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/17/2009,00:00,7 - Special/Other,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/15/2013,12:00,,9 - Acoustical sounder,269.800,0.000,269.800,697.120,695.120,427.320,267.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359717N1200849W001,,4/26/2012,12:00,,9 - Acoustical sounder,301.000,0.000,301.000,598.090,598.090,297.090,301.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359717N1200849W001,,4/15/2013,12:00,1 - Pumping,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,
359786N1201116W001,,4/26/2012,12:00,,,278.600,0.000,278.600,667.100,665.100,388.500,276.600,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359786N1201116W001,,4/17/2009,00:00,,9 - Acoustical sounder,272.000,0.000,272.000,725.130,723.130,453.130,270.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359786N1201116W001,,4/15/2013,12:00,,,279.900,0.000,279.900,725.130,723.130,445.230,277.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359878N1200960W001,,4/26/2012,12:00,,9 - Acoustical sounder,344.000,0.000,344.000,623.090,623.090,279.090,344.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
359878N1200960W001,,4/17/2009,00:00,,9 - Acoustical sounder,347.000,0.000,347.000,769.130,768.130,422.130,346.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359878N1200960W001,,4/15/2013,12:00,,9 - Acoustical sounder,356.000,0.000,356.000,769.130,768.130,413.130,355.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360500N1199441W001,,11/20/2008,00:00,6 - Well has been destroyed,,,,,196.040,195.040,,,,,Westlands Water District,Voluntary,
360530N1203327W001,,5/2/2008,00:00,,,12.600,0.000,12.600,171.390,170.190,158.790,11.400,UNK - Unknown,Unknown,Westlands Water District,Voluntary,
360530N1203327W001,,11/12/2008,00:00,,,12.400,0.000,12.400,171.390,170.190,158.990,11.200,UNK - Unknown,Unknown,Westlands Water District,Voluntary,
360530N1203327W001,,5/21/2009,00:00,,,11.500,0.000,11.500,171.390,170.190,159.890,10.300,UNK - Unknown,Unknown,Westlands Water District,Voluntary,
360611N1200171W001,21S/18E-34F01,12/27/2011,00:00,,6 - Other,101.000,0.000,101.000,320.000,320.000,219.000,101.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,Unknown problem
360611N1200171W001,21S/18E-34F01,12/31/2012,13:40,,,256.000,0.000,256.000,320.000,320.000,64.000,256.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360622N1202027W001,,12/11/2008,00:00,,9 - Acoustical sounder,312.000,0.000,312.000,708.060,706.060,396.060,310.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360622N1202027W001,,12/22/2009,00:00,9 - Temporarily inaccessible,,,,,708.060,706.060,,,,,Department of Water Resources,Voluntary,
360622N1202027W001,,12/8/2010,00:00,,9 - Acoustical sounder,315.000,0.000,315.000,708.060,706.060,393.060,313.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360622N1202027W001,,12/12/2011,00:00,,9 - Acoustical sounder,316.000,0.000,316.000,708.060,706.060,392.060,314.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360622N1202027W001,,4/17/2013,12:00,,9 - Acoustical sounder,321.100,0.000,321.100,708.060,706.060,386.960,319.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360622N1202027W001,,1/8/2013,12:00,,9 - Acoustical sounder,319.000,0.000,319.000,708.060,706.060,389.060,317.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360675N1202177W001,,12/11/2008,00:00,,9 - Acoustical sounder,340.000,0.000,340.000,679.070,678.070,339.070,339.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360675N1202177W001,,12/22/2009,00:00,,9 - Acoustical sounder,335.000,0.000,335.000,679.070,678.070,344.070,334.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360675N1202177W001,,12/8/2010,00:00,,9 - Acoustical sounder,354.000,0.000,354.000,679.070,678.070,325.070,353.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360675N1202177W001,,12/12/2011,00:00,,9 - Acoustical sounder,353.000,0.000,353.000,679.070,678.070,326.070,352.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360675N1202177W001,,4/17/2013,12:00,,9 - Acoustical sounder,352.900,0.000,352.900,679.070,678.070,326.170,351.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360675N1202177W001,,1/8/2013,12:00,,9 - Acoustical sounder,351.000,0.000,351.000,679.070,678.070,328.070,350.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360692N1200485W001,21S/18E-29E02,12/27/2011,00:00,,,290.000,0.000,290.000,387.000,387.000,97.000,290.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360692N1200485W001,21S/18E-29E02,12/31/2012,11:50,,,331.000,0.000,331.000,387.000,387.000,56.000,331.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360694N1202227W001,,12/11/2008,00:00,,9 - Acoustical sounder,333.000,0.000,333.000,669.070,668.070,336.070,332.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360694N1202227W001,,12/22/2009,00:00,,9 - Acoustical sounder,339.000,0.000,339.000,669.070,668.070,330.070,338.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360694N1202227W001,,12/8/2010,00:00,,9 - Acoustical sounder,338.000,0.000,338.000,669.070,668.070,331.070,337.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360694N1202227W001,,12/12/2011,00:00,1 - Pumping,,,,,669.070,668.070,,,,,Department of Water Resources,Voluntary,
360694N1202227W001,,4/17/2013,12:00,7 - Special/Other,,,,,669.070,668.070,,,,,Department of Water Resources,Voluntary,
360694N1202227W001,,1/8/2013,12:00,7 - Special/Other,,,,,669.070,668.070,,,,,Department of Water Resources,Voluntary,
360700N1202221W001,,12/11/2008,00:00,,9 - Acoustical sounder,305.000,0.000,305.000,671.070,668.070,366.070,302.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360700N1202221W001,,12/22/2009,00:00,,9 - Acoustical sounder,306.000,0.000,306.000,671.070,668.070,365.070,303.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360700N1202221W001,,12/8/2010,00:00,,9 - Acoustical sounder,306.000,0.000,306.000,671.070,668.070,365.070,303.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360700N1202221W001,,12/12/2011,00:00,,9 - Acoustical sounder,306.000,0.000,306.000,671.070,668.070,365.070,303.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360700N1202221W001,,4/17/2013,12:00,,9 - Acoustical sounder,306.000,0.000,306.000,671.070,668.070,365.070,303.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360700N1202221W001,,1/8/2013,12:00,,9 - Acoustical sounder,306.000,0.000,306.000,671.070,668.070,365.070,303.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360706N1202149W001,,12/11/2008,00:00,,9 - Acoustical sounder,335.000,0.000,335.000,676.060,675.060,341.060,334.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360706N1202149W001,,12/22/2009,00:00,,9 - Acoustical sounder,334.000,0.000,334.000,676.060,675.060,342.060,333.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360706N1202149W001,,12/8/2010,00:00,,9 - Acoustical sounder,339.000,0.000,339.000,676.060,675.060,337.060,338.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360706N1202149W001,,12/12/2011,00:00,,9 - Acoustical sounder,341.000,0.000,341.000,676.060,675.060,335.060,340.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360706N1202149W001,,4/17/2013,12:00,,9 - Acoustical sounder,344.900,0.000,344.900,676.060,675.060,331.160,343.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360706N1202149W001,,1/8/2013,12:00,,9 - Acoustical sounder,344.000,0.000,344.000,676.060,675.060,332.060,343.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360708N1202085W001,,12/11/2008,00:00,,9 - Acoustical sounder,298.000,0.000,298.000,683.060,683.060,385.060,298.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360708N1202085W001,,12/22/2009,00:00,,9 - Acoustical sounder,298.000,0.000,298.000,683.060,683.060,385.060,298.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360708N1202085W001,,12/8/2010,00:00,,9 - Acoustical sounder,299.000,0.000,299.000,683.060,683.060,384.060,299.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360708N1202085W001,,12/12/2011,00:00,,9 - Acoustical sounder,300.000,0.000,300.000,683.060,683.060,383.060,300.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360708N1202085W001,,4/17/2013,12:00,,9 - Acoustical sounder,301.800,0.000,301.800,683.060,683.060,381.260,301.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360708N1202085W001,,1/8/2013,12:00,,9 - Acoustical sounder,301.000,0.000,301.000,683.060,683.060,382.060,301.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360714N1202096W001,,12/11/2008,00:00,,9 - Acoustical sounder,299.000,0.000,299.000,680.060,680.060,381.060,299.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360714N1202096W001,,12/22/2009,00:00,,9 - Acoustical sounder,300.000,0.000,300.000,680.060,680.060,380.060,300.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360714N1202096W001,,12/8/2010,00:00,,9 - Acoustical sounder,301.000,0.000,301.000,680.060,680.060,379.060,301.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360714N1202096W001,,12/12/2011,00:00,,9 - Acoustical sounder,301.000,0.000,301.000,680.060,680.060,379.060,301.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360714N1202096W001,,4/17/2013,12:00,,9 - Acoustical sounder,302.900,0.000,302.900,680.060,680.060,377.160,302.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360714N1202096W001,,1/8/2013,12:00,,9 - Acoustical sounder,303.000,0.000,303.000,680.060,680.060,377.060,303.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360717N1202185W001,,12/11/2008,00:00,,9 - Acoustical sounder,277.000,0.000,277.000,667.060,666.060,390.060,276.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360717N1202185W001,,12/22/2009,00:00,,9 - Acoustical sounder,277.000,0.000,277.000,667.060,666.060,390.060,276.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360717N1202185W001,,12/8/2010,00:00,,9 - Acoustical sounder,277.000,0.000,277.000,667.060,666.060,390.060,276.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360717N1202185W001,,12/12/2011,00:00,,9 - Acoustical sounder,273.000,0.000,273.000,667.060,666.060,394.060,272.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360717N1202185W001,,4/17/2013,12:00,7 - Special/Other,,,,,667.060,666.060,,,,,Department of Water Resources,Voluntary,
360717N1202185W001,,1/8/2013,12:00,7 - Special/Other,,,,,667.060,666.060,,,,,Department of Water Resources,Voluntary,
360725N1200124W001,21S/18E-27K01,12/22/2011,00:00,5 - Unable to locate well,,,,,280.000,280.000,,,,,Westlands Water District,Voluntary,
360725N1200124W001,21S/18E-27K01,12/20/2012,11:13,,,150.000,0.000,150.000,280.000,280.000,130.000,150.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360728N1200571W001,,11/24/2008,00:00,7 - Special/Other,,,,,414.000,413.000,,,,,Westlands Water District,Voluntary,
360753N1202185W001,,12/11/2008,00:00,,9 - Acoustical sounder,330.000,0.000,330.000,660.060,660.060,330.060,330.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360753N1202185W001,,12/22/2009,00:00,,9 - Acoustical sounder,331.000,0.000,331.000,660.060,660.060,329.060,331.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360753N1202185W001,,12/8/2010,00:00,,9 - Acoustical sounder,335.000,0.000,335.000,660.060,660.060,325.060,335.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360753N1202185W001,,12/12/2011,00:00,,9 - Acoustical sounder,338.000,0.000,338.000,660.060,660.060,322.060,338.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360753N1202185W001,,4/17/2013,12:00,,9 - Acoustical sounder,345.900,0.000,345.900,660.060,660.060,314.160,345.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360753N1202185W001,,1/8/2013,12:00,,9 - Acoustical sounder,345.000,0.000,345.000,660.060,660.060,315.060,345.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360800N1200571W001,,12/18/2008,00:00,5 - Unable to locate well,,,,,372.970,372.970,,,,,Westlands Water District,Voluntary,
360833N1202254W001,,12/11/2008,00:00,,9 - Acoustical sounder,343.000,0.000,343.000,636.050,635.050,293.050,342.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360833N1202254W001,,12/22/2009,00:00,,9 - Acoustical sounder,352.000,0.000,352.000,636.050,635.050,284.050,351.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360833N1202254W001,,12/8/2010,00:00,,9 - Acoustical sounder,350.000,0.000,350.000,636.050,635.050,286.050,349.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360833N1202254W001,,12/12/2011,00:00,,9 - Acoustical sounder,356.000,0.000,356.000,636.050,635.050,280.050,355.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360833N1202254W001,,4/17/2013,12:00,,9 - Acoustical sounder,371.300,0.000,371.300,636.050,635.050,264.750,370.300,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
360833N1202254W001,,1/8/2013,12:00,1 - Pumping,,,,,636.050,635.050,,,,,Department of Water Resources,Voluntary,
360867N1200760W001,21S/17E-24J01,12/20/2011,00:00,7 - Special/Other,,,,,400.000,400.000,,,,,Westlands Water District,Voluntary,No access
360867N1200760W001,21S/17E-24J01,12/19/2012,13:45,7 - Special/Other,,,,,400.000,400.000,,,,,Westlands Water District,Voluntary,No access
360869N1201202W001,21S/17E-22G01,12/20/2011,00:00,,,474.000,0.000,474.000,576.000,576.000,102.000,474.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360869N1201202W001,21S/17E-22G01,12/19/2012,14:06,,,277.000,0.000,277.000,576.000,576.000,299.000,277.000,AS - Acoustic or sonic sounder,1 Ft,Westlands Water District,Voluntary,
360872N1202127W001,,12/11/2008,00:00,,9 - Acoustical sounder,328.000,0.000,328.000,638.550,638.050,310.550,327.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360872N1202127W001,,12/22/2009,00:00,,9 - Acoustical sounder,334.000,0.000,334.000,638.550,638.050,304.550,333.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360872N1202127W001,,12/8/2010,00:00,,9 - Acoustical sounder,335.000,0.000,335.000,638.550,638.050,303.550,334.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360872N1202127W001,,12/12/2011,00:00,,9 - Acoustical sounder,338.000,0.000,338.000,638.550,638.050,300.550,337.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
360872N1202127W001,,4/17/2013,12:00,,9 - Acoustical sounder,348.700,0.000,348.700,638.550,638.050,289.850,348.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
