CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
348214N1181615W001,,3/28/1988,00:00,,,73.320,0.000,73.320,"2,312.740","2,312.740","2,239.420",73.320,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/23/1989,00:00,,,73.190,0.000,73.190,"2,312.740","2,312.740","2,239.550",73.190,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/15/1990,00:00,,,73.550,0.000,73.550,"2,312.740","2,312.740","2,239.190",73.550,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/22/1991,00:00,,,74.740,0.000,74.740,"2,312.740","2,312.740","2,238.000",74.740,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,11/8/1991,00:00,,,135.350,0.000,135.350,"2,293.580","2,293.580","2,158.230",135.350,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W001,,1/30/1991,00:00,,,133.810,0.000,133.810,"2,293.090","2,293.090","2,159.280",133.810,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W001,,7/15/1991,00:00,,,136.370,0.000,136.370,"2,293.090","2,293.090","2,156.720",136.370,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W002,,1/30/1991,00:00,,,132.800,0.000,132.800,"2,292.690","2,292.690","2,159.890",132.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W002,,7/15/1991,00:00,,,136.720,0.000,136.720,"2,292.690","2,292.690","2,155.970",136.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W003,,1/30/1991,00:00,,,132.080,0.000,132.080,"2,292.690","2,292.690","2,160.610",132.080,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W003,,7/15/1991,00:00,,,136.490,0.000,136.490,"2,292.690","2,292.690","2,156.200",136.490,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W004,,10/9/1991,00:00,,,17.900,0.000,17.900,"2,292.890","2,292.890","2,274.990",17.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W001,,7/11/1991,00:00,,,128.510,0.000,128.510,"2,285.680","2,285.680","2,157.170",128.510,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W001,,7/16/1991,00:00,,,131.920,0.000,131.920,"2,285.680","2,285.680","2,153.760",131.920,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W002,,7/11/1991,00:00,,,122.530,0.000,122.530,"2,285.680","2,285.680","2,163.150",122.530,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W002,,7/16/1991,00:00,,,125.310,0.000,125.310,"2,285.680","2,285.680","2,160.370",125.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W003,,7/16/1991,00:00,,,21.900,0.000,21.900,"2,285.680","2,285.680","2,263.780",21.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1179668W001,,7/11/1991,00:00,,,127.520,0.000,127.520,"2,285.700","2,285.700","2,158.180",127.520,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1179668W001,,7/16/1991,00:00,,,127.700,0.000,127.700,"2,285.700","2,285.700","2,158.000",127.700,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348292N1179979W001,,3/29/1988,00:00,,,104.380,0.000,104.380,"2,291.890","2,291.890","2,187.510",104.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348292N1179979W001,,3/13/1990,00:00,,,103.380,0.000,103.380,"2,291.890","2,291.890","2,188.510",103.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348292N1179979W001,,5/7/1991,00:00,,,102.010,0.000,102.010,"2,291.890","2,291.890","2,189.880",102.010,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348328N1185202W001,,3/30/1988,00:00,,,297.770,0.000,297.770,"2,887.900","2,887.900","2,590.130",297.770,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348328N1185202W001,,3/21/1989,00:00,,,297.600,0.000,297.600,"2,887.900","2,887.900","2,590.300",297.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348328N1185202W001,,3/15/1990,00:00,,,297.880,0.000,297.880,"2,887.900","2,887.900","2,590.020",297.880,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348333N1185079W001,,3/30/1988,00:00,,,393.750,0.000,393.750,"2,882.900","2,882.900","2,489.150",393.750,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348333N1185079W001,,3/22/1989,00:00,,,393.520,0.000,393.520,"2,882.900","2,882.900","2,489.380",393.520,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348333N1185079W001,,3/15/1990,00:00,,,394.550,0.000,394.550,"2,882.900","2,882.900","2,488.350",394.550,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348333N1185079W001,,4/17/1991,00:00,,,393.570,0.000,393.570,"2,882.900","2,882.900","2,489.330",393.570,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348336N1184477W001,,3/30/1988,00:00,,,281.250,0.000,281.250,"2,645.240","2,645.240","2,363.990",281.250,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348336N1184477W001,,3/22/1989,00:00,,4 - Pumped recently,289.990,0.000,289.990,"2,645.240","2,645.240","2,355.250",289.990,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348336N1184477W001,,3/15/1990,00:00,,,278.760,0.000,278.760,"2,645.240","2,645.240","2,366.480",278.760,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348336N1184477W001,,3/19/1991,00:00,,,275.720,0.000,275.720,"2,645.240","2,645.240","2,369.520",275.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348353N1183490W001,,3/30/1988,00:00,,,317.680,0.000,317.680,"2,525.670","2,525.670","2,207.990",317.680,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348353N1183490W001,,3/22/1989,00:00,,,314.480,0.000,314.480,"2,525.670","2,525.670","2,211.190",314.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348353N1183490W001,,3/15/1990,00:00,,,314.200,0.000,314.200,"2,525.670","2,525.670","2,211.470",314.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348353N1183490W001,,3/19/1991,00:00,,,307.250,0.000,307.250,"2,525.670","2,525.670","2,218.420",307.250,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348378N1178915W001,,11/8/1991,00:00,,,110.720,0.000,110.720,"2,272.160","2,272.160","2,161.440",110.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348378N1178915W002,,11/8/1991,00:00,,,71.600,0.000,71.600,"2,272.160","2,272.160","2,200.560",71.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348392N1182479W001,,3/29/1988,00:00,,,169.020,0.000,169.020,"2,392.740","2,392.740","2,223.720",169.020,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348392N1182479W001,,4/5/1989,00:00,,,176.220,0.000,176.220,"2,392.740","2,392.740","2,216.520",176.220,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348392N1182479W001,,3/16/1990,00:00,,,170.380,0.000,170.380,"2,392.740","2,392.740","2,222.360",170.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348392N1182479W001,,3/19/1991,00:00,4 - Can't get tape in casing,,,,,"2,392.740","2,392.740",,,,,United States Geological Survey,Voluntary,
348458N1179474W001,,3/29/1988,00:00,,,87.550,0.000,87.550,"2,296.570","2,296.570","2,209.020",87.550,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348458N1179474W001,,3/24/1989,00:00,,,88.140,0.000,88.140,"2,296.570","2,296.570","2,208.430",88.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348458N1179474W001,,3/14/1990,00:00,,,88.890,0.000,88.890,"2,296.570","2,296.570","2,207.680",88.890,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348458N1179474W001,,5/7/1991,00:00,,,89.610,0.000,89.610,"2,296.570","2,296.570","2,206.960",89.610,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348475N1178151W001,,3/29/1988,00:00,,,86.310,0.000,86.310,"2,282.440","2,282.440","2,196.130",86.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348475N1178151W001,,3/29/1989,00:00,,,90.030,0.000,90.030,"2,282.440","2,282.440","2,192.410",90.030,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348475N1178151W001,,3/12/1990,00:00,,,90.380,0.000,90.380,"2,282.440","2,282.440","2,192.060",90.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348475N1178151W001,,3/19/1991,00:00,,,92.280,0.000,92.280,"2,282.440","2,282.440","2,190.160",92.280,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W001,,6/19/1991,00:00,,,95.090,0.000,95.090,"2,273.740","2,273.740","2,178.650",95.090,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W001,,7/12/1991,00:00,,4 - Pumped recently,94.360,0.000,94.360,"2,273.740","2,273.740","2,179.380",94.360,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W001,,7/16/1991,00:00,,,94.440,0.000,94.440,"2,273.740","2,273.740","2,179.300",94.440,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W002,,6/19/1991,00:00,,,93.470,0.000,93.470,"2,273.740","2,273.740","2,180.270",93.470,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W002,,7/12/1991,00:00,,4 - Pumped recently,92.700,0.000,92.700,"2,273.740","2,273.740","2,181.040",92.700,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W002,,7/16/1991,00:00,,,92.880,0.000,92.880,"2,273.740","2,273.740","2,180.860",92.880,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W003,,6/19/1991,00:00,,,89.870,0.000,89.870,"2,273.740","2,273.740","2,183.870",89.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W003,,7/12/1991,00:00,,4 - Pumped recently,89.200,0.000,89.200,"2,273.740","2,273.740","2,184.540",89.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W003,,7/16/1991,00:00,,,89.260,0.000,89.260,"2,273.740","2,273.740","2,184.480",89.260,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W004,,6/19/1991,00:00,,,87.800,0.000,87.800,"2,273.740","2,273.740","2,185.940",87.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W004,,7/12/1991,00:00,,4 - Pumped recently,87.900,0.000,87.900,"2,273.740","2,273.740","2,185.840",87.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W004,,7/16/1991,00:00,,,87.890,0.000,87.890,"2,273.740","2,273.740","2,185.850",87.890,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W005,,6/19/1991,00:00,,,40.300,0.000,40.300,"2,273.740","2,273.740","2,233.440",40.300,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W005,,7/12/1991,00:00,,4 - Pumped recently,40.600,0.000,40.600,"2,273.740","2,273.740","2,233.140",40.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348489N1178390W005,,7/16/1991,00:00,,,40.380,0.000,40.380,"2,273.740","2,273.740","2,233.360",40.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348533N1181318W001,,3/28/1988,00:00,,,69.220,0.000,69.220,"2,295.110","2,295.110","2,225.890",69.220,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348533N1181318W001,,3/23/1989,00:00,,,69.900,0.000,69.900,"2,295.110","2,295.110","2,225.210",69.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348533N1181318W001,,3/15/1990,00:00,,,71.250,0.000,71.250,"2,295.110","2,295.110","2,223.860",71.250,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348533N1181318W001,,3/21/1991,00:00,,,72.130,0.000,72.130,"2,295.110","2,295.110","2,222.980",72.130,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348611N1178968W001,,7/17/1991,00:00,,,124.180,0.000,124.180,"2,274.270","2,274.270","2,150.090",124.180,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348617N1178885W001,,7/17/1991,00:00,,,113.340,0.000,113.340,"2,282.650","2,282.650","2,169.310",113.340,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,3/29/1988,00:00,,,339.090,0.000,339.090,"2,659.220","2,659.220","2,320.130",339.090,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,3/22/1989,00:00,,,338.900,0.000,338.900,"2,659.220","2,659.220","2,320.320",338.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,10/20/1989,00:00,,,338.800,0.000,338.800,"2,659.220","2,659.220","2,320.420",338.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,3/16/1990,00:00,,,339.180,0.000,339.180,"2,659.220","2,659.220","2,320.040",339.180,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,10/16/1990,00:00,,,338.480,0.000,338.480,"2,659.220","2,659.220","2,320.740",338.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,3/20/1991,00:00,,,338.590,0.000,338.590,"2,659.220","2,659.220","2,320.630",338.590,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348619N1183890W001,,10/21/1991,00:00,,,338.650,0.000,338.650,"2,659.220","2,659.220","2,320.570",338.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348622N1183607W001,,3/29/1988,00:00,,,332.680,0.000,332.680,"2,567.790","2,567.790","2,235.110",332.680,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348622N1183607W001,,4/5/1989,00:00,1 - Pumping,,,,,"2,567.790","2,567.790",,,,,United States Geological Survey,Voluntary,
348622N1183607W001,,3/16/1990,00:00,1 - Pumping,,,,,"2,567.790","2,567.790",,,,,United States Geological Survey,Voluntary,
348622N1183607W001,,3/21/1990,00:00,,4 - Pumped recently,325.750,0.000,325.750,"2,567.790","2,567.790","2,242.040",325.750,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
