CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
357889N1200310W001,,4/25/2012,12:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/22/2003,00:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/25/2005,00:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/6/2004,00:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/20/2007,00:00,0 - Measurement Discontinued,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/17/2009,00:00,5 - Unable to locate well,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,4/10/2013,00:00,,5 - Air or pressure gauge measurement,0.000,0.000,0.000,618.050,618.050,618.050,0.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357889N1200338W001,,4/25/2012,12:00,,9 - Acoustical sounder,104.000,0.000,104.000,624.050,623.050,520.050,103.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357889N1200338W001,,4/22/2003,00:00,,,123.200,0.000,123.200,624.050,623.050,500.850,122.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/25/2005,00:00,,9 - Acoustical sounder,112.000,0.000,112.000,624.050,623.050,512.050,111.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/6/2004,00:00,,,113.800,0.000,113.800,624.050,623.050,510.250,112.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/20/2007,00:00,,9 - Acoustical sounder,104.000,0.000,104.000,624.050,623.050,520.050,103.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/17/2009,00:00,,,103.900,0.000,103.900,624.050,623.050,520.150,102.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/10/2013,00:00,,,107.800,0.000,107.800,624.050,623.050,516.250,106.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200282W001,,4/25/2012,12:00,,,103.900,0.000,103.900,618.550,618.050,514.650,103.400,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200282W001,,4/17/2009,00:00,,,101.900,0.000,101.900,618.550,618.050,516.650,101.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200282W001,,4/10/2013,00:00,,,103.800,0.000,103.800,618.550,618.050,514.750,103.300,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200307W001,,4/25/2012,12:00,,9 - Acoustical sounder,104.000,0.000,104.000,619.050,618.050,515.050,103.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357892N1200307W001,,4/22/2003,00:00,,,116.500,0.000,116.500,619.050,618.050,502.550,115.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/25/2005,00:00,,9 - Acoustical sounder,110.000,0.000,110.000,619.050,618.050,509.050,109.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/6/2004,00:00,,,112.400,0.000,112.400,619.050,618.050,506.650,111.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/20/2007,00:00,,9 - Acoustical sounder,104.000,0.000,104.000,619.050,618.050,515.050,103.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/17/2009,00:00,,9 - Acoustical sounder,102.000,0.000,102.000,619.050,618.050,517.050,101.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/10/2013,00:00,,,107.100,0.000,107.100,619.050,618.050,511.950,106.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357903N1199793W001,,4/21/2003,00:00,,,73.000,0.000,73.000,512.040,511.040,439.040,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/5/2004,00:00,,,79.600,0.000,79.600,512.040,511.040,432.440,78.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/20/2005,00:00,,,74.000,0.000,74.000,512.040,511.040,438.040,73.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/19/2007,00:00,,9 - Acoustical sounder,70.000,0.000,70.000,512.040,511.040,442.040,69.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/16/2009,00:00,4 - Can't get tape in casing,,,,,512.040,511.040,,,,,Department of Water Resources,Voluntary,
357903N1199793W001,,4/24/2012,00:00,,,86.100,0.000,86.100,512.038,511.038,425.938,85.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357903N1199793W001,,4/11/2013,12:00,,,77.200,0.000,77.200,512.038,511.038,434.838,76.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357939N1200404W001,,4/25/2012,12:00,,,120.400,0.000,120.400,635.560,635.060,515.160,119.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357939N1200404W001,,4/22/2003,00:00,,,123.100,0.000,123.100,635.560,635.060,512.460,122.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/25/2005,00:00,,9 - Acoustical sounder,118.000,0.000,118.000,635.560,635.060,517.560,117.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/6/2004,00:00,,,123.200,0.000,123.200,635.560,635.060,512.360,122.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/20/2007,00:00,,9 - Acoustical sounder,116.000,0.000,116.000,635.560,635.060,519.560,115.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/17/2009,00:00,,,118.900,0.000,118.900,635.560,635.060,516.660,118.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/10/2013,00:00,,,122.300,0.000,122.300,635.560,635.060,513.260,121.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357956N1200404W001,,4/25/2012,12:00,,,121.400,0.000,121.400,636.560,636.060,515.160,120.900,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357956N1200404W001,,4/22/2003,00:00,,,124.800,0.000,124.800,636.560,636.060,511.760,124.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/25/2005,00:00,,9 - Acoustical sounder,121.000,0.000,121.000,636.560,636.060,515.560,120.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/6/2004,00:00,,,124.800,0.000,124.800,636.560,636.060,511.760,124.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/20/2007,00:00,,9 - Acoustical sounder,119.000,0.000,119.000,636.560,636.060,517.560,118.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/17/2009,00:00,,,120.000,0.000,120.000,636.560,636.060,516.560,119.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/10/2013,00:00,,,123.700,0.000,123.700,636.560,636.060,512.860,123.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357967N1199696W001,,4/21/2003,00:00,,,83.100,0.000,83.100,498.050,498.050,414.950,83.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/5/2004,00:00,,,86.700,0.000,86.700,498.050,498.050,411.350,86.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/20/2005,00:00,,,83.900,0.000,83.900,498.050,498.050,414.150,83.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/19/2007,00:00,,9 - Acoustical sounder,84.000,0.000,84.000,498.050,498.050,414.050,84.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/16/2009,00:00,,8 - Oil or foreign substance in casing,87.800,0.000,87.800,498.050,498.050,410.250,87.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/24/2012,00:00,,8 - Oil or foreign substance in casing,90.200,0.000,90.200,498.051,498.051,407.851,90.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357967N1199696W001,,4/11/2013,12:00,,8 - Oil or foreign substance in casing,89.200,0.000,89.200,498.051,498.051,408.851,89.200,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357978N1195732W001,,1/24/2012,12:00,,,126.500,0.000,126.500,216.640,215.640,90.140,125.500,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
357978N1195732W001,,2/28/2003,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,NO ECHO
357978N1195732W001,,3/10/2004,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,NO ECHO
357978N1195732W001,,3/15/2005,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,2/15/2006,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/12/2006,00:00,4 - Can't get tape in casing,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,2/21/2007,00:00,,9 - Acoustical sounder,134.000,0.000,134.000,216.640,215.640,82.640,133.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,3/5/2008,00:00,,9 - Acoustical sounder,123.000,0.000,123.000,216.640,215.640,93.640,122.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/22/2008,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,2/24/2009,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/8/2009,00:00,4 - Can't get tape in casing,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,3/29/2010,00:00,,,124.200,0.000,124.200,216.640,215.640,92.440,123.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/12/2010,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,2/8/2011,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/11/2011,00:00,9 - Temporarily inaccessible,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,2/20/2013,12:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
358022N1199696W001,,4/21/2003,00:00,7 - Special/Other,,,,,476.550,474.050,,,,,Department of Water Resources,Voluntary,
358022N1199696W001,,4/17/2009,00:00,0 - Measurement Discontinued,,,,,476.550,474.050,,,,,Department of Water Resources,Voluntary,
358022N1199696W002,,4/25/2012,12:00,9 - Temporarily inaccessible,,,,,476.550,474.050,,,,,Department of Water Resources,Voluntary,
358022N1199696W002,,4/17/2009,00:00,0 - Measurement Discontinued,,,,,476.550,474.050,,,,,Department of Water Resources,Voluntary,
358022N1199696W002,,4/10/2013,00:00,,,0.000,0.000,0.000,476.550,474.050,476.550,-2.500,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358033N1200557W002,,4/25/2012,12:00,,,132.400,0.000,132.400,656.070,655.070,523.670,131.400,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358033N1200557W002,,4/22/2003,00:00,,9 - Acoustical sounder,139.000,0.000,139.000,656.070,655.070,517.070,138.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358033N1200557W002,,4/25/2005,00:00,,9 - Acoustical sounder,135.000,0.000,135.000,656.070,655.070,521.070,134.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358033N1200557W002,,4/6/2004,00:00,,,138.200,0.000,138.200,656.070,655.070,517.870,137.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358033N1200557W002,,4/20/2007,00:00,,9 - Acoustical sounder,131.000,0.000,131.000,656.070,655.070,525.070,130.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358033N1200557W002,,4/17/2009,00:00,,,132.900,0.000,132.900,656.070,655.070,523.170,131.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358033N1200557W002,,4/10/2013,00:00,,,134.100,0.000,134.100,656.070,655.070,521.970,133.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358036N1200677W001,,4/25/2012,12:00,,,136.100,0.000,136.100,678.080,677.080,541.980,135.100,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358036N1200677W001,,4/22/2003,00:00,,9 - Acoustical sounder,132.000,0.000,132.000,678.080,677.080,546.080,131.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358036N1200677W001,,4/25/2005,00:00,,9 - Acoustical sounder,133.000,0.000,133.000,678.080,677.080,545.080,132.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358036N1200677W001,,4/6/2004,00:00,,,133.400,0.000,133.400,678.080,677.080,544.680,132.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358036N1200677W001,,4/20/2007,00:00,,9 - Acoustical sounder,132.000,0.000,132.000,678.080,677.080,546.080,131.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358036N1200677W001,,4/17/2009,00:00,,,134.800,0.000,134.800,678.080,677.080,543.280,133.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358036N1200677W001,,4/10/2013,00:00,,,137.700,0.000,137.700,678.080,677.080,540.380,136.700,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358039N1196004W001,,1/24/2012,12:00,,,179.800,0.000,179.800,214.650,213.650,34.850,178.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358039N1196004W001,,2/28/2003,00:00,,9 - Acoustical sounder,189.000,0.000,189.000,214.650,213.650,25.650,188.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,3/10/2004,00:00,,,163.000,0.000,163.000,214.650,213.650,51.650,162.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,3/15/2005,00:00,,9 - Acoustical sounder,170.000,0.000,170.000,214.650,213.650,44.650,169.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,2/15/2006,00:00,,9 - Acoustical sounder,160.000,0.000,160.000,214.650,213.650,54.650,159.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,10/12/2006,00:00,,,151.000,0.000,151.000,214.650,213.650,63.650,150.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,2/21/2007,00:00,,9 - Acoustical sounder,150.000,0.000,150.000,214.650,213.650,64.650,149.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,3/5/2008,00:00,9 - Temporarily inaccessible,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,10/22/2008,00:00,9 - Temporarily inaccessible,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,2/25/2009,00:00,2 - Pump house locked,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,10/8/2009,00:00,2 - Pump house locked,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,3/29/2010,00:00,2 - Pump house locked,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,10/12/2010,00:00,2 - Pump house locked,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,2/8/2011,00:00,2 - Pump house locked,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358039N1196004W001,,10/11/2011,00:00,,,184.700,0.000,184.700,214.650,213.650,29.950,183.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358039N1196004W001,,2/20/2013,12:00,7 - Special/Other,,,,,214.650,213.650,,,,,Department of Water Resources,Voluntary,
358042N1195554W001,,1/24/2012,12:00,,9 - Acoustical sounder,226.000,0.000,226.000,212.640,212.640,-13.360,226.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
358042N1195554W001,,3/10/2003,00:00,2 - Pump house locked,,,,,212.640,212.640,,,,,Department of Water Resources,Voluntary,
358042N1195554W001,,3/10/2004,00:00,,,202.000,0.000,202.000,212.640,212.640,10.640,202.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
358042N1195554W001,,3/15/2005,00:00,9 - Temporarily inaccessible,,,,,212.640,212.640,,,,,Department of Water Resources,Voluntary,
358042N1195554W001,,2/15/2006,00:00,7 - Special/Other,,,,,212.640,212.640,,,,,Department of Water Resources,Voluntary,
358042N1195554W001,,10/12/2006,00:00,9 - Temporarily inaccessible,,,,,212.640,212.640,,,,,Department of Water Resources,Voluntary,
