CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
397303N1200406W001,22N17E26J001M,10/13/1983,00:00,,,31.900,0.000,31.900,"4,965.680","4,963.680","4,933.780",29.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/13/1984,00:00,,3 - Casing leaking or wet,77.800,0.000,77.800,"4,965.680","4,963.680","4,887.880",75.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/3/1984,00:00,,1 - Pumping,68.200,0.000,68.200,"4,965.680","4,963.680","4,897.480",66.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/26/1985,00:00,,,31.600,0.000,31.600,"4,965.680","4,963.680","4,934.080",29.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/3/1985,00:00,1 - Pumping,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/2/1986,00:00,1 - Pumping,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/4/1986,00:00,1 - Pumping,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/7/1987,00:00,,1 - Pumping,85.200,0.000,85.200,"4,965.680","4,963.680","4,880.480",83.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/22/1987,00:00,,1 - Pumping,91.000,0.000,91.000,"4,965.680","4,963.680","4,874.680",89.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/9/1988,00:00,,1 - Pumping,89.800,0.000,89.800,"4,965.680","4,963.680","4,875.880",87.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/21/1988,00:00,,,32.000,0.000,32.000,"4,965.680","4,963.680","4,933.680",30.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/6/1989,00:00,,,27.700,0.000,27.700,"4,965.680","4,963.680","4,937.980",25.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,9/26/1989,00:00,,,28.200,0.000,28.200,"4,965.680","4,963.680","4,937.480",26.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/11/1990,00:00,,1 - Pumping,29.400,0.000,29.400,"4,965.680","4,963.680","4,936.280",27.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/24/1990,00:00,,,28.800,0.000,28.800,"4,965.680","4,963.680","4,936.880",26.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/19/1991,00:00,,,29.800,0.000,29.800,"4,965.680","4,963.680","4,935.880",27.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/8/1991,00:00,,,29.400,0.000,29.400,"4,965.680","4,963.680","4,936.280",27.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/17/1992,00:00,,,29.200,0.000,29.200,"4,965.680","4,963.680","4,936.480",27.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/21/1992,00:00,,,32.000,0.000,32.000,"4,965.680","4,963.680","4,933.680",30.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/30/1993,00:00,,1 - Pumping,34.400,0.000,34.400,"4,965.680","4,963.680","4,931.280",32.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/20/1993,00:00,,,29.000,0.000,29.000,"4,965.680","4,963.680","4,936.680",27.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/30/1994,00:00,,1 - Pumping,34.900,0.000,34.900,"4,965.680","4,963.680","4,930.780",32.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/3/1995,00:00,,1 - Pumping,31.400,0.000,31.400,"4,965.680","4,963.680","4,934.280",29.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/24/1995,00:00,,4 - Pumped recently,34.800,0.000,34.800,"4,965.680","4,963.680","4,930.880",32.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/19/1996,00:00,,1 - Pumping,33.000,0.000,33.000,"4,965.680","4,963.680","4,932.680",31.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/17/1996,00:00,,1 - Pumping,59.100,0.000,59.100,"4,965.680","4,963.680","4,906.580",57.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/26/1997,00:00,,1 - Pumping,66.800,0.000,66.800,"4,965.680","4,963.680","4,898.880",64.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/15/1997,00:00,,1 - Pumping,87.100,0.000,87.100,"4,965.680","4,963.680","4,878.580",85.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/6/1998,00:00,,1 - Pumping,51.000,0.000,51.000,"4,965.680","4,963.680","4,914.680",49.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/13/1999,00:00,,1 - Pumping,44.800,0.000,44.800,"4,965.680","4,963.680","4,920.880",42.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/29/1998,00:00,,1 - Pumping,68.400,0.000,68.400,"4,965.680","4,963.680","4,897.280",66.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/12/1999,00:00,,1 - Pumping,53.300,0.000,53.300,"4,965.680","4,963.680","4,912.380",51.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/28/2000,00:00,,1 - Pumping,70.000,0.000,70.000,"4,965.680","4,963.680","4,895.680",68.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/19/2000,00:00,,1 - Pumping,84.500,0.000,84.500,"4,965.680","4,963.680","4,881.180",82.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/28/2001,00:00,,1 - Pumping,74.400,0.000,74.400,"4,965.680","4,963.680","4,891.280",72.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/24/2001,00:00,9 - Temporarily inaccessible,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/27/2002,00:00,9 - Temporarily inaccessible,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,NO ACCESS
397303N1200406W001,22N17E26J001M,10/25/2002,00:00,9 - Temporarily inaccessible,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/24/2003,00:00,0 - Measurement Discontinued,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,"ONE MORE SEASON, THEN DROP"
397303N1200406W001,22N17E26J001M,10/14/2003,00:00,0 - Measurement Discontinued,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,4/10/2004,00:00,0 - Measurement Discontinued,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,10/28/2004,00:00,,,26.400,0.000,26.400,"4,965.680","4,963.680","4,939.280",24.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397303N1200406W001,22N17E26J001M,3/30/2005,00:00,0 - Measurement Discontinued,,,,,"4,965.680","4,963.680",,,,,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/20/2011,00:00,,,36.500,0.000,36.500,"4,969.390","4,968.690","4,932.890",35.800,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,4/9/2012,00:00,,,36.000,1.100,34.900,"4,969.390","4,968.690","4,934.490",34.200,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/30/2012,00:00,,,42.000,6.400,35.600,"4,969.390","4,968.690","4,933.790",34.900,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,8/7/1987,00:00,,,32.500,0.000,32.500,"4,969.390","4,968.690","4,936.890",31.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,3/8/1988,00:00,,,31.500,0.000,31.500,"4,969.390","4,968.690","4,937.890",30.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/21/1988,00:00,,,32.000,0.000,32.000,"4,969.390","4,968.690","4,937.390",31.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,4/6/1989,00:00,,,32.000,0.000,32.000,"4,969.390","4,968.690","4,937.390",31.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,9/26/1989,00:00,,,32.600,0.000,32.600,"4,969.390","4,968.690","4,936.790",31.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,4/11/1990,00:00,,,32.200,0.000,32.200,"4,969.390","4,968.690","4,937.190",31.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/24/1990,00:00,,,32.400,0.000,32.400,"4,969.390","4,968.690","4,936.990",31.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,3/19/1991,00:00,,,32.100,0.000,32.100,"4,969.390","4,968.690","4,937.290",31.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/8/1991,00:00,,,33.800,0.000,33.800,"4,969.390","4,968.690","4,935.590",33.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,3/17/1992,00:00,,,33.600,0.000,33.600,"4,969.390","4,968.690","4,935.790",32.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/21/1992,00:00,,,35.400,0.000,35.400,"4,969.390","4,968.690","4,933.990",34.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,3/30/1993,00:00,,,32.300,0.000,32.300,"4,969.390","4,968.690","4,937.090",31.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/20/1993,00:00,,,31.700,0.000,31.700,"4,969.390","4,968.690","4,937.690",31.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,3/30/1994,00:00,,,32.000,0.000,32.000,"4,969.390","4,968.690","4,937.390",31.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,4/3/1995,00:00,,,32.300,0.000,32.300,"4,969.390","4,968.690","4,937.090",31.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
397311N1200378W001,22N17E26H002M,10/24/1995,00:00,,,32.600,0.000,32.600,"4,969.390","4,968.690","4,936.790",31.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
