CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
372832N1210649W001,,3/13/2012,12:00,,,52.300,0.000,52.300,124.020,124.520,71.720,52.800,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,
372832N1210649W001,,11/9/1983,00:00,,9 - Acoustical sounder,33.000,0.000,33.000,124.020,124.520,91.020,33.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,11/28/1984,00:00,,,29.000,0.000,29.000,124.020,124.520,95.020,29.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,4/17/1985,00:00,1 - Pumping,,,,,124.020,124.520,,,,,Department of Water Resources,Voluntary,
372832N1210649W001,,10/24/1985,00:00,,,33.000,0.000,33.000,124.020,124.520,91.020,33.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,3/27/1986,00:00,,,30.000,0.000,30.000,124.020,124.520,94.020,30.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,10/21/1986,00:00,,,33.000,0.000,33.000,124.020,124.520,91.020,33.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,3/27/1987,00:00,,,27.300,0.000,27.300,124.020,124.520,96.720,27.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,11/3/1987,00:00,,,28.500,0.000,28.500,124.020,124.520,95.520,29.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,3/15/1988,00:00,1 - Pumping,,,,,124.020,124.520,,,,,Department of Water Resources,Voluntary,
372832N1210649W001,,11/1/1988,00:00,,,29.600,0.000,29.600,124.020,124.520,94.420,30.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,3/21/1989,00:00,,,28.700,0.000,28.700,124.020,124.520,95.320,29.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,10/20/1989,00:00,,,41.300,0.000,41.300,124.020,124.520,82.720,41.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,2/13/1990,00:00,,,41.500,0.000,41.500,124.020,124.520,82.520,42.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,10/23/1990,00:00,1 - Pumping,,,,,124.020,124.520,,,,,Department of Water Resources,Voluntary,
372832N1210649W001,,1/15/1991,00:00,,,47.500,0.000,47.500,124.020,124.520,76.520,48.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,10/22/1991,00:00,1 - Pumping,,,,,124.020,124.520,,,,,Department of Water Resources,Voluntary,
372832N1210649W001,,2/3/1992,00:00,,9 - Acoustical sounder,71.500,0.000,71.500,124.020,124.520,52.520,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,10/20/1992,00:00,1 - Pumping,,,,,124.020,124.520,,,,,Department of Water Resources,Voluntary,
372832N1210649W001,,4/13/1993,00:00,,9 - Acoustical sounder,56.500,0.000,56.500,124.020,124.520,67.520,57.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,11/2/1993,00:00,,,71.500,0.000,71.500,124.020,124.520,52.520,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
372832N1210649W001,,3/1/1994,00:00,,9 - Acoustical sounder,60.500,0.000,60.500,124.020,124.520,63.520,61.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
