CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
389261N1219321W001,,10/16/2012,00:00,,8 - Oil or foreign substance in casing,43.000,0.100,42.900,50.950,50.450,8.050,42.400,ST - Steel tape measurement,0.1 Ft,Bureau of Reclamation,Voluntary,
389261N1219321W001,,4/16/2013,00:00,3 - Tape hung up,,,,,50.950,50.450,,,,,Bureau of Reclamation,Voluntary,much weathered oil
389261N1219321W001,,9/29/2008,00:00,,8 - Oil or foreign substance in casing,54.800,0.000,54.800,50.950,50.450,-3.850,54.300,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/25/2009,00:00,,8 - Oil or foreign substance in casing,23.500,0.000,23.500,50.950,50.450,27.450,23.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,OIL
389261N1219321W001,,10/19/2009,00:00,,8 - Oil or foreign substance in casing,47.500,0.000,47.500,50.950,50.450,3.450,47.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,OIL
389261N1219321W001,,4/9/2010,00:00,,8 - Oil or foreign substance in casing,23.200,0.000,23.200,50.950,50.450,27.750,22.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,OIL 
389261N1219321W001,,10/20/2010,00:00,,8 - Oil or foreign substance in casing,41.000,0.000,41.000,50.950,50.450,9.950,40.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,OIL AND DIRT ON TAPE
389261N1219321W001,,4/6/2011,00:00,,8 - Oil or foreign substance in casing,21.100,0.000,21.100,50.950,50.450,29.850,20.600,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,OIL ON TAPE
389261N1219321W001,,10/13/2011,00:00,,8 - Oil or foreign substance in casing,40.400,0.000,40.400,50.950,50.450,10.550,39.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,
389261N1219321W001,,3/28/2012,00:00,,8 - Oil or foreign substance in casing,28.400,0.000,28.400,50.950,50.450,22.550,27.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,WEATHERED OIL
389304N1218843W001,LCB-5 Middle,5/11/2012,10:55,,,16.420,0.000,16.420,23.930,22.430,7.510,14.920,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,LCB-05 Middle
389304N1218843W001,LCB-5 Middle,2/14/2012,00:00,9 - Temporarily inaccessible,,,,,23.930,22.430,,,,,Department of Water Resources,CASGEM,LCB-05 Middle
389304N1218843W001,LCB-5 Middle,4/24/2012,13:00,,,9.800,0.000,9.800,23.930,22.430,14.130,8.300,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,LCB-05 Middle
389304N1218843W001,LCB-5 Middle,7/17/2012,12:38,,,43.110,0.000,43.110,23.930,22.430,-19.180,41.610,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,LCB-05 Middle
389304N1218843W001,LCB-5 Middle,1/27/2012,13:10,,,14.050,0.000,14.050,23.930,22.430,9.880,12.550,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,LCB-05 Middle
389304N1218843W001,LCB-5 Middle,10/17/2012,00:00,,,27.050,0.000,27.050,23.930,22.430,-3.120,25.550,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,
389304N1218843W001,LCB-5 Middle,10/17/2012,00:00,,,27.050,0.000,27.050,23.930,22.430,-3.120,25.550,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,
389304N1218843W001,LCB-5 Middle,10/17/2012,00:00,,,27.050,0.000,27.050,23.930,22.430,-3.120,25.550,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,
389304N1218843W001,LCB-5 Middle,10/17/2012,00:00,,,27.050,0.000,27.050,23.930,22.430,-3.120,25.550,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,
389304N1218843W001,LCB-5 Middle,10/17/2012,00:00,,,27.050,0.000,27.050,23.930,22.430,-3.120,25.550,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,
389304N1218843W001,LCB-5 Middle,8/30/2012,13:36,,,36.540,0.000,36.540,23.930,22.430,-12.610,35.040,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,LCB-05 Deep
389304N1218843W001,LCB-5 Middle,11/19/2012,00:00,9 - Temporarily inaccessible,,,,,23.930,22.430,,,,,Department of Water Resources,CASGEM,LCB-05 Deep
389304N1218843W001,LCB-5 Middle,7/31/2008,00:00,,,42.650,0.000,42.650,23.930,22.430,-18.720,41.150,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
389304N1218843W001,LCB-5 Middle,10/6/2008,00:00,,,31.200,0.000,31.200,23.930,22.430,-7.270,29.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
389304N1218843W001,LCB-5 Middle,4/28/2009,00:00,,,19.820,0.000,19.820,23.930,22.430,4.110,18.320,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
389304N1218843W001,LCB-5 Middle,6/1/2009,00:00,,,33.680,0.000,33.680,23.930,22.430,-9.750,32.180,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
