CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
393976N1219617W001,18N01W22L001M,10/11/2011,00:00,,,7.500,0.000,7.500,72.890,72.390,65.390,7.000,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
393976N1219617W001,18N01W22L001M,3/28/2012,00:00,,8 - Oil or foreign substance in casing,7.000,0.200,6.800,72.890,72.390,66.090,6.300,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
393976N1219617W001,18N01W22L001M,7/31/2012,00:00,1 - Pumping,,,,,72.890,72.390,,,,,Department of Water Resources,Voluntary,
393976N1219617W001,18N01W22L001M,10/16/2012,00:00,,8 - Oil or foreign substance in casing,10.000,1.500,8.500,72.890,72.390,64.390,8.000,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
393976N1219617W001,18N01W22L001M,3/18/2013,00:00,3 - Tape hung up,,,,,72.890,72.390,,,,,Department of Water Resources,Voluntary,
393976N1219617W001,18N01W22L001M,5/23/2013,00:00,,8 - Oil or foreign substance in casing,19.000,8.300,10.700,72.890,72.390,62.190,10.200,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
394002N1222764W001,18N04W23F001M,10/11/2011,00:00,,,20.100,0.000,20.100,155.000,153.500,134.900,18.600,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394002N1222764W001,18N04W23F001M,3/27/2012,00:00,,,21.320,0.000,21.320,155.000,153.500,133.680,19.820,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394002N1222764W001,18N04W23F001M,7/31/2012,00:00,,,22.030,0.000,22.030,155.000,153.500,132.970,20.530,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394002N1222764W001,18N04W23F001M,10/16/2012,00:00,,,22.300,0.000,22.300,155.000,153.500,132.700,20.800,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394002N1222764W001,18N04W23F001M,3/18/2013,00:00,,,19.510,0.000,19.510,155.000,153.500,135.490,18.010,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,10/11/2011,00:00,,,18.850,0.000,18.850,81.390,81.390,62.540,18.850,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,3/28/2012,00:00,,,18.350,0.000,18.350,81.390,81.390,63.040,18.350,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,7/31/2012,00:00,,,21.900,0.000,21.900,81.390,81.390,59.490,21.900,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,10/16/2012,00:00,,,20.400,0.000,20.400,81.390,81.390,60.990,20.400,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,6/24/2009,00:00,1 - Pumping,,,,,81.390,81.390,,,,,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,8/3/2009,00:00,1 - Pumping,,,,,81.390,81.390,,,,,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,9/14/2009,00:00,,,20.550,0.000,20.550,81.390,81.390,60.840,20.550,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,10/22/2009,00:00,,,19.800,0.000,19.800,81.390,81.390,61.590,19.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,3/23/2010,00:00,,,15.050,0.000,15.050,81.390,81.390,66.340,15.050,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,8/4/2010,00:00,1 - Pumping,,,,,81.390,81.390,,,,,Department of Water Resources,Voluntary,
394130N1219913W001,18N01W17G001M,10/19/2010,00:00,,,19.500,0.000,19.500,81.390,81.390,61.890,19.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
