CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
359647N1200793W001,,4/14/1993,00:00,,9 - Acoustical sounder,268.000,0.000,268.000,668.110,668.110,400.110,268.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,10/18/1993,00:00,,9 - Acoustical sounder,269.000,0.000,269.000,668.110,668.110,399.110,269.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,3/18/1994,00:00,,9 - Acoustical sounder,281.000,0.000,281.000,668.110,668.110,387.110,281.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,12/28/1994,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359647N1200793W001,,1/19/1996,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359647N1200793W001,,2/27/1997,00:00,,9 - Acoustical sounder,270.000,0.000,270.000,668.110,668.110,398.110,270.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,4/9/1998,00:00,,9 - Acoustical sounder,265.000,0.000,265.000,668.110,668.110,403.110,265.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,4/13/2000,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359647N1200793W001,,4/5/2002,00:00,,,255.000,0.000,255.000,668.110,668.110,413.110,255.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359647N1200793W001,,4/4/2001,00:00,1 - Pumping,,,,,668.110,668.110,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/14/1993,00:00,,9 - Acoustical sounder,247.000,0.000,247.000,697.120,695.120,450.120,245.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359714N1201027W001,,10/18/1993,00:00,,9 - Acoustical sounder,248.000,0.000,248.000,697.120,695.120,449.120,246.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359714N1201027W001,,3/18/1994,00:00,,9 - Acoustical sounder,246.000,0.000,246.000,697.120,695.120,451.120,244.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359714N1201027W001,,12/28/1994,00:00,,9 - Acoustical sounder,236.000,0.000,236.000,697.120,695.120,461.120,234.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359714N1201027W001,,1/19/1996,00:00,,9 - Acoustical sounder,245.000,0.000,245.000,697.120,695.120,452.120,243.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
359714N1201027W001,,2/27/1997,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/9/1998,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,
359714N1201027W001,,4/13/2000,00:00,9 - Temporarily inaccessible,,,,,697.120,695.120,,,,,Department of Water Resources,Voluntary,
