CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
357889N1200310W001,,4/14/1993,00:00,7 - Special/Other,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,3/18/1994,00:00,7 - Special/Other,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,12/29/1994,00:00,7 - Special/Other,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200310W001,,1/19/1996,00:00,,,168.100,0.000,168.100,618.050,618.050,449.950,168.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200310W001,,2/27/1997,00:00,,,157.200,0.000,157.200,618.050,618.050,460.850,157.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200310W001,,4/12/2000,00:00,6 - Well has been destroyed,,,,,618.050,618.050,,,,,Department of Water Resources,Voluntary,
357889N1200338W001,,4/14/1993,00:00,7 - Special/Other,,,,,624.050,623.050,,,,,Department of Water Resources,Voluntary,
357889N1200338W001,,3/18/1994,00:00,,9 - Acoustical sounder,121.000,0.000,121.000,624.050,623.050,503.050,120.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,12/29/1994,00:00,9 - Temporarily inaccessible,,,,,624.050,623.050,,,,,Department of Water Resources,Voluntary,
357889N1200338W001,,1/19/1996,00:00,,,169.000,0.000,169.000,624.050,623.050,455.050,168.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,2/27/1997,00:00,,,162.100,0.000,162.100,624.050,623.050,461.950,161.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357889N1200338W001,,4/12/2000,00:00,,,134.600,0.000,134.600,624.050,623.050,489.450,133.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200282W001,,1/19/1996,00:00,,,163.200,0.000,163.200,618.550,618.050,455.350,162.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/14/1993,00:00,7 - Special/Other,,,,,619.050,618.050,,,,,Department of Water Resources,Voluntary,
357892N1200307W001,,3/18/1994,00:00,,9 - Acoustical sounder,176.000,0.000,176.000,619.050,618.050,443.050,175.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,12/29/1994,00:00,,9 - Acoustical sounder,174.000,0.000,174.000,619.050,618.050,445.050,173.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,1/19/1996,00:00,,9 - Acoustical sounder,169.000,0.000,169.000,619.050,618.050,450.050,168.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,2/27/1997,00:00,,9 - Acoustical sounder,160.000,0.000,160.000,619.050,618.050,459.050,159.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357892N1200307W001,,4/12/2000,00:00,,9 - Acoustical sounder,133.000,0.000,133.000,619.050,618.050,486.050,132.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/14/1993,00:00,,,81.700,0.000,81.700,512.040,511.040,430.340,80.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,10/18/1993,00:00,,,81.100,0.000,81.100,512.040,511.040,430.940,80.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,3/18/1994,00:00,,,80.000,0.000,80.000,512.040,511.040,432.040,79.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,12/29/1994,00:00,,,78.700,0.000,78.700,512.040,511.040,433.340,77.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,1/19/1996,00:00,,,76.300,0.000,76.300,512.040,511.040,435.740,75.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,2/28/1997,00:00,,,73.000,0.000,73.000,512.040,511.040,439.040,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/9/1998,00:00,,9 - Acoustical sounder,73.000,0.000,73.000,512.040,511.040,439.040,72.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/12/2000,00:00,,9 - Acoustical sounder,74.000,0.000,74.000,512.040,511.040,438.040,73.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/5/2002,00:00,,,72.700,0.000,72.700,512.040,511.040,439.340,71.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357903N1199793W001,,4/4/2001,00:00,,9 - Acoustical sounder,72.000,0.000,72.000,512.040,511.040,440.040,71.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/14/1993,00:00,,9 - Acoustical sounder,189.500,0.000,189.500,635.560,635.060,446.060,189.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,3/18/1994,00:00,,9 - Acoustical sounder,184.500,0.000,184.500,635.560,635.060,451.060,184.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,12/29/1994,00:00,,9 - Acoustical sounder,182.500,0.000,182.500,635.560,635.060,453.060,182.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,1/19/1996,00:00,,9 - Acoustical sounder,173.500,0.000,173.500,635.560,635.060,462.060,173.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,2/27/1997,00:00,,9 - Acoustical sounder,169.500,0.000,169.500,635.560,635.060,466.060,169.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357939N1200404W001,,4/12/2000,00:00,,9 - Acoustical sounder,140.000,0.000,140.000,635.560,635.060,495.560,139.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/14/1993,00:00,,,191.500,0.000,191.500,636.560,636.060,445.060,191.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,3/18/1994,00:00,,9 - Acoustical sounder,188.500,0.000,188.500,636.560,636.060,448.060,188.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,12/29/1994,00:00,,9 - Acoustical sounder,185.500,0.000,185.500,636.560,636.060,451.060,185.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,1/19/1996,00:00,,9 - Acoustical sounder,176.500,0.000,176.500,636.560,636.060,460.060,176.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,2/27/1997,00:00,,9 - Acoustical sounder,172.500,0.000,172.500,636.560,636.060,464.060,172.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357956N1200404W001,,4/12/2000,00:00,,9 - Acoustical sounder,141.000,0.000,141.000,636.560,636.060,495.560,140.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/14/1993,00:00,,9 - Acoustical sounder,114.000,0.000,114.000,498.050,498.050,384.050,114.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,10/18/1993,00:00,,9 - Acoustical sounder,110.000,0.000,110.000,498.050,498.050,388.050,110.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,3/18/1994,00:00,,9 - Acoustical sounder,106.000,0.000,106.000,498.050,498.050,392.050,106.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,12/29/1994,00:00,,9 - Acoustical sounder,103.000,0.000,103.000,498.050,498.050,395.050,103.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,1/19/1996,00:00,,,85.000,0.000,85.000,498.050,498.050,413.050,85.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,2/28/1997,00:00,,,90.100,0.000,90.100,498.050,498.050,407.950,90.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/9/1998,00:00,,9 - Acoustical sounder,87.000,0.000,87.000,498.050,498.050,411.050,87.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/12/2000,00:00,,9 - Acoustical sounder,84.000,0.000,84.000,498.050,498.050,414.050,84.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/5/2002,00:00,,9 - Acoustical sounder,81.000,0.000,81.000,498.050,498.050,417.050,81.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357967N1199696W001,,4/4/2001,00:00,,9 - Acoustical sounder,83.000,0.000,83.000,498.050,498.050,415.050,83.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,3/22/1993,00:00,9 - Temporarily inaccessible,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/18/1993,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,3/10/1994,00:00,,9 - Acoustical sounder,86.000,0.000,86.000,216.640,215.640,130.640,85.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,11/15/1994,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,3/3/1995,00:00,7 - Special/Other,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/23/1995,00:00,0 - Measurement Discontinued,,,,,216.640,215.640,,,,,Department of Water Resources,Voluntary,
357978N1195732W001,,10/17/1996,00:00,,9 - Acoustical sounder,137.000,0.000,137.000,216.640,215.640,79.640,136.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,2/24/1997,00:00,,9 - Acoustical sounder,165.000,0.000,165.000,216.640,215.640,51.640,164.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/20/1997,00:00,,9 - Acoustical sounder,195.000,0.000,195.000,216.640,215.640,21.640,194.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,3/23/1998,00:00,,9 - Acoustical sounder,127.000,0.000,127.000,216.640,215.640,89.640,126.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/23/1998,00:00,,9 - Acoustical sounder,175.000,0.000,175.000,216.640,215.640,41.640,174.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/21/1999,00:00,,9 - Acoustical sounder,177.000,0.000,177.000,216.640,215.640,39.640,176.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,2/8/2000,00:00,,9 - Acoustical sounder,144.000,0.000,144.000,216.640,215.640,72.640,143.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,10/11/2001,00:00,,9 - Acoustical sounder,152.000,0.000,152.000,216.640,215.640,64.640,151.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,2/5/2002,00:00,,9 - Acoustical sounder,202.000,0.000,202.000,216.640,215.640,14.640,201.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
357978N1195732W001,,2/5/2001,00:00,,9 - Acoustical sounder,182.000,0.000,182.000,216.640,215.640,34.640,181.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
