CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
337889N1180957W001,,5/1/1985,00:00,,,20.900,0.000,20.900,16.850,16.850,-4.050,20.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
337889N1180957W001,,8/20/1985,00:00,,,28.150,0.000,28.150,16.850,16.850,-11.300,28.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,5/1/1985,00:00,,,38.800,0.000,38.800,31.830,31.830,-6.970,38.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,8/20/1985,00:00,,,49.070,0.000,49.070,31.830,31.830,-17.240,49.070,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,11/12/1985,00:00,,,50.730,0.000,50.730,31.830,31.830,-18.900,50.730,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,2/21/1986,00:00,,,42.770,0.000,42.770,31.830,31.830,-10.940,42.770,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,5/8/1986,00:00,,,43.480,0.000,43.480,31.830,31.830,-11.650,43.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338214N1180868W001,,8/25/1986,00:00,,,49.320,0.000,49.320,31.830,31.830,-17.490,49.320,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338320N1181251W001,,5/1/1985,00:00,,,48.260,0.000,48.260,42.460,42.460,-5.800,48.260,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338320N1181251W001,,8/20/1985,00:00,,,51.700,0.000,51.700,42.460,42.460,-9.240,51.700,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338320N1181251W001,,5/8/1986,00:00,,,49.620,0.000,49.620,42.460,42.460,-7.160,49.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
338320N1181251W001,,8/25/1986,00:00,,,52.960,0.000,52.960,42.460,42.460,-10.500,52.960,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,5/2/1985,00:00,,,51.650,0.000,51.650,87.920,87.920,36.270,51.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,8/20/1985,00:00,,,53.230,0.000,53.230,87.920,87.920,34.690,53.230,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,11/12/1985,00:00,,,51.600,0.000,51.600,87.920,87.920,36.320,51.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,2/21/1986,00:00,,,51.860,0.000,51.860,87.920,87.920,36.060,51.860,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,5/8/1986,00:00,,,51.630,0.000,51.630,87.920,87.920,36.290,51.630,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
339014N1181124W001,,8/25/1986,00:00,,,52.340,0.000,52.340,87.920,87.920,35.580,52.340,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,9/21/1983,00:00,,,214.200,0.000,214.200,807.570,807.570,593.370,214.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,10/18/1983,00:00,,,213.500,0.000,213.500,807.570,807.570,594.070,213.500,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,11/18/1983,00:00,,,213.700,0.000,213.700,807.570,807.570,593.870,213.700,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,12/19/1983,00:00,,,214.200,0.000,214.200,807.570,807.570,593.370,214.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,1/17/1984,00:00,,,214.400,0.000,214.400,807.570,807.570,593.170,214.400,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,2/14/1984,00:00,,,211.200,0.000,211.200,807.570,807.570,596.370,211.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,3/20/1984,00:00,,,213.500,0.000,213.500,807.570,807.570,594.070,213.500,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,4/16/1984,00:00,,,213.200,0.000,213.200,807.570,807.570,594.370,213.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,5/15/1984,00:00,,,211.000,0.000,211.000,807.570,807.570,596.570,211.000,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,6/19/1984,00:00,,,209.000,0.000,209.000,807.570,807.570,598.570,209.000,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
342220N1184604W001,,7/20/1984,00:00,,,208.600,0.000,208.600,807.570,807.570,598.970,208.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
