CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
339681N1176730W001,WEI1207980,11/25/2009,22:30,,,39.270,0.000,39.270,582.020,584.410,542.750,41.660,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,11/26/2009,22:45,,,39.160,0.000,39.160,582.020,584.410,542.860,41.550,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,11/27/2009,23:00,,,39.180,0.000,39.180,582.020,584.410,542.840,41.570,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,11/28/2009,23:15,,,39.160,0.000,39.160,582.020,584.410,542.860,41.550,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,11/29/2009,23:30,,,39.150,0.000,39.150,582.020,584.410,542.870,41.540,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,11/30/2009,23:45,,,39.070,0.000,39.070,582.020,584.410,542.950,41.460,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,12/1/2009,08:15,,,38.970,0.000,38.970,582.020,584.410,543.050,41.360,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,12/2/2009,08:30,,,39.010,0.000,39.010,582.020,584.410,543.010,41.400,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,12/3/2009,08:45,,,38.870,0.000,38.870,582.020,584.410,543.150,41.260,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,12/4/2009,09:00,,,38.820,0.000,38.820,582.020,584.410,543.200,41.210,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
339681N1176730W001,WEI1207980,12/4/2009,16:45,,,39.020,0.000,39.020,582.020,584.410,543.000,41.410,TR - Electronic pressure transducer,0.01 Ft,Chino Basin Watermaster,CASGEM,
