CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
383442N1216147W001,,8/2/2012,00:00,5 - Unable to locate well,,,,,9.460,7.360,,,,,Department of Water Resources,Voluntary,cannot find well on property
383442N1216147W001,,3/26/2012,00:00,5 - Unable to locate well,,,,,9.460,7.360,,,,,Department of Water Resources,Voluntary,cannot find well on property
383442N1216147W001,,4/10/1990,00:00,,,6.100,0.000,6.100,9.460,7.360,3.360,4.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,11/5/1990,00:00,,,7.100,0.000,7.100,9.460,7.360,2.360,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/12/1991,00:00,,,5.000,0.000,5.000,9.460,7.360,4.460,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,12/29/1983,00:00,,,3.400,0.000,3.400,9.460,7.360,6.060,1.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/4/1984,00:00,,,5.000,0.000,5.000,9.460,7.360,4.460,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/5/1985,00:00,,,5.100,0.000,5.100,9.460,7.360,4.360,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/27/1985,00:00,,,7.400,0.000,7.400,9.460,7.360,2.060,5.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/14/1986,00:00,,,4.600,0.000,4.600,9.460,7.360,4.860,2.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/3/1987,00:00,,,6.000,0.000,6.000,9.460,7.360,3.460,3.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,11/3/1987,00:00,,,7.700,0.000,7.700,9.460,7.360,1.760,5.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/28/1988,00:00,,,5.100,0.000,5.100,9.460,7.360,4.360,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,11/3/1988,00:00,,,7.400,0.000,7.400,9.460,7.360,2.060,5.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/10/1989,00:00,,,5.700,0.000,5.700,9.460,7.360,3.760,3.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/23/1989,00:00,,,8.000,0.000,8.000,9.460,7.360,1.460,5.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/6/1992,00:00,,,5.100,0.000,5.100,9.460,7.360,4.360,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/6/1992,00:00,,,7.000,0.000,7.000,9.460,7.360,2.460,4.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/4/1993,00:00,,,4.300,0.000,4.300,9.460,7.360,5.160,2.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,9/29/1993,00:00,,,7.000,0.000,7.000,9.460,7.360,2.460,4.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/30/1994,00:00,,,6.100,0.000,6.100,9.460,7.360,3.360,4.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/11/1994,00:00,,,7.800,0.000,7.800,9.460,7.360,1.660,5.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/7/1995,00:00,,,4.600,0.000,4.600,9.460,,4.860,,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/26/1995,00:00,,,8.100,0.000,8.100,9.460,7.360,1.360,6.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/21/1996,00:00,,,4.500,0.000,4.500,9.460,7.360,4.960,2.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,11/19/1996,00:00,,,7.100,0.000,7.100,9.460,7.360,2.360,5.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/20/1997,00:00,,,5.100,0.000,5.100,9.460,7.360,4.360,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,9/17/1997,00:00,,,6.800,0.000,6.800,9.460,7.360,2.660,4.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,9/24/1998,00:00,,,7.000,0.000,7.000,9.460,7.360,2.460,4.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/15/2000,00:00,,,4.100,0.000,4.100,9.460,7.360,5.360,2.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,11/8/2000,00:00,,,7.600,0.000,7.600,9.460,7.360,1.860,5.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/20/2001,00:00,,,4.900,0.000,4.900,9.460,7.360,4.560,2.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/31/2001,00:00,,,7.500,0.000,7.500,9.460,7.360,1.960,5.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/27/1998,00:00,,,4.000,0.000,4.000,9.460,7.360,5.460,1.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/22/2002,00:00,,,5.100,0.000,5.100,9.460,7.360,4.360,3.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/30/2002,00:00,,,7.400,0.000,7.400,9.460,7.360,2.060,5.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/18/2003,00:00,,,5.400,0.000,5.400,9.460,7.360,4.060,3.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/15/2003,00:00,,,7.000,0.000,7.000,9.460,7.360,2.460,4.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,9/24/1998,00:00,,,6.800,0.000,6.800,9.460,7.360,2.660,4.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/15/1999,00:00,,,4.700,0.000,4.700,9.460,7.360,4.760,2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/17/2004,00:00,,,5.000,0.000,5.000,9.460,7.360,4.460,2.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/15/2004,00:00,,,7.900,0.000,7.900,9.460,7.360,1.560,5.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,3/14/2005,00:00,,,4.700,0.000,4.700,9.460,7.360,4.760,2.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,10/25/2005,00:00,,,8.200,0.000,8.200,9.460,7.360,1.260,6.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
383442N1216147W001,,4/24/2006,00:00,,,4.500,0.000,4.500,9.460,7.360,4.960,2.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
