CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
344779N1192479W001,Furrow #1,12/13/2011,11:44,,9 - Acoustical sounder,0.000,-258.000,258.000,346.000,344.000,88.000,256.000,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,good reading
344779N1192479W001,Furrow #1,2/2/2012,00:00,,9 - Acoustical sounder,256.000,0.000,256.000,346.000,344.000,90.000,254.000,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,Spring 2012 Measurement
344779N1192479W001,Furrow #1,11/6/2012,00:00,,9 - Acoustical sounder,265.000,0.000,265.000,346.000,344.000,81.000,263.000,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
344779N1192479W001,Furrow #1,2/4/2013,00:00,,9 - Acoustical sounder,264.000,0.000,264.000,346.000,344.000,82.000,262.000,AS - Acoustic or sonic sounder,Unknown,Shafter-Wasco Irrigation District,CASGEM,
348205N1182465W001,,3/22/2010,00:00,,,177.130,0.000,177.130,"2,390.750","2,390.750","2,213.620",177.130,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/24/2010,00:00,,,296.830,0.000,296.830,"2,513.770","2,513.770","2,216.940",296.830,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/29/2010,00:00,,,78.320,0.000,78.320,"2,312.740","2,312.740","2,234.420",78.320,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,6/22/2010,00:00,,,133.960,0.000,133.960,"2,293.580","2,293.580","2,159.620",133.960,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,9/20/2010,00:00,,,135.080,0.000,135.080,"2,293.580","2,293.580","2,158.500",135.080,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W001,,6/21/2010,00:00,,,138.050,0.000,138.050,"2,293.090","2,293.090","2,155.040",138.050,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W001,,9/23/2010,00:00,,,139.320,0.000,139.320,"2,293.090","2,293.090","2,153.770",139.320,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W002,,6/21/2010,00:00,,,136.720,0.000,136.720,"2,292.690","2,292.690","2,155.970",136.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W002,,9/23/2010,00:00,,,138.150,0.000,138.150,"2,292.690","2,292.690","2,154.540",138.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W003,,6/21/2010,00:00,,,135.800,0.000,135.800,"2,292.690","2,292.690","2,156.890",135.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W003,,9/23/2010,00:00,,,137.270,0.000,137.270,"2,292.690","2,292.690","2,155.420",137.270,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W004,,6/21/2010,00:00,,,21.070,0.000,21.070,"2,292.890","2,292.890","2,271.820",21.070,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1179201W004,,9/23/2010,00:00,,,20.170,0.000,20.170,"2,292.890","2,292.890","2,272.720",20.170,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348242N1178946W001,,9/21/2010,00:00,,,133.140,0.000,133.140,"2,290.950","2,290.950","2,157.810",133.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W001,,6/22/2010,00:00,,,123.950,0.000,123.950,"2,285.680","2,285.680","2,161.730",123.950,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W001,,9/20/2010,00:00,,,128.560,0.000,128.560,"2,285.680","2,285.680","2,157.120",128.560,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W002,,6/22/2010,00:00,,,120.790,0.000,120.790,"2,285.680","2,285.680","2,164.890",120.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W002,,9/20/2010,00:00,,,122.180,0.000,122.180,"2,285.680","2,285.680","2,163.500",122.180,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W003,,6/22/2010,00:00,,,30.400,0.000,30.400,"2,285.680","2,285.680","2,255.280",30.400,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1178835W003,,9/20/2010,00:00,,,30.310,0.000,30.310,"2,285.680","2,285.680","2,255.370",30.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1179668W001,,6/22/2010,00:00,,,123.480,0.000,123.480,"2,285.700","2,285.700","2,162.220",123.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348255N1179668W001,,9/20/2010,00:00,,,126.760,0.000,126.760,"2,285.700","2,285.700","2,158.940",126.760,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
