CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
387085N1226084W001,10N-07W-14P2,12/2/1983,00:00,,,9.200,0.000,9.200,"1,239.120","1,237.120","1,229.920",7.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/6/1984,00:00,,,10.300,0.000,10.300,"1,239.120","1,237.120","1,228.820",8.300,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/22/1984,00:00,,,10.100,0.000,10.100,"1,239.120","1,237.120","1,229.020",8.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/9/1985,00:00,,,9.500,0.000,9.500,"1,239.120","1,237.120","1,229.620",7.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/9/1985,00:00,8 - Casing leaking or wet,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/9/1986,00:00,,,10.000,0.000,10.000,"1,239.120","1,237.120","1,229.120",8.000,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/31/1986,00:00,,,10.400,0.000,10.400,"1,239.120","1,237.120","1,228.720",8.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/8/1987,00:00,,,10.100,0.000,10.100,"1,239.120","1,237.120","1,229.020",8.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/14/1987,00:00,,,10.900,0.000,10.900,"1,239.120","1,237.120","1,228.220",8.900,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/22/1988,00:00,,,10.000,0.000,10.000,"1,239.120","1,237.120","1,229.120",8.000,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/18/1988,00:00,,,11.000,0.000,11.000,"1,239.120","1,237.120","1,228.120",9.000,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/6/1989,00:00,,,9.800,0.000,9.800,"1,239.120","1,237.120","1,229.320",7.800,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/16/1989,00:00,,,10.700,0.000,10.700,"1,239.120","1,237.120","1,228.420",8.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/29/1990,00:00,,,10.200,0.000,10.200,"1,239.120","1,237.120","1,228.920",8.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/10/1990,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,2/15/1991,00:00,,,10.500,0.000,10.500,"1,239.120","1,237.120","1,228.620",8.500,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/28/1991,00:00,,,6.000,0.000,6.000,"1,239.120","1,237.120","1,233.120",4.000,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/3/1991,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/6/1992,00:00,,,16.400,0.000,16.400,"1,239.120","1,237.120","1,222.720",14.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/5/1992,00:00,4 - Can't get tape in casing,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/6/1993,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,11/1/1993,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/7/1994,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/11/1994,00:00,,,10.700,0.000,10.700,"1,239.120","1,237.120","1,228.420",8.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,5/2/1995,00:00,,,6.200,0.000,6.200,"1,239.120","1,237.120","1,232.920",4.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/17/1995,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/11/1996,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/22/1996,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/26/1997,00:00,9 - Temporarily inaccessible,,,,,"1,239.120","1,237.120",,,,,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,5/20/1998,00:00,,,11.400,0.000,11.400,"1,239.120","1,237.120","1,227.720",9.400,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/25/1999,00:00,,,11.100,0.000,11.100,"1,239.120","1,237.120","1,228.020",9.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/15/1999,00:00,,,7.700,0.000,7.700,"1,239.120","1,237.120","1,231.420",5.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/4/2000,00:00,,,8.200,0.000,8.200,"1,239.120","1,237.120","1,230.920",6.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/5/2000,00:00,,,10.900,0.000,10.900,"1,239.120","1,237.120","1,228.220",8.900,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/4/2001,00:00,,,9.200,0.000,9.200,"1,239.120","1,237.120","1,229.920",7.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/4/2001,00:00,,,11.100,0.000,11.100,"1,239.120","1,237.120","1,228.020",9.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/26/2002,00:00,,,8.700,0.000,8.700,"1,239.120","1,237.120","1,230.420",6.700,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/1/2002,00:00,,,12.100,0.000,12.100,"1,239.120","1,237.120","1,227.020",10.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,4/2/2003,00:00,,,9.300,0.000,9.300,"1,239.120","1,237.120","1,229.820",7.300,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,9/30/2003,00:00,,,9.300,0.000,9.300,"1,239.120","1,237.120","1,229.820",7.300,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/31/2004,00:00,,,10.200,0.000,10.200,"1,239.120","1,237.120","1,228.920",8.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,10/7/2004,00:00,,,13.100,0.000,13.100,"1,239.120","1,237.120","1,226.020",11.100,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
387085N1226084W001,10N-07W-14P2,3/31/2005,00:00,,,7.200,0.000,7.200,"1,239.120","1,237.120","1,231.920",5.200,UNK - Unknown,Unknown,Lake County Watershed Protection District,Voluntary,
