CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
382197N1223525W001,155,5/22/2012,13:00,,,8.410,0.000,8.410,25.300,23.800,16.890,6.910,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382197N1223525W001,155,10/29/2012,12:45,,,16.250,0.000,16.250,25.300,23.800,9.050,14.750,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382197N1223525W001,155,4/23/2013,15:05,,,11.250,0.000,11.250,25.300,23.800,14.050,9.750,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382285N1223290W001,150,10/14/2011,09:50,,,17.810,0.000,17.810,33.000,33.000,15.190,17.810,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,well location confirmed 
382285N1223290W001,150,4/24/2012,13:50,,,10.450,0.000,10.450,33.000,33.000,22.550,10.450,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382285N1223290W001,150,10/29/2012,11:00,,,29.400,0.000,29.400,33.000,33.000,3.600,29.400,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382285N1223290W001,150,4/23/2013,13:15,,4 - Pumped recently,24.910,0.000,24.910,33.000,33.000,8.090,24.910,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,well recovering slowly - measurement coming up - waited 30 min. +-
382289N1223213W001,153,5/22/2012,10:20,,,32.050,0.000,32.050,47.650,47.000,15.600,31.400,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382289N1223213W001,153,10/29/2012,10:30,,,43.050,0.000,43.050,47.650,47.000,4.600,42.400,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382289N1223213W001,153,4/23/2013,12:30,,,37.420,0.000,37.420,47.650,47.000,10.230,36.770,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382312N1223394W001,154,5/24/2012,13:15,,,96.330,0.000,96.330,98.300,96.650,1.970,94.680,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382312N1223394W001,154,10/29/2012,12:00,,,93.750,0.000,93.750,98.300,96.650,4.550,92.100,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382312N1223394W001,154,4/23/2013,14:40,,,100.210,0.000,100.210,98.300,96.650,-1.910,98.560,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382789N1222633W001,49,10/13/2011,11:10,,,53.170,0.000,53.170,78.800,78.000,25.630,52.370,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382789N1222633W001,49,4/20/2012,15:20,,,47.450,0.000,47.450,78.800,78.000,31.350,46.650,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382789N1222633W001,49,10/19/2012,14:20,,,54.450,0.000,54.450,78.800,78.000,24.350,53.650,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382789N1222633W001,49,4/17/2013,16:50,,,49.190,0.000,49.190,78.800,78.000,29.610,48.390,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382830N1222482W001,137,10/13/2011,10:35,,,30.280,0.000,30.280,135.900,135.000,105.620,29.380,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382830N1222482W001,137,4/20/2012,15:00,,,27.200,0.000,27.200,135.900,135.000,108.700,26.300,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382830N1222482W001,137,10/19/2012,13:50,,,37.630,0.000,37.630,135.900,135.000,98.270,36.730,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382830N1222482W001,137,4/17/2013,16:35,,,34.210,0.000,34.210,135.900,135.000,101.690,33.310,ES - Electric sounder measurement,0.01 Ft,County of Napa,CASGEM,
382862N1222748W001,,4/3/1990,00:00,,,11.700,0.000,11.700,21.250,19.550,9.550,10.000,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,11/1/1990,00:00,,,14.000,0.000,14.000,21.250,19.550,7.250,12.300,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/17/1991,00:00,,,7.800,0.000,7.800,21.250,19.550,13.450,6.100,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/6/1992,00:00,,,9.000,0.000,9.000,21.250,19.550,12.250,7.300,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,11/6/1992,00:00,,,12.600,0.000,12.600,21.250,19.550,8.650,10.900,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/26/1993,00:00,,,9.300,0.000,9.300,21.250,19.550,11.950,7.600,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,11/5/1993,00:00,,,12.300,0.000,12.300,21.250,19.550,8.950,10.600,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/11/1994,00:00,,,10.500,0.000,10.500,21.250,19.550,10.750,8.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/12/1983,00:00,,,12.700,0.000,12.700,21.250,19.550,8.550,11.000,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/9/1984,00:00,,,9.500,0.000,9.500,21.250,19.550,11.750,7.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/18/1984,00:00,,,13.800,0.000,13.800,21.250,19.550,7.450,12.100,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,6/6/1985,00:00,,,12.200,0.000,12.200,21.250,19.550,9.050,10.500,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/17/1985,00:00,,,12.000,0.000,12.000,21.250,19.550,9.250,10.300,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,3/20/1986,00:00,,,7.500,0.000,7.500,21.250,19.550,13.750,5.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/31/1986,00:00,,,12.500,0.000,12.500,21.250,19.550,8.750,10.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,7/7/1987,00:00,,1 - Pumping,12.700,0.000,12.700,21.250,19.550,8.550,11.000,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,11/6/1987,00:00,,,13.700,0.000,13.700,21.250,19.550,7.550,12.000,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/25/1988,00:00,,,11.600,0.000,11.600,21.250,19.550,9.650,9.900,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/24/1988,00:00,,,13.400,0.000,13.400,21.250,19.550,7.850,11.700,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,5/24/1989,00:00,,,10.900,0.000,10.900,21.250,19.550,10.350,9.200,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/4/1989,00:00,,,12.400,0.000,12.400,21.250,19.550,8.850,10.700,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/24/1994,00:00,,,13.400,0.000,13.400,21.250,19.550,7.850,11.700,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,5/8/1995,00:00,,,9.800,0.000,9.800,21.250,19.550,11.450,8.100,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/27/1995,00:00,,,12.500,0.000,12.500,21.250,19.550,8.750,10.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,4/12/1996,00:00,,,9.400,0.000,9.400,21.250,19.550,11.850,7.700,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,11/13/1996,00:00,,,12.000,0.000,12.000,21.250,19.550,9.250,10.300,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,5/1/1997,00:00,,,10.800,0.000,10.800,21.250,19.550,10.450,9.100,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382862N1222748W001,,10/23/1997,00:00,6 - Well has been destroyed,,,,,21.250,19.550,,,,,Napa County Flood Control and Water Control District,Voluntary,WELL OBLITERATED
382873N1222368W001,,4/3/1990,00:00,1 - Pumping,,,,,197.600,197.600,,,,,Napa County Flood Control and Water Control District,Voluntary,
382873N1222368W001,,10/26/1990,00:00,7 - Special/Other,,,,,197.600,197.600,,,,,Napa County Flood Control and Water Control District,Voluntary,NO READING
382873N1222368W001,,4/6/1992,00:00,,,17.700,0.000,17.700,197.600,197.600,179.900,17.700,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
382873N1222368W001,,11/6/1992,00:00,6 - Well has been destroyed,,,,,197.600,197.600,,,,,Napa County Flood Control and Water Control District,Voluntary,
382873N1222368W001,,10/12/1983,00:00,,,56.800,0.000,56.800,197.600,197.600,140.800,56.800,UNK - Unknown,Unknown,Napa County Flood Control and Water Control District,Voluntary,
