CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
382548N1212908W001,,6/29/1983,00:00,,,82.300,0.000,82.300,53.220,52.220,-29.080,81.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,7/25/1983,00:00,,,85.400,0.000,85.400,53.220,52.220,-32.180,84.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/1/1983,00:00,,,85.900,0.000,85.900,53.220,52.220,-32.680,84.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/29/1983,00:00,,,77.000,0.000,77.000,53.220,52.220,-23.780,76.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,10/26/1983,00:00,,,74.900,0.000,74.900,53.220,52.220,-21.680,73.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,11/29/1983,00:00,,,70.400,0.000,70.400,53.220,52.220,-17.180,69.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,12/20/1983,00:00,,,69.800,0.000,69.800,53.220,52.220,-16.580,68.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,1/25/1984,00:00,,,65.900,0.000,65.900,53.220,52.220,-12.680,64.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,2/28/1984,00:00,,,64.600,0.000,64.600,53.220,52.220,-11.380,63.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,3/28/1984,00:00,,,65.000,0.000,65.000,53.220,52.220,-11.780,64.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,4/26/1984,00:00,,,68.300,0.000,68.300,53.220,52.220,-15.080,67.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,5/30/1984,00:00,,,81.600,0.000,81.600,53.220,52.220,-28.380,80.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,6/27/1984,00:00,,,83.300,0.000,83.300,53.220,52.220,-30.080,82.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,7/30/1984,00:00,,,86.500,0.000,86.500,53.220,52.220,-33.280,85.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,8/29/1984,00:00,,,85.900,0.000,85.900,53.220,52.220,-32.680,84.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/25/1984,00:00,,,80.100,0.000,80.100,53.220,52.220,-26.880,79.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,10/29/1984,00:00,,,74.600,0.000,74.600,53.220,52.220,-21.380,73.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,11/27/1984,00:00,,,72.800,0.000,72.800,53.220,52.220,-19.580,71.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,12/18/1984,00:00,,,71.700,0.000,71.700,53.220,52.220,-18.480,70.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,1/25/1985,00:00,,,70.500,0.000,70.500,53.220,52.220,-17.280,69.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,2/22/1985,00:00,,,69.700,0.000,69.700,53.220,52.220,-16.480,68.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,3/25/1985,00:00,,,69.000,0.000,69.000,53.220,52.220,-15.780,68.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,4/29/1985,00:00,,,70.400,0.000,70.400,53.220,52.220,-17.180,69.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,5/28/1985,00:00,,,80.100,0.000,80.100,53.220,52.220,-26.880,79.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,6/25/1985,00:00,,,86.000,0.000,86.000,53.220,52.220,-32.780,85.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,7/26/1985,00:00,,,103.000,0.000,103.000,53.220,52.220,-49.780,102.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,8/22/1985,00:00,,,89.100,0.000,89.100,53.220,52.220,-35.880,88.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/24/1985,00:00,,,96.200,0.000,96.200,53.220,52.220,-42.980,95.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,10/23/1985,00:00,,,79.800,0.000,79.800,53.220,52.220,-26.580,78.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,11/20/1985,00:00,,,77.500,0.000,77.500,53.220,52.220,-24.280,76.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,12/19/1985,00:00,,,76.300,0.000,76.300,53.220,52.220,-23.080,75.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,1/22/1986,00:00,,,75.000,0.000,75.000,53.220,52.220,-21.780,74.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,2/22/1986,00:00,,,73.400,0.000,73.400,53.220,52.220,-20.180,72.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,3/26/1986,00:00,,,69.200,0.000,69.200,53.220,52.220,-15.980,68.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,4/23/1986,00:00,,,68.000,0.000,68.000,53.220,52.220,-14.780,67.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,5/23/1986,00:00,,,75.200,0.000,75.200,53.220,52.220,-21.980,74.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,6/25/1986,00:00,,,81.200,0.000,81.200,53.220,52.220,-27.980,80.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,7/23/1986,00:00,,,97.900,0.000,97.900,53.220,52.220,-44.680,96.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,8/26/1986,00:00,,,87.700,0.000,87.700,53.220,52.220,-34.480,86.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/26/1986,00:00,,,79.900,0.000,79.900,53.220,52.220,-26.680,78.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,10/27/1986,00:00,,,76.700,0.000,76.700,53.220,52.220,-23.480,75.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,11/20/1986,00:00,,,76.500,0.000,76.500,53.220,52.220,-23.280,75.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,12/22/1986,00:00,,,74.400,0.000,74.400,53.220,52.220,-21.180,73.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,1/23/1987,00:00,,,74.100,0.000,74.100,53.220,52.220,-20.880,73.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,2/20/1987,00:00,,,73.300,0.000,73.300,53.220,52.220,-20.080,72.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,3/24/1987,00:00,,,72.300,0.000,72.300,53.220,52.220,-19.080,71.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,4/24/1987,00:00,,,88.900,0.000,88.900,53.220,52.220,-35.680,87.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,5/26/1987,00:00,,,83.700,0.000,83.700,53.220,52.220,-30.480,82.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,6/22/1987,00:00,,,84.400,0.000,84.400,53.220,52.220,-31.180,83.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,7/28/1987,00:00,,,89.700,0.000,89.700,53.220,52.220,-36.480,88.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,8/26/1987,00:00,,,103.400,0.000,103.400,53.220,52.220,-50.180,102.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,9/24/1987,00:00,,,99.400,0.000,99.400,53.220,52.220,-46.180,98.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,10/27/1987,00:00,,,82.800,0.000,82.800,53.220,52.220,-29.580,81.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,11/24/1987,00:00,,,80.000,0.000,80.000,53.220,52.220,-26.780,79.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382548N1212908W001,,12/21/1987,00:00,,,78.800,0.000,78.800,53.220,52.220,-25.580,77.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382613N1212086W001,,11/22/1983,00:00,,,117.100,0.000,117.100,88.800,88.300,-28.300,116.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,OIL
382613N1212086W001,,3/28/1984,00:00,,,103.600,0.000,103.600,88.800,88.300,-14.800,103.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382613N1212086W001,,3/15/1985,00:00,,,106.200,0.000,106.200,88.800,88.300,-17.400,105.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382613N1212086W001,,10/7/1985,00:00,,,127.100,0.000,127.100,88.800,88.300,-38.300,126.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,OIL
382613N1212086W001,,3/18/1986,00:00,,,107.300,0.000,107.300,88.800,88.300,-18.500,106.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382613N1212086W001,,10/21/1986,00:00,,,116.800,0.000,116.800,88.800,88.300,-28.000,116.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
382613N1212086W001,,3/13/1987,00:00,,,107.000,0.000,107.000,88.800,88.300,-18.200,106.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
