CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
366673N1213260W001,03S06E17R002M,4/17/2013,00:00,,,13.800,0.000,13.800,84.000,85.000,70.200,14.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,1/16/2008,00:00,,,6.800,0.000,6.800,-4.880,-7.680,-11.680,4.000,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1258
375463N1213325W001,01N04E29D001M,2/13/2008,00:00,,,7.100,0.000,7.100,-4.880,-7.680,-11.980,4.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1230
375463N1213325W001,01N04E29D001M,3/10/2008,00:00,,,7.700,0.000,7.700,-4.880,-7.680,-12.580,4.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1130
375463N1213325W001,01N04E29D001M,4/9/2008,00:00,,,7.500,0.000,7.500,-4.880,-7.680,-12.380,4.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 855
375463N1213325W001,01N04E29D001M,5/29/2008,00:00,,,7.800,0.000,7.800,-4.880,-7.680,-12.680,5.000,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1100
375463N1213325W001,01N04E29D001M,6/25/2008,00:00,,,7.200,0.000,7.200,-4.880,-7.680,-12.080,4.400,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1145
375463N1213325W001,01N04E29D001M,7/28/2008,00:00,,,7.700,0.000,7.700,-4.880,-7.680,-12.580,4.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1100
375463N1213325W001,01N04E29D001M,8/13/2008,00:00,,,7.800,0.000,7.800,-4.880,-7.680,-12.680,5.000,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1215
375463N1213325W001,01N04E29D001M,9/10/2008,00:00,,,7.700,0.000,7.700,-4.880,-7.680,-12.580,4.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1210
375463N1213325W001,01N04E29D001M,10/8/2008,00:00,,,7.800,0.000,7.800,-4.880,-7.680,-12.680,5.000,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1005
375463N1213325W001,01N04E29D001M,11/10/2008,00:00,,,7.500,0.000,7.500,-4.880,-7.680,-12.380,4.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 900
375463N1213325W001,01N04E29D001M,12/17/2008,00:00,,,7.000,0.000,7.000,-4.880,-7.680,-11.880,4.200,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1140
375463N1213325W001,01N04E29D001M,1/15/2009,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,2/15/2009,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,3/15/2009,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,4/15/2009,00:00,,,7.700,0.000,7.700,-4.880,-7.680,-12.580,4.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 952
375463N1213325W001,01N04E29D001M,5/8/2009,00:00,,,8.300,0.000,8.300,-4.880,-7.680,-13.180,5.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1100
375463N1213325W001,01N04E29D001M,6/17/2009,00:00,,,7.800,0.000,7.800,-4.880,-7.680,-12.680,5.000,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1235
375463N1213325W001,01N04E29D001M,7/22/2009,00:00,,,8.000,0.000,8.000,-4.880,-7.680,-12.880,5.200,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1005
375463N1213325W001,01N04E29D001M,8/20/2009,00:00,,,7.600,0.000,7.600,-4.880,-7.680,-12.480,4.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1120
375463N1213325W001,01N04E29D001M,9/9/2009,00:00,,,7.400,0.000,7.400,-4.880,-7.680,-12.280,4.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1105
375463N1213325W001,01N04E29D001M,10/6/2009,00:00,,,7.400,0.000,7.400,-4.880,-7.680,-12.280,4.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1205
375463N1213325W001,01N04E29D001M,11/12/2009,00:00,,,7.900,0.000,7.900,-4.880,-7.680,-12.780,5.100,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1040
375463N1213325W001,01N04E29D001M,12/29/2009,00:00,,,7.400,0.000,7.400,-4.880,-7.680,-12.280,4.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1215
375463N1213325W001,01N04E29D001M,1/27/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,2/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,3/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,4/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,5/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,6/17/2010,00:00,,,7.000,0.000,7.000,-4.880,-7.680,-11.880,4.200,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1115
375463N1213325W001,01N04E29D001M,7/16/2010,00:00,,,7.100,0.000,7.100,-4.880,-7.680,-11.980,4.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 0930
375463N1213325W001,01N04E29D001M,8/23/2010,00:00,,,7.400,0.000,7.400,-4.880,-7.680,-12.280,4.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 0955
375463N1213325W001,01N04E29D001M,9/21/2010,00:00,,,7.600,0.000,7.600,-4.880,-7.680,-12.480,4.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1130
375463N1213325W001,01N04E29D001M,10/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,11/1/2010,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/ TOO MUDDY
375463N1213325W001,01N04E29D001M,1/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,2/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,3/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,4/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,5/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,6/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,7/15/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,8/9/2011,00:00,,,8.000,0.000,8.000,-4.880,-7.680,-12.880,5.200,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1150
375463N1213325W001,01N04E29D001M,9/9/2011,00:00,,,8.100,0.000,8.100,-4.880,-7.680,-12.980,5.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1225
375463N1213325W001,01N04E29D001M,10/13/2011,00:00,,,7.700,0.000,7.700,-4.880,-7.680,-12.580,4.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1115
375463N1213325W001,01N04E29D001M,11/15/2011,00:00,,,7.600,0.000,7.600,-4.880,-7.680,-12.480,4.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1015
375463N1213325W001,01N04E29D001M,12/27/2011,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,ROAD CLOSED/TOO MUDDY
375463N1213325W001,01N04E29D001M,1/11/2012,00:00,,,7.600,0.000,7.600,-4.880,-7.680,-12.480,4.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1130
375463N1213325W001,01N04E29D001M,2/27/2012,00:00,,,7.400,0.000,7.400,-4.880,-7.680,-12.280,4.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 950
375463N1213325W001,01N04E29D001M,3/15/2012,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,4/15/2012,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,5/22/2012,00:00,,,7.500,0.000,7.500,-4.880,-7.680,-12.380,4.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1110
375463N1213325W001,01N04E29D001M,6/20/2012,00:00,,,7.300,0.000,7.300,-4.880,-7.680,-12.180,4.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 940
375463N1213325W001,01N04E29D001M,7/17/2012,00:00,,,7.600,0.000,7.600,-4.880,-7.680,-12.480,4.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1230
375463N1213325W001,01N04E29D001M,8/21/2012,00:00,,,7.300,0.000,7.300,-4.880,-7.680,-12.180,4.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1200
375463N1213325W001,01N04E29D001M,9/1/2012,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,10/1/2012,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,11/6/2012,00:00,,,7.300,0.000,7.300,-4.880,-7.680,-12.180,4.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1140
375463N1213325W001,01N04E29D001M,12/1/2012,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,1/15/2013,00:00,,,6.600,0.000,6.600,-4.880,-7.680,-11.480,3.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1140
375463N1213325W001,01N04E29D001M,2/13/2013,00:00,,,7.100,0.000,7.100,-4.880,-7.680,-11.980,4.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1135
375463N1213325W001,01N04E29D001M,3/12/2013,00:00,,,7.500,0.000,7.500,-4.880,-7.680,-12.380,4.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1240
375463N1213325W001,01N04E29D001M,4/1/2013,00:00,9 - Temporarily inaccessible,,,,,-4.880,-7.680,,,,,Department of Water Resources,Voluntary,
375463N1213325W001,01N04E29D001M,5/10/2013,00:00,,,7.100,0.000,7.100,-4.880,-7.680,-11.980,4.300,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1025
375463N1213325W001,01N04E29D001M,1/16/2008,00:00,,,3.500,0.000,3.500,-4.280,-7.680,-7.780,0.100,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1258
375463N1213325W001,01N04E29D001M,2/13/2008,00:00,,,3.600,0.000,3.600,-4.280,-7.680,-7.880,0.200,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1230
375463N1213325W001,01N04E29D001M,3/10/2008,00:00,,,4.200,0.000,4.200,-4.280,-7.680,-8.480,0.800,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 1130
375463N1213325W001,01N04E29D001M,4/9/2008,00:00,,,3.900,0.000,3.900,-4.280,-7.680,-8.180,0.500,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,TIME 855
