CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
368683N1218167W001,PV3S,10/14/2011,10:30,,,4.110,0.000,4.110,6.900,8.100,2.790,5.310,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368683N1218167W001,PV3S,4/18/2012,12:10,,,3.330,0.000,3.330,6.900,8.100,3.570,4.530,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368683N1218167W001,PV3S,10/16/2012,12:31,,,5.740,0.000,5.740,6.900,8.100,1.160,6.940,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368683N1218167W002,PV3M,10/14/2011,10:30,,,5.230,0.000,5.230,7.000,8.100,1.770,6.330,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368683N1218167W002,PV3M,4/18/2012,12:10,,,3.600,0.000,3.600,7.000,8.100,3.400,4.700,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368683N1218167W002,PV3M,10/16/2012,12:36,,,7.020,0.000,7.020,7.000,8.100,-0.020,8.120,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368683N1218167W003,PV3D,10/14/2011,10:30,,,5.730,0.000,5.730,6.890,8.100,1.160,6.940,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368683N1218167W003,PV3D,4/18/2012,12:10,,,2.880,0.000,2.880,6.890,8.100,4.010,4.090,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368683N1218167W003,PV3D,10/16/2012,12:41,,,9.150,0.000,9.150,6.890,8.100,-2.260,10.360,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W001,PV6S,10/14/2011,11:10,,,10.600,0.000,10.600,9.480,10.270,-1.120,11.390,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368831N1217967W001,PV6S,5/1/2012,11:20,,,13.600,0.000,13.600,9.480,10.270,-4.120,14.390,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W001,PV6S,10/16/2012,12:56,,,16.600,0.000,16.600,9.480,10.270,-7.120,17.390,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W002,PV6SM,10/14/2011,11:10,,,10.640,0.000,10.640,9.480,10.270,-1.160,11.430,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368831N1217967W002,PV6SM,5/1/2012,11:20,,,13.850,0.000,13.850,9.480,10.270,-4.370,14.640,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W002,PV6SM,10/16/2012,13:00,,,16.670,0.000,16.670,9.480,10.270,-7.190,17.460,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W003,PV6MD,10/14/2011,11:10,,,10.280,0.000,10.280,9.370,10.270,-0.910,11.180,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368831N1217967W003,PV6MD,5/1/2012,11:20,,,10.960,0.000,10.960,9.370,10.270,-1.590,11.860,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W003,PV6MD,10/16/2012,13:07,,,13.960,0.000,13.960,9.370,10.270,-4.590,14.860,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W004,PV6D,10/14/2011,11:10,,,10.430,0.000,10.430,9.440,10.270,-0.990,11.260,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368831N1217967W004,PV6D,5/1/2012,11:20,,,10.980,0.000,10.980,9.440,10.270,-1.540,11.810,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368831N1217967W004,PV6D,10/16/2012,13:12,,,14.000,0.000,14.000,9.440,10.270,-4.560,14.830,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368881N1218136W001,PV11,10/3/2011,11:35,,,56.590,0.000,56.590,111.680,111.680,55.090,56.590,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368881N1218136W001,PV11,4/19/2012,15:30,,,62.560,0.000,62.560,111.680,111.680,49.120,62.560,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368881N1218136W001,PV11,10/16/2012,11:32,,,65.690,0.000,65.690,111.680,111.680,45.990,65.690,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368903N1218193W001,HSPDMW1,10/3/2011,14:20,,,120.100,0.000,120.100,125.510,126.000,5.410,120.590,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,Voluntary,
368903N1218193W001,HSPDMW1,4/19/2012,13:40,,,120.030,0.000,120.030,125.510,126.000,5.480,120.520,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
368903N1218193W001,HSPDMW1,10/16/2012,09:39,,,121.980,0.000,121.980,125.510,126.000,3.530,122.470,ES - Electric sounder measurement,0.01 Ft,Pajaro Valley Water Management Agency,CASGEM,
