CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
340956N1191087W003,,4/7/1990,00:00,,,19.000,0.000,19.000,15.130,15.130,-3.870,19.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,6/5/1990,00:00,,,20.000,0.000,20.000,15.130,15.130,-4.870,20.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,8/2/1990,00:00,,,20.300,0.000,20.300,15.130,15.130,-5.170,20.300,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,10/10/1990,00:00,,,21.700,0.000,21.700,15.130,15.130,-6.570,21.700,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,10/19/1990,00:00,,,20.800,0.000,20.800,15.130,15.130,-5.670,20.800,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,10/26/1990,00:00,,,21.700,0.000,21.700,15.130,15.130,-6.570,21.700,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,12/14/1990,00:00,,,21.300,0.000,21.300,15.130,15.130,-6.170,21.300,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,1/9/1991,00:00,,,21.500,0.000,21.500,15.130,15.130,-6.370,21.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,3/5/1991,00:00,,,19.600,0.000,19.600,15.130,15.130,-4.470,19.600,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,9/9/1991,00:00,,,22.410,0.000,22.410,15.130,15.130,-7.280,22.410,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,11/18/1991,00:00,,,24.300,0.000,24.300,15.130,15.130,-9.170,24.300,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,12/17/1991,00:00,,,22.960,0.000,22.960,15.130,15.130,-7.830,22.960,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,1/21/1992,00:00,,,19.160,0.000,19.160,15.130,15.130,-4.030,19.160,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,2/26/1992,00:00,,,19.200,0.000,19.200,15.130,15.130,-4.070,19.200,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,4/8/1992,00:00,,,15.640,0.000,15.640,15.130,15.130,-0.510,15.640,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,5/18/1992,00:00,,,17.700,0.000,17.700,15.130,15.130,-2.570,17.700,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,7/1/1992,00:00,,,17.260,0.000,17.260,15.130,15.130,-2.130,17.260,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,8/18/1992,00:00,,,19.300,0.000,19.300,15.130,15.130,-4.170,19.300,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,9/24/1992,00:00,,,20.240,0.000,20.240,15.130,15.130,-5.110,20.240,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
340956N1191087W003,,12/15/1992,00:00,,,18.580,0.000,18.580,15.130,15.130,-3.450,18.580,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,7/12/1983,00:00,,,22.400,0.000,22.400,11.890,11.890,-10.510,22.400,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,8/10/1983,00:00,,,26.000,0.000,26.000,11.890,11.890,-14.110,26.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/11/1983,00:00,,,46.000,0.000,46.000,11.890,11.890,-34.110,46.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/7/1983,00:00,,,29.100,0.000,29.100,11.890,11.890,-17.210,29.100,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,1/27/1984,00:00,,,25.800,0.000,25.800,11.890,11.890,-13.910,25.800,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,4/5/1984,00:00,,,41.000,0.000,41.000,11.890,11.890,-29.110,41.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,5/30/1984,00:00,,,50.500,0.000,50.500,11.890,11.890,-38.610,50.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,8/9/1984,00:00,,,46.400,0.000,46.400,11.890,11.890,-34.510,46.400,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/15/1984,00:00,,,59.000,0.000,59.000,11.890,11.890,-47.110,59.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/26/1984,00:00,,,32.100,0.000,32.100,11.890,11.890,-20.210,32.100,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,2/12/1985,00:00,,,27.500,0.000,27.500,11.890,11.890,-15.610,27.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,4/8/1985,00:00,,,38.800,0.000,38.800,11.890,11.890,-26.910,38.800,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,6/12/1985,00:00,,,55.000,0.000,55.000,11.890,11.890,-43.110,55.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,7/30/1985,00:00,,,57.700,0.000,57.700,11.890,11.890,-45.810,57.700,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/8/1985,00:00,,,68.700,0.000,68.700,11.890,11.890,-56.810,68.700,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/18/1985,00:00,,,48.100,0.000,48.100,11.890,11.890,-36.210,48.100,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,2/21/1986,00:00,,,36.900,0.000,36.900,11.890,11.890,-25.010,36.900,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,2/27/1986,00:00,,,26.400,0.000,26.400,11.890,11.890,-14.510,26.400,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,6/16/1986,00:00,,,32.000,0.000,32.000,11.890,11.890,-20.110,32.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,7/29/1986,00:00,,,39.200,0.000,39.200,11.890,11.890,-27.310,39.200,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/15/1986,00:00,,,57.000,0.000,57.000,11.890,11.890,-45.110,57.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/15/1986,00:00,,,55.000,0.000,55.000,11.890,11.890,-43.110,55.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,2/23/1987,00:00,,,49.200,0.000,49.200,11.890,11.890,-37.310,49.200,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,4/15/1987,00:00,,,57.500,0.000,57.500,11.890,11.890,-45.610,57.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,6/17/1987,00:00,,,66.000,0.000,66.000,11.890,11.890,-54.110,66.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,7/21/1987,00:00,,,64.200,0.000,64.200,11.890,11.890,-52.310,64.200,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/6/1987,00:00,,,68.300,0.000,68.300,11.890,11.890,-56.410,68.300,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/9/1987,00:00,,,58.900,0.000,58.900,11.890,11.890,-47.010,58.900,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,1/27/1988,00:00,,,40.900,0.000,40.900,11.890,11.890,-29.010,40.900,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,4/12/1988,00:00,,,61.400,0.000,61.400,11.890,11.890,-49.510,61.400,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,6/8/1988,00:00,,,60.100,0.000,60.100,11.890,11.890,-48.210,60.100,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,8/16/1988,00:00,,,72.000,0.000,72.000,11.890,11.890,-60.110,72.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,10/20/1988,00:00,,,80.000,0.000,80.000,11.890,11.890,-68.110,80.000,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,12/8/1988,00:00,,,75.500,0.000,75.500,11.890,11.890,-63.610,75.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
341189N1191051W001,,2/3/1989,00:00,,,57.500,0.000,57.500,11.890,11.890,-45.610,57.500,UNK - Unknown,Unknown,VENTURA COUNTY FLOOD CONTROL DISTRICT,Voluntary,
