CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
415117N1240356W001,13N01E15R001H,10/19/2011,00:00,,1 - Pumping,16.300,0.000,16.300,53.350,53.350,37.050,16.300,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415117N1240356W001,13N01E15R001H,4/19/2012,00:00,9 - Temporarily inaccessible,,,,,53.350,53.350,,,,,Department of Water Resources,Voluntary,
415117N1240356W001,13N01E15R001H,10/30/2012,00:00,,,16.000,0.100,15.900,53.350,53.350,37.450,15.900,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415117N1240356W001,13N01E15R001H,3/27/2013,00:00,,,17.000,1.100,15.900,53.350,53.350,37.450,15.900,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415137N1240262W001,GEMW1,4/3/2013,12:10,,,22.900,0.000,22.900,31.900,30.000,9.000,21.000,ES - Electric sounder measurement,0.1 Ft,Resighini Rancheria,CASGEM,
415441N1240474W001,13N01E03M001H,10/19/2011,00:00,,,17.500,0.000,17.500,33.880,33.380,16.380,17.000,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,4/19/2012,00:00,,,14.000,1.300,12.700,33.880,33.380,21.180,12.200,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/30/2012,00:00,,,20.000,2.400,17.600,33.880,33.380,16.280,17.100,ST - Steel tape measurement,0.1 Ft,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,8/12/1985,00:00,,,19.700,0.000,19.700,33.880,33.380,14.180,19.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,8/13/1985,00:00,,1 - Pumping,25.300,0.000,25.300,33.880,33.380,8.580,24.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/9/1985,00:00,,,20.900,0.000,20.900,33.880,33.380,12.980,20.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/19/1986,00:00,,,20.400,0.000,20.400,33.880,33.380,13.480,19.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/23/1986,00:00,,,17.000,0.000,17.000,33.880,33.380,16.880,16.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,4/2/1987,00:00,,,17.200,0.000,17.200,33.880,33.380,16.680,16.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/29/1987,00:00,,,22.400,0.000,22.400,33.880,33.380,11.480,21.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/17/1988,00:00,,,17.300,0.000,17.300,33.880,33.380,16.580,16.800,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,11/3/1988,00:00,,,17.200,0.000,17.200,33.880,33.380,16.680,16.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/16/1989,00:00,,,13.000,0.000,13.000,33.880,33.380,20.880,12.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/26/1989,00:00,,,16.100,0.000,16.100,33.880,33.380,17.780,15.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/15/1990,00:00,,,15.000,0.000,15.000,33.880,33.380,18.880,14.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/26/1990,00:00,,,14.400,0.000,14.400,33.880,33.380,19.480,13.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/27/1991,00:00,,,15.800,0.000,15.800,33.880,33.380,18.080,15.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/29/1991,00:00,,1 - Pumping,25.000,0.000,25.000,33.880,33.380,8.880,24.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/26/1992,00:00,,,17.900,0.000,17.900,33.880,33.380,15.980,17.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/22/1992,00:00,,,18.500,0.000,18.500,33.880,33.380,15.380,18.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/31/1993,00:00,,,16.000,0.000,16.000,33.880,33.380,17.880,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/28/1993,00:00,,1 - Pumping,19.600,0.000,19.600,33.880,33.380,14.280,19.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/30/1994,00:00,,,17.500,0.000,17.500,33.880,33.380,16.380,17.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,4/6/1995,00:00,,4 - Pumped recently,15.800,0.000,15.800,33.880,33.380,18.080,15.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/25/1995,00:00,,4 - Pumped recently,21.800,0.000,21.800,33.880,33.380,12.080,21.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/20/1996,00:00,,,16.000,0.000,16.000,33.880,33.380,17.880,15.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,11/6/1996,00:00,,,17.200,0.000,17.200,33.880,33.380,16.680,16.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/20/1997,00:00,,1 - Pumping,19.400,0.000,19.400,33.880,33.380,14.480,18.900,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/29/1997,00:00,,,16.800,0.000,16.800,33.880,33.380,17.080,16.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,3/20/1998,00:00,,,17.000,0.000,17.000,33.880,33.380,16.880,16.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
415441N1240474W001,13N01E03M001H,10/28/1998,00:00,,1 - Pumping,25.600,0.000,25.600,33.880,33.380,8.280,25.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,
