CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
348205N1182465W001,,3/26/2008,00:00,,,175.880,0.000,175.880,"2,390.750","2,390.750","2,214.870",175.880,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348205N1182465W001,,3/31/2006,00:00,,,175.120,0.000,175.120,"2,390.750","2,390.750","2,215.630",175.120,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348205N1182465W001,,3/23/2005,00:00,,,174.500,0.000,174.500,"2,390.750","2,390.750","2,216.250",174.500,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348205N1182465W001,,3/29/2007,00:00,,,175.400,0.000,175.400,"2,390.750","2,390.750","2,215.350",175.400,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348205N1182465W001,,3/24/2009,00:00,,,177.280,0.000,177.280,"2,390.750","2,390.750","2,213.470",177.280,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/29/2007,00:00,,,301.600,0.000,301.600,"2,513.770","2,513.770","2,212.170",301.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/24/2005,00:00,,,298.180,0.000,298.180,"2,513.770","2,513.770","2,215.590",298.180,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/28/2006,00:00,,,300.960,0.000,300.960,"2,513.770","2,513.770","2,212.810",300.960,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/27/2008,00:00,,,300.580,0.000,300.580,"2,513.770","2,513.770","2,213.190",300.580,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/28/2008,00:00,,,299.790,0.000,299.790,"2,513.770","2,513.770","2,213.980",299.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348211N1183434W001,,3/26/2009,00:00,,,302.850,0.000,302.850,"2,513.770","2,513.770","2,210.920",302.850,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/26/2008,00:00,,,78.190,0.000,78.190,"2,312.740","2,312.740","2,234.550",78.190,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/28/2005,00:00,,,78.240,0.000,78.240,"2,312.740","2,312.740","2,234.500",78.240,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/27/2006,00:00,,,78.230,0.000,78.230,"2,312.740","2,312.740","2,234.510",78.230,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/26/2007,00:00,,,78.210,0.000,78.210,"2,312.740","2,312.740","2,234.530",78.210,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348214N1181615W001,,3/23/2009,00:00,,,78.450,0.000,78.450,"2,312.740","2,312.740","2,234.290",78.450,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,2/7/2005,00:00,,,131.870,0.000,131.870,"2,293.580","2,293.580","2,161.710",131.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,5/26/2005,00:00,,,137.140,0.000,137.140,"2,293.580","2,293.580","2,156.440",137.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,9/25/2007,00:00,,,142.310,0.000,142.310,"2,293.580","2,293.580","2,151.270",142.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
348228N1178946W001,,3/21/2007,00:00,,,132.160,0.000,132.160,"2,293.580","2,293.580","2,161.420",132.160,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,
