CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments
327893N1169478W001,ECV-1,6/5/2013,15:05,,,10.580,0.000,10.580,450.000,450.000,439.420,10.580,ES - Electric sounder measurement,0.1 Ft,City of San Diego - Public Utilities Department,CASGEM,DWR Water Data Library indicates RP Elevation & GS Elevation are same.  RP Elevation should be approx. 3'-3.5' above GS elevation.
330494N1170425W001,Pinery,6/5/2013,14:10,,,13.670,0.000,13.670,402.150,398.850,388.480,10.370,ES - Electric sounder measurement,0.1 Ft,City of San Diego - Public Utilities Department,CASGEM,
332367N1167165W001,90,6/16/2013,00:00,,,35.470,0.000,35.470,"2,738.000","2,736.000","2,702.530",33.470,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332367N1167165W001,90,7/15/2013,00:00,,,35.530,0.000,35.530,"2,738.000","2,736.000","2,702.470",33.530,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332367N1167165W001,90,8/15/2013,00:00,,,33.650,0.000,33.650,"2,738.000","2,736.000","2,704.350",31.650,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332486N1166558W001,82,6/16/2013,00:00,,,11.410,0.000,11.410,"2,989.000","2,987.000","2,977.590",9.410,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332486N1166558W001,82,7/15/2013,00:00,,,9.810,0.000,9.810,"2,989.000","2,987.000","2,979.190",7.810,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332486N1166558W001,82,8/15/2013,00:00,,,11.740,0.000,11.740,"2,989.000","2,987.000","2,977.260",9.740,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332742N1166846W001,43,6/16/2013,00:00,,,25.680,0.000,25.680,"2,824.000","2,822.000","2,798.320",23.680,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332742N1166846W001,43,7/15/2013,00:00,,,26.050,0.000,26.050,"2,824.000","2,822.000","2,797.950",24.050,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332742N1166846W001,43,8/15/2013,00:00,,,26.550,0.000,26.550,"2,824.000","2,822.000","2,797.450",24.550,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332839N1167395W001,31,6/16/2013,00:00,,,41.860,0.000,41.860,"2,725.000","2,723.000","2,683.140",39.860,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332839N1167395W001,31,7/15/2013,00:00,,,42.260,0.000,42.260,"2,725.000","2,723.000","2,682.740",40.260,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332839N1167395W001,31,8/15/2013,00:00,,,43.310,0.000,43.310,"2,725.000","2,723.000","2,681.690",41.310,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332867N1167043W001,29,6/16/2013,00:00,,,101.450,0.000,101.450,"2,798.000","2,795.000","2,696.550",98.450,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
332867N1167043W001,29,7/15/2013,00:00,,,102.360,0.000,102.360,"2,798.000","2,795.000","2,695.640",99.360,ES - Electric sounder measurement,1 Ft,Vista Irrigation District,CASGEM,
